年齢別人口　平成３０年８月１日現在,,,,
年齢,男,女,合計,
0,489,454,943,
1,550,514,"1,064",
2,540,524,"1,064",
3,575,589,"1,164",
4,577,575,"1,152",
5,572,606,"1,178",
6,613,554,"1,167",
7,620,576,"1,196",
8,608,617,"1,225",
9,671,626,"1,297",
小計,"5,815","5,635","11,450",
10,632,610,"1,242",
11,620,616,"1,236",
12,628,568,"1,196",
13,609,566,"1,175",
14,632,612,"1,244",
15,627,591,"1,218",
16,636,605,"1,241",
17,642,607,"1,249",
18,640,617,"1,257",
19,672,650,"1,322",
小計,"6,338","6,042","12,380",
20,797,745,"1,542",
21,859,806,"1,665",
22,784,778,"1,562",
23,834,785,"1,619",
24,744,750,"1,494",
25,740,759,"1,499",
26,719,647,"1,366",
27,681,631,"1,312",
28,698,651,"1,349",
29,651,676,"1,327",
小計,"7,507","7,228","14,735",
30,729,677,"1,406",
31,837,724,"1,561",
32,801,796,"1,597",
33,881,827,"1,708",
34,942,871,"1,813",
35,912,920,"1,832",
36,958,940,"1,898",
37,"1,019",918,"1,937",
38,"1,031",951,"1,982",
39,"1,096",969,"2,065",
小計,"9,206","8,593","17,799",
40,"1,130","1,059","2,189",
41,"1,152","1,071","2,223",
42,"1,152","1,096","2,248",
43,"1,265","1,209","2,474",
44,"1,239","1,227","2,466",
45,"1,276","1,232","2,508",
46,"1,341","1,286","2,627",
47,"1,235","1,181","2,416",
48,"1,194","1,160","2,354",
49,"1,222","1,172","2,394",
小計,"12,206","11,693","23,899",
50,"1,220","1,136","2,356",
51,"1,115",974,"2,089",
52,973,919,"1,892",
53,"1,037","1,037","2,074",
54,"1,003",932,"1,935",
55,943,887,"1,830",
56,873,869,"1,742",
57,831,839,"1,670",
58,766,770,"1,536",
59,789,845,"1,634",
小計,"9,550","9,208","18,758",
60,768,862,"1,630",
61,745,832,"1,577",
62,754,859,"1,613",
63,794,937,"1,731",
64,767,921,"1,688",
65,880,"1,047","1,927",
66,941,"1,064","2,005",
67,"1,003","1,198","2,201",
68,"1,078","1,308","2,386",
69,"1,267","1,410","2,677",
小計,"8,997","10,438","19,435",
70,"1,318","1,535","2,853",
71,"1,149","1,268","2,417",
72,702,844,"1,546",
73,883,945,"1,828",
74,966,"1,257","2,223",
75,917,"1,075","1,992",
76,960,"1,059","2,019",
77,838,990,"1,828",
78,724,901,"1,625",
79,620,735,"1,355",
小計,"9,077","10,609","19,686",
80,636,743,"1,379",
81,578,690,"1,268",
82,558,728,"1,286",
83,445,582,"1,027",
84,418,507,925,
85,364,491,855,
86,290,477,767,
87,234,372,606,
88,193,329,522,
89,157,292,449,
小計,"3,873","5,211","9,084",
90,105,264,369,
91,72,226,298,
92,67,185,252,
93,54,155,209,
94,30,118,148,
95,27,91,118,
96,10,64,74,
97,12,65,77,
98,12,38,50,
99,2,26,28,
小計,391,"1,232","1,623",
100以上,5,49,54,
合計,"72,965","75,938","148,903",
,,,,
