年齢別人口　平成３０年１１月１日現在,,,
年齢,男,女,合計
0,467,447,914
1,560,491,"1,051"
2,535,515,"1,050"
3,588,572,"1,160"
4,562,595,"1,157"
5,599,589,"1,188"
6,580,545,"1,125"
7,620,574,"1,194"
8,613,630,"1,243"
9,637,597,"1,234"
小計,"5,761","5,555","11,316"
10,641,640,"1,281"
11,649,603,"1,252"
12,610,601,"1,211"
13,617,547,"1,164"
14,632,598,"1,230"
15,617,613,"1,230"
16,642,584,"1,226"
17,629,607,"1,236"
18,644,618,"1,262"
19,691,646,"1,337"
小計,"6,372","6,057","12,429"
20,772,742,"1,514"
21,842,760,"1,602"
22,838,801,"1,639"
23,836,777,"1,613"
24,741,759,"1,500"
25,748,746,"1,494"
26,702,687,"1,389"
27,689,608,"1,297"
28,688,620,"1,308"
29,651,686,"1,337"
小計,"7,507","7,186","14,693"
30,735,666,"1,401"
31,821,727,"1,548"
32,774,769,"1,543"
33,877,801,"1,678"
34,940,891,"1,831"
35,912,910,"1,822"
36,954,930,"1,884"
37,971,919,"1,890"
38,"1,054",936,"1,990"
39,"1,080",947,"2,027"
小計,"9,118","8,496","17,614"
40,"1,112","1,041","2,153"
41,"1,168","1,090","2,258"
42,"1,167","1,082","2,249"
43,"1,160","1,151","2,311"
44,"1,296","1,234","2,530"
45,"1,289","1,228","2,517"
46,"1,318","1,287","2,605"
47,"1,275","1,223","2,498"
48,"1,183","1,180","2,363"
49,"1,204","1,123","2,327"
小計,"12,172","11,639","23,811"
50,"1,246","1,154","2,400"
51,"1,167","1,051","2,218"
52,921,854,"1,775"
53,"1,088","1,056","2,144"
54,"1,015",974,"1,989"
55,929,920,"1,849"
56,906,844,"1,750"
57,834,847,"1,681"
58,790,784,"1,574"
59,774,839,"1,613"
小計,"9,670","9,323","18,993"
60,794,873,"1,667"
61,724,822,"1,546"
62,757,823,"1,580"
63,801,932,"1,733"
64,765,955,"1,720"
65,849,"1,013","1,862"
66,936,"1,051","1,987"
67,970,"1,144","2,114"
68,"1,048","1,297","2,345"
69,"1,231","1,412","2,643"
小計,"8,875","10,322","19,197"
70,"1,313","1,471","2,784"
71,"1,220","1,372","2,592"
72,755,895,"1,650"
73,839,934,"1,773"
74,942,"1,202","2,144"
75,931,"1,107","2,038"
76,962,"1,078","2,040"
77,854,988,"1,842"
78,746,948,"1,694"
79,652,768,"1,420"
小計,"9,214","10,763","19,977"
80,592,732,"1,324"
81,597,692,"1,289"
82,569,693,"1,262"
83,472,627,"1,099"
84,417,482,899
85,362,523,885
86,300,471,771
87,231,370,601
88,198,346,544
89,167,288,455
小計,"3,905","5,224","9,129"
90,103,271,374
91,81,221,302
92,73,194,267
93,52,162,214
94,38,111,149
95,21,91,112
96,17,64,81
97,11,57,68
98,10,50,60
99,2,21,23
小計,408,"1,242","1,650"
100以上,6,47,53
合計,"73,008","75,854","148,862"
