年齢別人口　令和２年１１月１日現在,,,,
年齢,男,女,合計,
0,410,395,805,
1,483,431,914,
2,493,484,977,
3,584,511,"1,095",
4,533,528,"1,061",
5,575,577,"1,152",
6,568,603,"1,171",
7,610,589,"1,199",
8,594,543,"1,137",
9,616,575,"1,191",
小計,"5,466","5,236","10,702",
10,613,638,"1,251",
11,640,607,"1,247",
12,638,645,"1,283",
13,648,611,"1,259",
14,622,610,"1,232",
15,622,557,"1,179",
16,620,608,"1,228",
17,624,613,"1,237",
18,665,618,"1,283",
19,719,699,"1,418",
小計,"6,411","6,206","12,617",
20,734,717,"1,451",
21,754,732,"1,486",
22,808,772,"1,580",
23,794,757,"1,551",
24,796,796,"1,592",
25,759,754,"1,513",
26,689,718,"1,407",
27,719,663,"1,382",
28,666,671,"1,337",
29,673,605,"1,278",
小計,"7,392","7,185","14,577",
30,691,611,"1,302",
31,673,686,"1,359",
32,734,685,"1,419",
33,849,752,"1,601",
34,786,773,"1,559",
35,871,808,"1,679",
36,929,888,"1,817",
37,922,908,"1,830",
38,956,937,"1,893",
39,954,908,"1,862",
小計,"8,365","7,956","16,321",
40,"1,069",920,"1,989",
41,"1,078",964,"2,042",
42,"1,086","1,058","2,144",
43,"1,143","1,116","2,259",
44,"1,180","1,088","2,268",
45,"1,157","1,150","2,307",
46,"1,292","1,247","2,539",
47,"1,301","1,233","2,534",
48,"1,331","1,284","2,615",
49,"1,258","1,216","2,474",
小計,"11,895","11,276","23,171",
50,"1,198","1,184","2,382",
51,"1,182","1,133","2,315",
52,"1,238","1,150","2,388",
53,"1,173","1,050","2,223",
54,912,854,"1,766",
55,"1,071","1,044","2,115",
56,"1,014",961,"1,975",
57,921,917,"1,838",
58,904,833,"1,737",
59,829,847,"1,676",
小計,"10,442","9,973","20,415",
60,791,781,"1,572",
61,770,840,"1,610",
62,790,863,"1,653",
63,709,811,"1,520",
64,758,819,"1,577",
65,780,927,"1,707",
66,749,956,"1,705",
67,822,"1,013","1,835",
68,929,"1,031","1,960",
69,957,"1,128","2,085",
小計,"8,055","9,169","17,224",
70,"1,029","1,274","2,303",
71,"1,190","1,398","2,588",
72,"1,262","1,456","2,718",
73,"1,168","1,345","2,513",
74,720,890,"1,610",
75,794,909,"1,703",
76,892,"1,178","2,070",
77,893,"1,090","1,983",
78,931,"1,047","1,978",
79,802,967,"1,769",
小計,"9,681","11,554","21,235",
80,708,897,"1,605",
81,596,742,"1,338",
82,547,698,"1,245",
83,543,637,"1,180",
84,486,659,"1,145",
85,408,587,995,
86,358,437,795,
87,303,475,778,
88,249,418,667,
89,191,321,512,
小計,"4,389","5,871","10,260",
90,154,304,458,
91,117,244,361,
92,76,225,301,
93,59,171,230,
94,41,139,180,
95,33,118,151,
96,21,75,96,
97,12,65,77,
98,7,40,47,
99,5,27,32,
小計,525,"1,408","1,933",
100以上,9,61,70,
合計,"72,630","75,895","148,525",
,,,,
