年齢別人口　令和３年２月１日現在,,,,
年齢,男,女,合計,
0,380,395,775,
1,501,426,927,
2,473,460,933,
3,571,513,"1,084",
4,534,533,"1,067",
5,549,557,"1,106",
6,571,585,"1,156",
7,618,603,"1,221",
8,591,546,"1,137",
9,606,568,"1,174",
小計,"5,394","5,186","10,580",
10,616,621,"1,237",
11,642,606,"1,248",
12,645,648,"1,293",
13,629,613,"1,242",
14,637,628,"1,265",
15,624,563,"1,187",
16,610,590,"1,200",
17,614,618,"1,232",
18,662,585,"1,247",
19,717,714,"1,431",
小計,"6,396","6,186","12,582",
20,731,705,"1,436",
21,768,750,"1,518",
22,788,776,"1,564",
23,775,730,"1,505",
24,791,800,"1,591",
25,759,737,"1,496",
26,729,749,"1,478",
27,693,680,"1,373",
28,696,641,"1,337",
29,661,625,"1,286",
小計,"7,391","7,193","14,584",
30,679,638,"1,317",
31,685,640,"1,325",
32,729,673,"1,402",
33,810,750,"1,560",
34,796,751,"1,547",
35,851,808,"1,659",
36,892,869,"1,761",
37,954,916,"1,870",
38,946,955,"1,901",
39,942,897,"1,839",
小計,"8,284","7,897","16,181",
40,"1,075",931,"2,006",
41,"1,048",934,"1,982",
42,"1,059","1,046","2,105",
43,"1,180","1,103","2,283",
44,"1,170","1,053","2,223",
45,"1,163","1,152","2,315",
46,"1,261","1,230","2,491",
47,"1,296","1,230","2,526",
48,"1,282","1,299","2,581",
49,"1,327","1,196","2,523",
小計,"11,861","11,174","23,035",
50,"1,192","1,185","2,377",
51,"1,168","1,158","2,326",
52,"1,235","1,186","2,421",
53,"1,215","1,061","2,276",
54,925,870,"1,795",
55,"1,068","1,009","2,077",
56,"1,016",975,"1,991",
57,948,901,"1,849",
58,917,887,"1,804",
59,848,833,"1,681",
小計,"10,532","10,065","20,597",
60,804,805,"1,609",
61,771,797,"1,568",
62,738,851,"1,589",
63,764,838,"1,602",
64,747,811,"1,558",
65,752,927,"1,679",
66,747,935,"1,682",
67,830,983,"1,813",
68,866,"1,034","1,900",
69,963,"1,097","2,060",
小計,"7,982","9,078","17,060",
70,"1,008","1,198","2,206",
71,"1,131","1,377","2,508",
72,"1,240","1,434","2,674",
73,"1,209","1,439","2,648",
74,852,995,"1,847",
75,738,883,"1,621",
76,854,"1,042","1,896",
77,898,"1,172","2,070",
78,912,"1,036","1,948",
79,829,986,"1,815",
小計,"9,671","11,562","21,233",
80,724,933,"1,657",
81,628,760,"1,388",
82,537,699,"1,236",
83,543,643,"1,186",
84,483,643,"1,126",
85,428,626,"1,054",
86,373,467,840,
87,304,460,764,
88,275,442,717,
89,193,322,515,
小計,"4,488","5,995","10,483",
90,151,309,460,
91,120,241,361,
92,82,244,326,
93,56,174,230,
94,52,144,196,
95,29,109,138,
96,22,88,110,
97,12,65,77,
98,10,31,41,
99,3,34,37,
小計,537,"1,439","1,976",
100以上,8,61,69,
合計,"72,544","75,836","148,380",
,,,,
