年齢別人口　令和４年２月１日現在,,,,
年齢,男,女,合計,
0,370,337,707,
1,411,406,817,
2,499,428,927,
3,465,453,918,
4,561,498,"1,059",
5,536,531,"1,067",
6,536,544,"1,080",
7,571,586,"1,157",
8,630,598,"1,228",
9,595,539,"1,134",
小計,"5,174","4,920","10,094",
10,609,569,"1,178",
11,619,612,"1,231",
12,645,609,"1,254",
13,641,647,"1,288",
14,630,617,"1,247",
15,645,626,"1,271",
16,619,563,"1,182",
17,613,589,"1,202",
18,622,627,"1,249",
19,746,656,"1,402",
小計,"6,389","6,115","12,504",
20,737,732,"1,469",
21,771,739,"1,510",
22,773,752,"1,525",
23,754,770,"1,524",
24,749,689,"1,438",
25,765,734,"1,499",
26,734,678,"1,412",
27,707,689,"1,396",
28,690,659,"1,349",
29,671,607,"1,278",
小計,"7,351","7,049","14,400",
30,676,637,"1,313",
31,700,635,"1,335",
32,684,612,"1,296",
33,732,677,"1,409",
34,795,754,"1,549",
35,797,753,"1,550",
36,863,809,"1,672",
37,900,855,"1,755",
38,933,916,"1,849",
39,950,952,"1,902",
小計,"8,030","7,600","15,630",
40,927,903,"1,830",
41,"1,063",922,"1,985",
42,"1,052",931,"1,983",
43,"1,080","1,031","2,111",
44,"1,182","1,107","2,289",
45,"1,159","1,065","2,224",
46,"1,155","1,145","2,300",
47,"1,262","1,233","2,495",
48,"1,299","1,229","2,528",
49,"1,281","1,301","2,582",
小計,"11,460","10,867","22,327",
50,"1,333","1,193","2,526",
51,"1,184","1,179","2,363",
52,"1,173","1,149","2,322",
53,"1,233","1,177","2,410",
54,"1,212","1,058","2,270",
55,924,873,"1,797",
56,"1,063","1,012","2,075",
57,"1,013",966,"1,979",
58,942,900,"1,842",
59,907,875,"1,782",
小計,"10,984","10,382","21,366",
60,853,841,"1,694",
61,800,801,"1,601",
62,769,801,"1,570",
63,738,849,"1,587",
64,752,838,"1,590",
65,736,799,"1,535",
66,751,928,"1,679",
67,752,931,"1,683",
68,825,982,"1,807",
69,845,"1,036","1,881",
小計,"7,821","8,806","16,627",
70,943,"1,084","2,027",
71,990,"1,195","2,185",
72,"1,111","1,366","2,477",
73,"1,225","1,421","2,646",
74,"1,174","1,426","2,600",
75,840,991,"1,831",
76,708,877,"1,585",
77,834,"1,033","1,867",
78,866,"1,152","2,018",
79,871,"1,021","1,892",
小計,"9,562","11,566","21,128",
80,803,971,"1,774",
81,697,911,"1,608",
82,608,740,"1,348",
83,501,661,"1,162",
84,513,619,"1,132",
85,450,615,"1,065",
86,393,589,982,
87,325,442,767,
88,262,438,700,
89,235,410,645,
小計,"4,787","6,396","11,183",
90,177,295,472,
91,125,271,396,
92,96,209,305,
93,68,205,273,
94,50,151,201,
95,43,124,167,
96,24,91,115,
97,14,70,84,
98,9,48,57,
99,9,21,30,
小計,615,"1,485","2,100",
100以上,5,62,67,
合計,"72,178","75,248","147,426",
,,,,
