年齢別人口　令和４年８月１日現在,,,,
年齢,男,女,合計,
0,346,355,701,
1,402,374,776,
2,458,441,899,
3,489,454,943,
4,532,476,"1,008",
5,559,522,"1,081",
6,526,529,"1,055",
7,566,580,"1,146",
8,597,573,"1,170",
9,606,583,"1,189",
小計,"5,081","4,887","9,968",
10,620,560,"1,180",
11,620,575,"1,195",
12,613,620,"1,233",
13,677,647,"1,324",
14,630,626,"1,256",
15,640,629,"1,269",
16,633,574,"1,207",
17,614,581,"1,195",
18,691,659,"1,350",
19,738,681,"1,419",
小計,"6,476","6,152","12,628",
20,749,721,"1,470",
21,809,773,"1,582",
22,749,772,"1,521",
23,717,748,"1,465",
24,751,735,"1,486",
25,772,738,"1,510",
26,725,668,"1,393",
27,735,666,"1,401",
28,690,647,"1,337",
29,706,632,"1,338",
小計,"7,403","7,100","14,503",
30,703,651,"1,354",
31,674,604,"1,278",
32,733,612,"1,345",
33,673,678,"1,351",
34,759,718,"1,477",
35,863,770,"1,633",
36,797,817,"1,614",
37,897,817,"1,714",
38,949,889,"1,838",
39,902,918,"1,820",
小計,"7,950","7,474","15,424",
40,958,938,"1,896",
41,984,913,"1,897",
42,"1,064",951,"2,015",
43,"1,098",981,"2,079",
44,"1,097","1,094","2,191",
45,"1,116","1,117","2,233",
46,"1,171","1,103","2,274",
47,"1,267","1,200","2,467",
48,"1,255","1,243","2,498",
49,"1,290","1,242","2,532",
小計,"11,300","10,782","22,082",
50,"1,374","1,277","2,651",
51,"1,213","1,179","2,392",
52,"1,201","1,152","2,353",
53,"1,206","1,175","2,381",
54,"1,199","1,124","2,323",
55,"1,103",968,"2,071",
56,963,933,"1,896",
57,"1,017","1,032","2,049",
58,"1,005",926,"1,931",
59,913,871,"1,784",
小計,"11,194","10,637","21,831",
60,884,860,"1,744",
61,830,826,"1,656",
62,767,770,"1,537",
63,767,848,"1,615",
64,756,858,"1,614",
65,725,811,"1,536",
66,745,846,"1,591",
67,754,927,"1,681",
68,744,918,"1,662",
69,840,"1,027","1,867",
小計,"7,812","8,691","16,503",
70,895,"1,034","1,929",
71,959,"1,166","2,125",
72,"1,022","1,285","2,307",
73,"1,191","1,375","2,566",
74,"1,233","1,478","2,711",
75,"1,048","1,240","2,288",
76,624,829,"1,453",
77,783,920,"1,703",
78,867,"1,197","2,064",
79,831,"1,039","1,870",
小計,"9,453","11,563","21,016",
80,863,"1,000","1,863",
81,731,923,"1,654",
82,622,826,"1,448",
83,528,662,"1,190",
84,520,647,"1,167",
85,455,574,"1,029",
86,402,630,"1,032",
87,308,485,793,
88,291,419,710,
89,233,383,616,
小計,"4,953","6,549","11,502",
90,191,345,536,
91,150,261,411,
92,96,213,309,
93,78,185,263,
94,50,170,220,
95,38,122,160,
96,27,86,113,
97,18,66,84,
98,9,39,48,
99,7,36,43,
小計,664,"1,523","2,187",
100以上,5,57,62,
合計,"72,291","75,415","147,706",
,,,,
