番号,所管,施設名,施設種別,指定管理者名,指定期間,総合評価,評価内容
1,医療政策部,東京都リハビリテーション病院,リハビリテーション病院,公益社団法人東京都医師会,平成23年4月～平成28年3月,Ａ,・地域における在宅リハビリテーションや高次脳機能障害者のリハビリテーションなど、地域医療・行政的医療の充実に向けた取組を行っている。・患者の身体機能の早期回復に向け、集中的なリハビリテーションの実施に努めている。
2,医療政策部,東京都立心身障害者口腔保健センター,心身障害者口腔保健センター,公益社団法人東京都歯科医師会,平成23年4月～平成28年3月,Ａ,・専門スタッフをそろえて、地域の医療機関では対応困難な全身麻酔等を積極的に実施するなど、質の高い医療提供と患者負担の軽減に努めている。・利用者の障害に応じたサービスを提供するため、手話のできる職員を配置し、育成に取り組んでいる。
3,少子社会対策部,東京都石神井学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・高年齢児の割合が多いことから、退所後の生活に向けた自活訓練を実施するなど、児童の自立を見据えた支援の充実を図っている。・若手職員とベテラン職員が語る会を開催し、職員間の支援ノウハウの伝承に努めている。
4,少子社会対策部,東京都小山児童学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・児童が基本的生活習慣を習得し、知識を深めることができるよう、新聞の発行や紙芝居など児童にとってわかりやすい取組に努めている。・児童へのアンケートを実施し、把握した児童の意向をサービス向上に繋げている。
5,少子社会対策部,東京都船形学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・地域や学校と連携して児童への支援を充実するために、防災協定の締結や各種行事への相互参加等に積極的に取り組んでいる。・職員に対してヒヤリハット報告を出すことを奨励し、速やかに対策を取ることで、児童の安全を確保している。
6,少子社会対策部,東京都八街学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・児童への満足度調査を実施し、調査結果に基づき、児童の生活の改善に向けた取組を行っている。・寮代表職員の会議を月1回開催し、施設経営に対する職員の意識向上と人材育成に取り組んでいる。
7,少子社会対策部,東京都勝山学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・苦情解決第三者委員による「なんでも相談室」で、児童の苦情や要望を収集し、児童の意向を踏まえたサービスを提供している。・児童が地域に見守られる環境を構築できるよう、地域行事や学校行事へ積極的に参加している。
8,少子社会対策部,東京都片瀬学園,児童養護施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・児童への満足度調査を実施し、調査結果に基づき、職員会議や児童自治会で改善策を検討することで、サービス内容の向上を図っている。・寮で職員とともに行う調理や季節行事の実施などを通じ、児童が家庭的な体験を積むことができるようにしている。
9,障害者施策推進部,東京都八王子福祉園,障害者支援施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・利用者の地域生活への移行に向け、自活訓練等の取組を積極的に行っている。・日中活動が活性化するよう、利用者の年齢、好み及び障害特性等に応じた多様な活動プログラムの提供に努めている。
10,障害者施策推進部,東京都東村山福祉園,福祉型障害児入所施設,社会福祉法人東京都社会福祉事業団,平成24年4月～平成27年3月,Ａ,・強度行動障害児への支援に関して、職員が専門性を身に付けることができるよう、研修等の取組を積極的に行っている。・18歳となる児童には専用の棟で自立生活を体験させるなど、児童の自立支援に向けて取り組んでいる。
