区分,総数,総数割合,コンサートや映画、演劇などに行く,コンサートや映画、演劇などに行く割合,美術館、博物館などに行く（館外で開催される美術展、展覧会なども含む）,美術館、博物館などに行く（館外で開催される美術展、展覧会なども含む）割合,動物園や植物園、水族館などに行く,動物園や植物園、水族館などに行く割合,音楽活動をする（歌や楽器の演奏など）,音楽活動をする（歌や楽器の演奏など）割合,美術などの創作活動をする（絵画、彫刻、書道、華道など）,美術などの創作活動をする（絵画、彫刻、書道、華道など）割合,文芸活動をする（短歌・俳句、詩作、小説、評論など）,文芸活動をする（短歌・俳句、詩作、小説、評論など）割合,後援会、セミナー、各種講座に参加する,後援会、セミナー、各種講座に参加する割合,伝統文化などの活動をする（伝統芸能、茶道など）,伝統文化などの活動をする（伝統芸能、茶道など）割合,その他,その他割合,特にない,特にない割合,無回答,無回答割合
身体障害者総数,914,100,415,45.4,314,34.4,310,33.9,130,14.2,120,13.1,54,5.9,140,15.3,60,6.6,26,2.8,222,24.3,78,8.5
視覚,119,100,46,38.7,28,23.5,34,28.6,22,18.5,11,9.2,11,9.2,19,16,7,5.9,5,4.2,36,30.3,8,6.7
聴覚,133,100,45,33.8,46,34.6,46,34.6,15,11.3,22,16.5,7,5.3,18,13.5,12,9,7,5.3,42,31.6,8,6
平衡機能,28,100,7,25,8,28.6,8,28.6,4,14.3,1,3.6,4,14.3,2,7.1,0,0,0,0,11,39.3,4,14.3
音声機能・言語機能・そしゃく機能,93,100,45,48.4,35,37.6,38,40.9,10,10.8,16,17.2,4,4.3,15,16.1,6,6.5,2,2.2,22,23.7,6,6.5
上肢,175,100,90,51.4,63,36,74,42.3,30,17.1,32,18.3,19,10.9,29,16.6,13,7.4,4,2.3,38,21.7,12,6.9
下肢,261,100,125,47.9,92,35.2,96,36.8,37,14.2,36,13.8,22,8.4,38,14.6,12,4.6,7,2.7,63,24.1,21,8
体幹,105,100,39,37.1,34,32.4,44,41.9,21,20,12,11.4,9,8.6,8,7.6,6,5.7,2,1.9,22,21,13,12.4
脳原性運動機能,72,100,32,44.4,25,34.7,35,48.6,14,19.4,8,11.1,5,6.9,9,12.5,5,6.9,1,1.4,18,25,3,4.2
内部障害,259,100,131,50.6,100,38.6,82,31.7,32,12.4,30,11.6,11,4.2,40,15.4,24,9.3,2,0.8,52,20.1,24,9.3
