区分,総数,総数割合,携帯電話、スマートフォン、タブレット、パソコン,携帯電話、スマートフォン、タブレット、パソコン割合,ファックス,ファックス割合,メール,メール割合,点字,点字割合,指点字,指点字割合,手書き文字（てのひら書き）,手書き文字（てのひら書き）割合,拡大文字,拡大文字割合,録音物（デイジー版など）,録音物（デイジー版など）割合,読み上げソフト、アプリ等,読み上げソフト、アプリ等割合,朗読サービス,朗読サービス割合,手話,手話割合,筆談,筆談割合,要約筆記通訳や手話通訳,要約筆記通訳や手話通訳割合,補聴器・補聴援助機器,補聴器・補聴援助機器割合,口話・読話,口話・読話割合,行動（身振り・手振り）,行動（身振り・手振り）割合,会話を文字化するアプリ,会話を文字化するアプリ割合,絵文字（ピクトグラム）,絵文字（ピクトグラム）割合,その他,その他割合,無回答,無回答割合
障害者等総数,1463,100,889,60.8,143,9.8,511,34.9,5,0.3,1,0.1,19,1.3,19,1.3,7,0.5,11,0.8,10,0.7,25,1.7,66,4.5,2,0.1,79,5.4,204,13.9,130,8.9,2,0.1,8,0.5,113,7.7,234,16
家族や友人,834,100,580,69.5,104,12.5,364,43.6,3,0.4,1,0.1,13,1.6,14,1.7,6,0.7,9,1.1,10,1.2,18,2.2,37,4.4,0,0,48,5.8,134,16.1,94,11.3,2,0.2,7,0.8,66,7.9,61,7.3
学校や職場、施設の人,383,100,243,63.4,38,9.9,161,42,2,0.5,1,0.3,5,1.3,3,0.8,4,1,7,1.8,6,1.6,7,1.8,16,4.2,0,0,19,5,83,21.7,63,16.4,1,0.3,3,0.8,37,9.7,29,7.6
ボランティア、ヘルパーなどの支援者,117,100,59,50.4,13,11.1,28,23.9,4,3.4,0,0,6,5.1,2,1.7,6,5.1,4,3.4,6,5.1,2,1.7,6,5.1,0,0,8,6.8,24,20.5,24,20.5,1,0.9,0,0,14,12,13,11.1
テレビやラジオ,1054,100,717,68,127,12,432,41,5,0.5,1,0.1,17,1.6,17,1.6,6,0.6,9,0.9,8,0.8,14,1.3,48,4.6,1,0.1,65,6.2,143,13.6,71,6.7,2,0.2,8,0.8,81,7.7,126,12
新聞,617,100,417,67.6,101,16.4,264,42.8,0,0,1,0.2,15,2.4,9,1.5,1,0.2,2,0.3,2,0.3,11,1.8,39,6.3,1,0.2,51,8.3,71,11.5,39,6.3,2,0.3,3,0.5,44,7.1,78,12.6
区市町村等の広報紙,458,100,326,71.2,93,20.3,223,48.7,3,0.7,1,0.2,10,2.2,8,1.7,4,0.9,6,1.3,4,0.9,14,3.1,29,6.3,1,0.2,34,7.4,50,10.9,33,7.2,2,0.4,3,0.7,43,9.4,39,8.5
障害者団体の会合や機関誌,108,100,68,63,21,19.4,48,44.4,3,2.8,0,0,4,3.7,2,1.9,2,1.9,2,1.9,3,2.8,6,5.6,10,9.3,1,0.9,2,1.9,11,10.2,13,12,1,0.9,1,0.9,8,7.4,9,8.3
インターネット,599,100,510,85.1,78,13,354,59.1,3,0.5,1,0.2,8,1.3,5,0.8,3,0.5,8,1.3,3,0.5,14,2.3,19,3.2,1,0.2,25,4.2,78,13,37,6.2,1,0.2,5,0.8,34,5.7,25,4.2
ＳＮＳ,177,100,160,90.4,27,15.3,121,68.4,1,0.6,1,0.6,2,1.1,1,0.6,1,0.6,3,1.7,0,0,9,5.1,12,6.8,1,0.6,13,7.3,31,17.5,18,10.2,1,0.6,4,2.3,4,2.3,2,1.1
行政の窓口,88,100,63,71.6,23,26.1,44,50,0,0,0,0,2,2.3,2,2.3,1,1.1,2,2.3,0,0,1,1.1,3,3.4,0,0,6,6.8,7,8,6,6.8,0,0,1,1.1,7,8,9,10.2
その他,26,100,13,50,6,23.1,7,26.9,1,3.8,0,0,2,7.7,0,0,1,3.8,0,0,1,3.8,1,3.8,5,19.2,0,0,2,7.7,3,11.5,6,23.1,0,0,0,0,6,23.1,2,7.7
わからない,29,100,6,20.7,0,0,1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4,2,6.9,9,31,0,0,0,0,5,17.2,10,34.5
