区市町村１,区市町村２,平成15（人）,16（人）,17（人）,18（人）,19（人）,20（人）,21（人）,22（人）,23（人）,24（人）,25（人）,26（人）,27（人）,28（人）,29（人）,30（人）,令和元（人）,2（人）,3（人）,4（人）
区東部,千代田区,,,,,,,,,,,,,,,,,,,,
区東部,中央区,,,,,,,,,,,,,,,,,,,,
区東部,港区,1,,,,,,,,,,,,,,,,,,,
区東部,江東区,,,,,,,,,,,,,,,,,,,,
区東部,江戸川区,,90,,,,,,,,,,,,,,,,,,
区北部,台東区,,,,,,,,,,,,,,,,,,,,
区北部,墨田区,,,,,,,,,,,,,,,,,,,,
区北部,荒川区,,,,2,,,,,,,,,,,,,,,,
区北部,足立区,,1,,,,,,,,,,,,,,,,,,
区北部,葛飾区,,,,,,,,,,,,,,,,,,,,
区西部,新宿区,,6,,,,,,,,,,,,,,,,,,
区西部,文京区,,,,,,,,,,,,,,,,,,,,
区西部,中野区,,21,,,,,,,,,,,,,,,,,,
区西部,杉並区,,16,2,,,,,,,,2,,,,,,,,,
区西部,豊島区,,,,,,,,,,,,,,,,,,,,
区西部,北区,,2,,,,,,,,,,,,,,,,,,
区西部,板橋区,,,,,,,,,,,,,,,,,,,,
区西部,練馬区,,10,6,,,,,,,,,,,,,,,,,
区南部,品川区,,,,,,,,,,,,,,,,,,,,
区南部,目黒区,,,,,,,,,,,,,,,,,,,,
区南部,大田区,,,,,,,,,,,,,,,,,,,,
区南部,世田谷区,,1,,,,,,,,,,,,,,,,,,
区南部,渋谷区,,,,,,,,,,,,,,,,,,,,
多摩北部,武蔵野市,,4,,,,,,,,,,,,,,,,,,
多摩北部,小平市,11,,46,,,,,,,,,,,,,,,,,
多摩北部,東村山市,,,,,,,,,,,,,,,,,,,,
多摩北部,西東京市,,,,,,,,,,,,,,,,,,,,
多摩北部,東大和市,,,,,,,,,,,,,,,,,,,,
多摩北部,清瀬市,,8,,,,,,,,,,,,,,,,,,
多摩北部,東久留米市,,,,,,,,,,,,,,,,,,,,
多摩北部,武蔵村山市,,,2,,,,,,,,,,,,,,,,,
多摩中部,立川市,,,,,,,,,,,,,,,,,,,,
多摩中部,三鷹市,,,,,,,,,,,,,,,,,,,,
多摩中部,府中市,,,,,,,,,,,,,,,,,,,,
多摩中部,昭島市,,,,,,,,,,,,,,,,,,,,
多摩中部,調布市,,,,,,,,,,,,,,,,,,,,
多摩中部,小金井市,,,,,,,,,,,,,,,,,,,,
多摩中部,国分寺市,,,,,,,,,,,,,,,,,,,,
多摩中部,国立市,,,,,,,,12,,,,,,,,,,,,
多摩中部,狛江市,,,,,,,,,,,,,,,,,,,,
多摩西部,青梅市,,,,,,,,,,,,,,,,,,,,
多摩西部,福生市,,,,,,,,,,,,,,,,,,,,
多摩西部,羽村市,,,,,,,,,,,,,,,,,,,,
多摩西部,あきる野市,,,,,,,,,,,,,,,,,,,,
多摩西部,瑞穂町,,,,,,,,,,,,,,,,,,,,
多摩西部,日の出町,,,,,,,,,,,,,,,,,,,,
多摩西部,奥多摩町,,,,,,,,,,,,,,,,,,,,
多摩西部,檜原村,,,,,,,,,,,,,,,,,,,,
多摩南部,八王子市,,,191,,,94,,6,,,,,,,,,,,,
多摩南部,町田市,,,,,,,,,,,,,,,,,,,,
多摩南部,日野市,,,,,,,,,,,,,,,,,,,,
多摩南部,多摩市,,,,,,,,,,,,,,,,,,,,
多摩南部,稲城市,,,,,,,,,,,,,,,,,,,,
,合計,12,159,247,2,0,94,0,18,0,0,2,0,0,0,0,0,0,0,0,0
