№,採取日(購入日)Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
1,2015/4/8,2015/4/10,生産・出荷者Farmer,茨城県Ibaraki,コマツナ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
2,2015/4/8,2015/4/10,生産・出荷者Farmer,福島県Fukushima,トマト,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
3,2015/4/8,2015/4/10,生産・出荷者Farmer,茨城県Ibaraki,チンゲンサイ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10 )ND,検出せず(<9)ND,検出せず(<25)ND,―
4,2015/4/8,2015/4/10,生産・出荷者Farmer,茨城県Ibaraki,レンコン,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10 )ND,検出せず(<9)ND,検出せず(<25)ND,―
5,2015/4/8,2015/4/10,生産・出荷者Farmer,群馬県Gunma,カキナ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
6,2015/4/8,2015/4/10,製造者Manufacturer,茨城県Ibaraki,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.8)ND,検出せず(<1.4)ND,―
7,2015/4/8,2015/4/10,製造者Manufacturer,埼玉県Saitama,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.9)ND,検出せず(<1.5)ND,―
8,2015/4/8,2015/4/10,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.9)ND,検出せず(<1.7)ND,―
9,2015/4/8,2015/4/10,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.7)ND,検出せず(<1.5)ND,―
10,2015/4/8,2015/4/10,製造者Manufacturer,群馬県Gunma,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.9)ND,検出せず(<1.6)ND,―
11,2015/4/15,2015/4/21,採取地Sampling point,宮城県Miyagi,ムラサキイガイ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
12,2015/4/15,2015/4/21,採取地Sampling point,宮城県Miyagi,メカブ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
13,2015/4/15,2015/4/21,採取地Sampling point,宮城県Miyagi,ムキホヤ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
14,2015/4/15,2015/4/21,採取地Sampling point,千葉県Chiba,タチウオ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
15,2015/4/15,2015/4/21,採取地Sampling point,青森県Aomori,マコガレイ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
16,2015/4/15,2015/4/21,製造者Manufacturer,神奈川県Kanagawa,米粒麦,その他の穀物Other grain,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
17,2015/4/15,2015/4/21,販売者Seller,神奈川県Kanagawa,発芽玄米,その他の穀物Other grain,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
18,2015/4/15,2015/4/21,生産・出荷者Farmer,茨城県Ibaraki,サツマイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
19,2015/4/15,2015/4/21,生産・出荷者Farmer,埼玉県Saitama,サトイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
20,2015/4/15,2015/4/21,生産・出荷者Farmer,栃木県Tochigi,シイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<9)ND,検出せず(<25)ND,―
21,2015/4/15,2015/4/21,製造者Manufacturer,栃木県Tochigi,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
22,2015/4/15,2015/4/21,製造者Manufacturer,岩手県Iwate,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
23,2015/4/15,2015/4/21,製造者Manufacturer,長野県Nagano,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
24,2015/4/15,2015/4/21,製造者Manufacturer,東京都Tokyo,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
25,2015/4/15,2015/4/21,製造者Manufacturer,茨城県Ibaraki,プロセスチーズ,プロセスチーズProcessed cheese,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
26,2015/4/15,2015/4/21,採取地Sampling point,千葉県Chiba,カツオ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
