区市町村,基標番号,所在地町名,所在地目標,所在地申請,東京湾平均海面（Ｔ．Ｐ．）ｍ,霊岸島量水標（Ａ．Ｐ．）ｍ,変動量ｍｍ,記事
千代田区,水準原点,神永田町一丁目１,憲政記念公園内憲政記念公園内,国,24.39,,,（固定点）
千代田区,（甲）,神永田町一丁目１,憲政記念公園内,国,22.9994,24.1338,0,
千代田区,（乙）,神永田町一丁目１,憲政記念公園内,国,22.9016,24.036,0.1,
千代田区,（丙）,神永田町一丁目１,憲政記念公園内,国,23.0491,24.1835,0.2,
千代田区,（丁）,神永田町一丁目１,憲政記念公園内,国,16.6193,17.7537,0.2,
千代田区,（戊）,神永田町一丁目１,憲政記念公園内,国,23.1946,24.329,2.9,
千代田区,交（２）,紀尾井町４,ホテルニューオータニ入口脇,国,30.8749,32.0093,1.6,
千代田区,交（３）,富士見二丁目１４,東京逓信病院内,国,22.9692,24.1036,0.4,
千代田区,交（４）,神田駿河台二丁目１,ロッテリア向側,国,17.1002,18.2346,-0.5,
千代田区,復（１）,九段南一丁目６,九段会館前植込内,,6.9701,8.1045,-,(H25.1.1)
千代田区,復（２）,一番町,英国大使館北門前植込内,,25.0909,26.2253,-,(H25.1.1)
千代田区,復（３）,皇居外苑３,和田倉橋横,,2.4139,3.5483,-,(H25.1.1)
千代田区,復（８）,外神田二丁目１４,新潟原動機ビル前,,4.3534,5.4878,-,(H25.1.1)
千代田区,麹（２）,丸の内三丁目２,東京商工会議所ビル前,,2.3797,3.5141,-,(H25.1.1)
千代田区,麹（３）,有楽町一丁目３,日比谷シャンテ前,,1.8839,3.0183,-,※
千代田区,麹（４）,霞が関二丁目１,桜田門警備派出所前,,6.2724,7.4068,-3,
千代田区,麹（５）,隼町１,隼町公共広場防災倉庫裏,,28.2631,29.3975,-,(H25.1.1)
千代田区,麹（６）,紀尾井町２,清水谷公園内,,14.7448,15.8792,2.1,
千代田区,麹（７）,麹町四丁目５,志村薬局向側,,29.1719,30.3063,-,(H25.1.1)
千代田区,麹（８）,三番町１８,東郷公園内,,29.3934,30.5278,-,(H25.1.1)
千代田区,麹（９）,九段南二丁目３,あや九段ビル前,,22.1215,23.2559,-,(H25.1.1)
千代田区,麹（１０）,北の丸公園,乾門交番向側,,14.9294,16.0638,-,(H25.1.1)
千代田区,麹（１１）,内幸町一丁目２,日比谷ダイビル前,,1.9522,3.0866,-,(H25.1.1)
千代田区,神（２）,神田淡路町一丁目４,友泉淡路町ビル前,,4.0678,5.2022,-1.7,
千代田区,神（３）,一ッ橋二丁目１,如水会ビル前,,2.9901,4.1245,-,(H25.1.1)
千代田区,神（４）,飯田橋三丁目１１神,小石川橋右岸橋台敷憲政記念公園内,,4.2521,5.3865,2.1,
中央区,交無号,新川二丁目３２,中央大橋脇植込内,国,3.2096,4.3440,-0.2,
中央区,交（５）,日本橋馬喰町二丁目６,三井住友銀行浅草橋支店向側,国,3.2925,4.4269,+1.7,
中央区,交（６）,日本橋浜町三丁目４５,日本橋消防署浜町出張所脇,国,0.6894,1.8238,+2.5,
中央区,交（７）,築地四丁目３,割烹「河庄双園」前,国,2.5335,3.6679,0.0,
中央区,復（１２）,京橋三丁目８,信用金庫会館京橋別館前,,3.6255,4.7599,-,(H25.1.1)
中央区,復（１３－１）,勝どき五丁目４,のぞみ薬局前,,2.1404,3.2748,+0.7,
中央区,復（１５）,佃二丁目２０,バス停月島駅前脇,,0.8219,1.9563,+1.2,
中央区,日（１）,日本橋箱崎町１８,箱崎公園内,,1.8651,2.9995,+2.7,
中央区,日（２）,日本橋茅場町一丁目７,日本橋弥生ビルディング前,,1.7769,2.9113,-,(H25.1.1)
中央区,日（３）,日本橋三丁目５,ロ－ソン日本橋三丁目店脇,,2.6171,3.7515,-,(H25.1.1)
中央区,日（４）,日本橋本石町三丁目２,ミニストップ前,,4.7339,5.8683,-,(H25.1.1)
中央区,日（５）,日本橋堀留町一丁目１,堀留児童公園内,,3.3659,4.5003,-,(H25.1.1)
中央区,日（６）,日本橋浜町一丁目１２,日本橋浜町ビル向側,,0.7589,1.8933,+2.4,
中央区,京（１）,銀座八丁目１０,銀座８丁目１０番ビル前,,3.8034,4.9378,-0.3,
中央区,京（３）,銀座一丁目３,高知県アンテナショップ前,,3.2818,4.4162,-,(H25.1.1)
中央区,京（４）,入船一丁目１,桜川公園内,,2.8800,4.0144,-,(H25.1.1)
中央区,京（５）,明石町１４,水たき「治作」前,,1.4760,2.6104,-0.5,
中央区,港（１９）,晴海一丁目３,新月島公園脇,,1.7500,2.8844,+7.1,
港区,（８）,芝五丁目２９,ＲＩＶＯＬＩ　ＡＮＴＩＱＵＥＳ前,国,4.3422,5.4766,+3.4,
港区,交（１）,赤坂一丁目９,共同通信会館前グリーンベルト内,国,10.4232,11.5576,-,(H25.1.1)
港区,交（９）,高輪三丁目１９,ＳＯＣ高輪ビル前,国,4.8184,5.9528,+3.8,
港区,復（１８）,新橋六丁目２２,季節料理「かど」前,,1.4693,2.6037,+0.5,
港区,復（１９）,虎ノ門一丁目１,虎ノ門ビル前,,4.8802,6.0146,-,(H25.1.1)
港区,芝（３）,愛宕一丁目７,長谷川医院脇,,4.2152,5.3496,-,(H25.1.1)
港区,芝（４）,芝公園二丁目１,増上寺向側,,2.4569,3.5913,-,(H25.1.1)
港区,芝（５）,芝大門二丁目９,住友不動産大門ビル前,,2.2389,3.3733,-,(H25.1.1)
港区,芝（６）,芝二丁目２９,高浦ビル前,,2.2609,3.3953,+3.4,
港区,芝（７）,芝浦三丁目１０,ロ－ズハイツ田町前,,2.7999,3.9343,+3.1,
港区,芝（８）,芝浦四丁目１７,第２ダイヤモンドパレス前,,2.5235,3.6579,+3.2,
港区,芝（９）,港南一丁目７,デ－タ・べ－スセンタ－ビル前,,2.1827,3.3171,+3.1,
港区,芝（１１）,高輪四丁目１３,防犯連絡所前,,25.6571,26.7915,+3.8,
港区,芝（１２）,白金台二丁目２４,白金児童遊園内,,27.5513,28.6857,+4.2,
港区,芝（１３）,白金台五丁目２１,白金迎賓館脇,,27.6249,28.7593,+4.1,
港区,芝（１４）,白金台五丁目１０,白金台八光マンション脇,,14.8251,15.9595,+4.3,
港区,芝（１５）,白金台三丁目２,瑞聖寺参道,,28.9893,30.1237,+4.2,
港区,芝（１６）,白金台一丁目２,藤和白金台コ－プ前,,12.8706,14.0050,+4.8,
港区,芝（１７）,高輪二丁目１７,テイケン東京ビル脇,,4.0225,5.1569,+3.2,
港区,芝（１８）,三田二丁目３,オ－ストラリア大使館脇,,17.3930,18.5274,-,(H25.1.1)
港区,芝（１９）,東麻布三丁目１０,第一コーヒー前,,4.2395,5.3739,-,(H25.1.1)
港区,芝（２０）,海岸三丁目１４,埠頭少年野球場前,,2.1131,3.2475,+3.1,
港区,麻（１）,麻布台一丁目１０,霊友会第一ビル向側,,13.4709,14.6053,-,(H25.1.1)
港区,麻（２）,六本木六丁目１７,蟻川ビル前,,12.0266,13.1610,-,(H25.1.1)
港区,麻（３）,元麻布一丁目５,安藤記念幼稚園前,,27.4893,28.6237,-,(H25.1.1)
港区,麻（４）,南麻布二丁目１２,サイオスビル脇,,5.3659,6.5003,-,(H25.1.1)
港区,麻（５）,南麻布三丁目１９,コーポラス麻布前,,6.3897,7.5241,-,(H25.1.1)
港区,麻（６）,南麻布四丁目３,都営南麻布四丁目アパ－ト公園内,◎,10.6360,11.7704,+4.4,
港区,麻（７）,南麻布五丁目６,盛岡町交番脇,,27.5587,28.6931,+3.1,
港区,麻（８）,西麻布二丁目１３,早野ビル前,,16.0392,17.1736,+3.5,
港区,麻（９）,南青山一丁目２６,六本木ダイヤビル脇,,30.4761,31.6105,-,(H25.1.1)
港区,麻（１０）,六本木七丁目１４,誠志堂ビル前,,29.9132,31.0476,-,(H25.1.1)
港区,麻（１１）,六本木三丁目１,六本木一丁目駅前バス停脇,,11.7199,12.8543,-,(H25.1.1)
港区,赤（１）,赤坂二丁目５,白亜ビル前,,7.0989,8.2333,-,(H25.1.1)
港区,赤（２）,赤坂五丁目５,一ツ木公園内,,29.0387,30.1731,-,(H25.1.1)
港区,赤（３）,赤坂四丁目１８,赤坂コミュニティーぷらざ脇,,28.7295,29.8639,+2.7,
港区,赤（５）,南青山一丁目３,ＢＵＢＢＬＥＳ脇,,31.0837,32.2181,+1.8,
港区,赤（６）,南青山四丁目２,青山橋前,,19.8082,20.9426,-,(H25.1.1)
港区,赤（７）,南青山五丁目１８,秀和高樹町レジデンス向側,,30.4355,31.5699,+3.0,
港区,赤（８）,北青山三丁目５,表参道交番脇,,33.5380,34.6724,+3.1,
新宿区,交（１６）,新宿四丁目２,本間ゴルフ前,国,35.0297,36.1641,-,(H27.1.1)
新宿区,四（１）,本塩町９,司法書士会館前,,25.0836,26.2180,+3.2,
新宿区,四（２）,四谷一丁目１２,四谷中学校前,,28.7531,29.8875,+2.6,
新宿区,四（３）,霞岳町無番地,信濃町交番前,,34.4858,35.6202,-,(H25.1.1)
新宿区,四（４）,霞ヶ丘町１３,神宮球場入口脇,,32.4738,33.6082,-,(H25.1.1)
新宿区,四（７）,新宿二丁目１,フォトギャラリー新宿御苑向側,,34.1744,35.3088,-,(H27.1.1)
新宿区,四（８）,四谷三丁目５,中央ビルディング前,,33.9729,35.1073,-,(H27.1.1)
新宿区,四（９）,片町３,新井ビル前,,18.6682,19.8026,-,(H25.1.1)
新宿区,牛（２）,白銀町３,白銀公園内,,19.6415,20.7759,-,(H26.1.1)
新宿区,牛（３）,納戸町２６,納戸町公園内,,27.7501,28.8845,-,(H25.1.1)
新宿区,牛（４）,市谷田町一丁目１１,保健会館新館国井記念館脇,,11.8886,13.0230,+1.4,
新宿区,牛（５）,余丁町１４,稲葉ビル前,,34.3826,35.5170,-,(H25.1.1)
新宿区,牛（７）,新宿七丁目２６,東大久保児童遊園内,,24.0294,25.1638,-,(H25.1.1)
新宿区,牛（８）,若松町３０,ビアンカ洋装店前,,34.9759,36.1103,-,(H25.1.1)
新宿区,牛（９）,喜久井町２,ＡＰＡ早稲田ビル前,,12.9587,14.0931,-,(H25.1.1)
新宿区,牛（１０）,早稲田町８３,定食「扇六」脇,,8.6094,9.7438,-,(H25.1.1)
新宿区,牛（１１）,矢来町７０,新潮社ビル前,,25.0449,26.1793,-,(H25.1.1)
新宿区,牛（１２）,市谷柳町１１,ラーメン「かた山」前,,21.0310,22.1654,-,(H25.1.1)
新宿区,赤（４）,南元町２４,東宮御所前,,20.5651,21.6995,-,(H25.1.1)
新宿区,新（１）,百人町三丁目２８,都・新宿地盤沈下観測所脇,,32.5718,33.7062,+2.2,
文京区,復（２０）,本郷二丁目１４,イチカワ（株）脇,,22.8827,24.0171,+1.4,
文京区,小（１）,後楽二丁目３,ディアハイム飯田橋前,,3.4959,4.6303,-,(H25.1.1)
文京区,小（３）,関口二丁目２,江戸川公園内（ＦｏｏｄＬａｎｄ三松脇）,,6.8564,7.9908,-,(H26.1.1)
文京区,小（４）,関口二丁目１,江戸川公園内（大滝橋脇）,,9.0826,10.2170,-,(H25.1.1)
文京区,小（５）,関口一丁目４１,大王ラーメン前,,6.1846,7.3190,-,(H25.1.1)
文京区,小（７）,目白台二丁目９,サニーハイム目白台マンション前,,28.5838,29.7182,+3.3,
文京区,小（９）,大塚四丁目４９,大塚公園内,,27.2670,28.4014,+5.4,
文京区,小（１０）,千石三丁目９,Ｆ宅脇,,11.3382,12.4726,+3.7,
文京区,小（１１）,本駒込二丁目２９,小石川中等教育学校内,◎,24.0495,25.1839,+2.8,
文京区,小（１２）,千石一丁目２９,千石駅前交差点,,22.0240,23.1584,+2.9,H27.2再設
文京区,小（１３）,白山一丁目２０,じゃっかす脇,,9.0070,10.1414,-,(H25.1.1)
文京区,小（１４）,小石川一丁目２３,柳町遊び場内,,5.9182,7.0526,-,(H25.1.1)
文京区,小（１５）,小石川三丁目２,今井文具店脇,,23.6546,24.7890,-,(H25.1.1)
文京区,小（１６）,小石川四丁目２２,小石川四丁目ビル前,,26.3019,27.4363,-,(H25.1.1)
文京区,小（１７）,音羽一丁目２１,マンション「ストーク音羽」脇,,7.4162,8.5506,-,(H26.1.1)
文京区,小（１８）,目白台一丁目２０,カムル目白台向側植込内,,28.3433,29.4777,-,(H26.1.1)
文京区,小（１９）,音羽二丁目９,護国寺惣門向側（ア－バン音羽前）,,14.8578,15.9922,+2.5,
文京区,小（２０）,大塚一丁目５,茗渓会館前,,26.5100,27.6444,-,(H25.1.1)
文京区,小（２１）,大塚三丁目３２,窪町東公園内,,9.3810,10.5154,-,使用不可(H25.1.1)
文京区,郷（１）,湯島三丁目２９,湯島神社前,,17.7247,18.8591,-,(H25.1.1)
文京区,郷（２）,本郷七丁目３,東大赤門前,,23.3636,24.4980,+2.7,
文京区,郷（３）,弥生一丁目１,弥生町交番前,,20.6368,21.7712,+3.6,
文京区,郷（４）,向丘二丁目１１,浩妙寺前,,20.6244,21.7588,-,(H25.1.1)
文京区,郷（５）,本駒込一丁目２０,協和輸送サービス(株)前,,20.9697,22.1041,-,(H25.1.1)
文京区,郷（６）,本駒込六丁目１４,イト－ピア六義園マンション前,,23.7051,24.8395,+3.4,
文京区,郷（９）,本駒込四丁目３９,（株）銀の汐前,,9.2290,10.3634,+1.1,
文京区,郷（１０）,千駄木三丁目４,須藤公園内,,6.8697,8.0041,-,(H25.1.1)
文京区,郷（１１）,千駄木二丁目１,ＹＡＮＡＩＳＨＯＰ向側,,5.2808,6.4152,-,(H25.1.1)
台東区,（２６）,浅草七丁目４,待乳山本龍院境内,国,2.7935,3.9279,-,(H25.1.1)
台東区,復（２３）,三ノ輪一丁目２１,炭火焼肉酒家「牛角」前,,2.6421,3.7765,+1.2,
台東区,復（２６）,蔵前二丁目２,（有）秀英社前,,2.0940,3.2284,+2.1,
台東区,復（２７）,台東二丁目１,どらっぐぱぱす向側,,1.6032,2.7376,+1.2,
台東区,下（１）,台東一丁目３０,台東交番前,,1.9673,3.1017,+2.8,
台東区,下（２）,上野七丁目９,マンションコスモ上野パークサイドシティ前,,2.3217,3.4561,+2.2,
台東区,下（３）,上野公園７,国立科学博物館前,,16.2971,17.4315,+1.5,
台東区,下（４）,上野公園３,動物園ホ－ル脇植込内,,4.8149,5.9493,-,(H25.1.1)
台東区,下（５）,上野桜木二丁目９,藤屋豆腐店向側,,15.3050,16.4394,+2.1,
台東区,下（６）,谷中五丁目９,龍泉寺前,,19.3696,20.5040,+2.4,
台東区,下（７）,根岸三丁目２５,東協ビル前,,3.7960,4.9304,-,(H25.1.1)
台東区,下（８）,根岸五丁目７,（株）協和前,,1.7210,2.8554,-,(H25.1.1)
台東区,下（９）,竜泉一丁目１,（有）都金属前,,0.7496,1.8840,-,(H25.1.1)
台東区,下（１０）,北上野二丁目１,ブティック「ＭＩＬＤ」前,,1.1232,2.2576,-,(H25.1.1)
台東区,浅（１）,元浅草一丁目２０,大塩ビル脇,,1.6630,2.7974,-,(H25.1.1)
台東区,浅（２）,西浅草三丁目２８,日蓮宗寿仙院前植込内,,1.3215,2.4559,-,(H25.1.1)
台東区,浅（４）,清川二丁目３８,あさみ理髪店前,,0.2656,1.4000,-,(H25.1.1)
台東区,浅（５）,橋場二丁目２,世界救世教教祖生誕之地碑前,,0.9421,2.0765,2.8,
台東区,浅（７）,駒形二丁目５,カミナガビル前,,4.7833,5.9177,-,(H25.1.1)
墨田区,（３３７８）,江東橋二丁目４,江東橋公園内,国,0.3875,1.5219,+2.7,
墨田区,復（３２）,横網二丁目４,スリーエフ前,,0.2228,1.3572,+1.7,
墨田区,所（１）,東駒形二丁目１０,（株）大和工務店前,,1.5189,2.6533,+1.6,
墨田区,所（２）,向島一丁目３,隅田公園内,,2.7893,3.9237,+1.5,
墨田区,所（３）,向島二丁目１,隅田公園植込内（小梅小学校裏）,,2.8600,3.9944,+0.5,
墨田区,所（４）,向島五丁目１３,アサヒ飲料向側,,1.4597,2.5941,+0.9,
墨田区,所（５）,押上二丁目２１,東京コカコーラ押上営業所脇,,-1.0179,0.1165,-0.3,
墨田区,所（６）,押上一丁目４７,押上公園植込内,,-0.4637,0.6707,+2.4,
墨田区,所（７）,錦糸四丁目１５,錦糸公園内,,-0.5602,0.5742,+2.9,
墨田区,所（８）,業平一丁目１８,北十間川東武橋脇,,1.1093,2.2437,+1.8,
墨田区,所（９）,太平一丁目１８,ＥＮＥＯＳ本所スタンド脇,,0.4579,1.5923,+2.1,
墨田区,所（１０）,石原三丁目１８,（株）ダイア脇,,0.5686,1.7030,+2.3,
墨田区,所（１１）,緑二丁目２３,緑町公園内,,1.0061,2.1405,+2.2,
墨田区,所（１２）,立川四丁目１６,元井材木店向側,,0.7521,1.8865,+2.1,
墨田区,所（１３）,菊川一丁目１８,中和公園内,,0.6310,1.7654,+2.5,
墨田区,所（１４）,立川一丁目１８,三井のリパーク脇,,1.9869,3.1213,+1.7,
墨田区,所（１５）,千歳一丁目８,江島杉山神社境内,◎,0.9326,2.0670,+1.0,
墨田区,所（１６）,横川三丁目１０,横川交番前交差点,,-0.6177,0.5167,+3.1,
墨田区,所（１７）,横網一丁目２,ライオン（株）前植込内,,1.4149,2.5493,+1.8,
墨田区,所（１８）,両国一丁目２,都・両国地盤沈下観測所内,◎,1.5239,2.6583,+2.0,施錠
墨田区,向（１）,堤通二丁目７,東京東信用金庫堤通支店前,,0.9393,2.0737,+1.1,
墨田区,向（２）,八広五丁目１２,八広小学校内,◎,-0.3855,0.7489,+0.6,
墨田区,向（３）,八広一丁目２６,豊田工務所前,,-1.6521,-0.5177,+0.9,
墨田区,向（４）,東墨田三丁目１６,マキノ工場脇,,-1.3385,-0.2041,+0.8,
墨田区,向（５）,立花六丁目１７,東漸寺境内,◎,-2.3055,-1.1711,+2.0,
墨田区,向（６）,立花一丁目１,福神橋際公衆トイレ前,,1.5138,2.6482,+1.9,
墨田区,向（７）,立花五丁目５１,中平井橋西詰,,0.8949,2.0293,+0.2,
墨田区,向（８）,文花一丁目３０,都営住宅給水塔脇,◎,-0.1832,0.9512,+3.4,施錠
墨田区,向（９）,立花五丁目６,都・下水道局吾嬬ポンプ場内,,-1.2287,-0.0943,+1.0,立入不可
墨田区,向（一）,墨田五丁目３１,多聞寺境内,◎,-0.6723,0.4621,+1.2,
墨田区,向（三）,東向島六丁目８,第三寺島小学校内,◎,-0.8889,0.2455,+0.3,
墨田区,向（四）,京島一丁目２,イトーヨーカドー前,,-0.6897,0.4447,-0.5,
墨田区,向（五）,八広六丁目５４,寝具のフクシマ向側,,-1.4740,-0.3396,0.0,
墨田区,向（七）,立花四丁目２３,中華苑前,,-2.0495,-0.9151,+1.9,
墨田区,向（八）,堤通一丁目１９,デニーズレストラン脇,,0.6500,1.7844,+1.3,
江東区,（３３７７）,亀戸七丁目６１,セザール亀戸前,国,-1.9233,-0.7889,+4.2,
江東区,（９８３１）,富岡一丁目１６,深川公園内,国,-0.0559,1.0785,+1.7,
江東区,（９８３２）,南砂二丁目１６,公社南砂住宅２号棟脇,国,-0.8095,0.3249,+4.4,
江東区,（９８３３）,南砂七丁目１４,八幡神社向側,国,-2.4416,-1.3072,+4.4,
江東区,復（３５）,門前仲町一丁目１,臨海公園内,,1.1123,2.2467,+0.6,
江東区,深（１）,永代一丁目１,コンシェリア門前仲町ＲｉｖｅｒＳｉｄｅ脇,,0.9810,2.1154,+0.1,
江東区,深（２）,福住二丁目３,首都高福住入口向側,,0.5849,1.7193,+0.3,
江東区,深（３）,平野一丁目２,ＧＳアネックス清澄公園マンション前,,0.8755,2.0099,+1.1,
江東区,深（４）,清澄一丁目３,清洲橋東詰向側,,2.6773,3.8117,-2.7,
江東区,深（５）,新大橋二丁目１０,そば処「天狗」向側,,0.4611,1.5955,+1.4,
江東区,深（６）,白河三丁目１３,白河児童遊園内,,1.0046,2.1390,+4.0,
江東区,深（７）,扇橋一丁目１７,Ｔ宅脇,,-0.2967,0.8377,+3.5,
江東区,深（８）,住吉二丁目２８,都・猿江恩賜公園内,,-0.1482,0.9862,+2.3,
江東区,深（９）,千田１７,江東公園内,,-1.6058,-0.4714,+2.9,
江東区,深（１０）,平野四丁目６,都・木場公園内,,0.8862,2.0206,+3.5,
江東区,深（１１）,東陽五丁目１２,八多稲荷前,,-0.2185,0.9159,+3.6,
江東区,深（１２）,東陽三丁目２７,東陽公園内,,-1.5872,-0.4528,+3.4,
江東区,深（１３）,東陽三丁目８,沢海橋第二児童遊園内,,1.7358,2.8702,+2.8,
江東区,深（１４）,東陽一丁目１９,南開橋第一児童遊園内,,-0.7880,0.3464,+2.4,
江東区,深（１５）,古石場三丁目１,古石場三丁目公園内,,0.6466,1.7810,+1.7,
江東区,深（１６）,越中島三丁目４,清水建設（株）技術研究所前,,0.3235,1.4579,+1.9,
江東区,深（１７）,越中島三丁目７,深川第三中学校内,◎,1.0249,2.1593,+1.1,
江東区,深（１８）,越中島一丁目３,越中島住宅１５号棟脇,,0.2058,1.3402,+0.5,
江東区,深（１９）,亀戸一丁目３２,ウィングス・ハイ亀戸脇,,-1.3719,-0.2375,+3.0,
江東区,深（２０）,亀戸九丁目１９,亀戸九丁目交差点前,,-2.7804,-1.6460,+3.1,
江東区,深（２１）,清澄二丁目２,清澄公園内,,1.3657,2.5001,+0.5,
江東区,深（２２）,常盤二丁目９,ゴルフパートナー前,,0.5981,1.7325,+1.6,
江東区,城（１）,大島七丁目３９,東大島駅前ハイツ３号棟脇,,-2.6068,-1.4724,+3.2,
江東区,城（２）,北砂四丁目１９,公社北砂四丁目住宅前,,-3.0290,-1.8946,+3.2,
江東区,城（３）,北砂五丁目２０,北砂五丁目団地１０号棟脇,,-1.4298,-0.2954,+2.6,
江東区,城（４）,東砂六丁目１７,Ｓ宅前,,-2.8928,-1.7584,+6.3,
江東区,城（５）,北砂二丁目１,城東警察署前,,-2.5022,-1.3678,+1.4,
江東区,城（６）,北砂六丁目２６,亀高公園内,,-1.3819,-0.2475,+2.9,
江東区,城（７）,北砂三丁目４,進開橋南詰,,2.2200,3.3544,-1.1,
江東区,城（９）,大島六丁目３,都営大島六丁目アパ－ト３号棟前,,-2.3201,-1.1857,+4.2,
江東区,城（１０）,亀戸七丁目８,亀戸東公園内,,-2.7421,-1.6077,+3.8,
江東区,城（１２）,亀戸四丁目１８,割烹「升本」前,,-1.4213,-0.2869,+3.8,
江東区,城（１３）,東砂三丁目２１,第七砂町小学校内,◎,-2.5802,-1.4458,+6.1,
江東区,城（１４）,南砂三丁目１４,都・南砂町地盤沈下観測所脇,,-2.4849,-1.3505,+4.2,
江東区,港（１）,新砂三丁目９,都・砂町水再生センター内,◎,-0.0343,1.1001,+4.3,
江東区,港（２）,新砂三丁目９,都・砂町水再生センタ－本館脇,◎,0.4956,1.6300,+4.6,
江東区,港（３）,新砂三丁目２,九重橋東詰,,1.6808,2.8152,+3.1,
江東区,港（４）,新砂一丁目９,都・土木技術支援・人材育成センター内,◎,0.8243,1.9587,+3.3,
江東区,港（５）,塩浜二丁目２５,塩浜二丁目公園内,,1.1950,2.3294,+3.0,
江東区,港（６）,潮見一丁目２９,都営潮見一丁目アパート遊園内,,3.0612,4.1956,+4.3,
江東区,港（７）,枝川三丁目８,マンション木場サニータウン向側,,-0.1764,0.9580,+4.1,
江東区,港（８）,枝川二丁目２８,中越運送（株）枝川寮向側,,-0.4720,0.6624,+4.3,
江東区,港（９）,枝川一丁目８,朝凪公園内,,0.1907,1.3251,+5.2,
江東区,港（１０）,塩浜二丁目２,浜崎橋東詰植込内,,2.6770,3.8114,-1.2,
江東区,港（１１）,豊洲四丁目５,東京フロントコートグローヴウイング向側,,0.5011,1.6355,+5.3,
江東区,港（１３）,豊洲一丁目２,豊洲一丁目第二公園脇植込内,,2.0799,3.2143,+2.8,
江東区,港（１４）,東雲一丁目９,イオン東雲ショッピングセンター脇,,0.3566,1.4910,+5.9,
江東区,港（１５）,東雲一丁目５,マンションＢｅＣＩＴＹベイウイング前,,0.6859,1.8203,+5.7,
江東区,港（２１）,辰巳一丁目１,旧防災事務所内,◎,2.5376,3.6720,+7.0,
江東区,港（２２）,新砂三丁目８,都・砂町排水機場内,◎,1.5599,2.6943,+5.4,
品川区,（Ⅰ）,荏原一丁目１５,延命地蔵前,国,23.4654,24.5998,-,(H26.1.1)
品川区,（９－１）,南品川三丁目５,海雲寺境内,国,3.7553,4.8897,+1.0,
