地域,地点Ｎｏ,整理Ｎｏ,鉄管Ｎｏ,観測井名,所在地,設置年月,鉄管の深さ（ｍ）,鉄管の径（ｃｍ）,ストレーナの深さ（ｍ）
江東区,1,1,研　15,南砂町　第１,南砂三丁目、南砂少年野球場東側脇,昭　29.5,70,20,65～70
江東区,1,2,研　23,南砂町　第２,南砂三丁目、南砂少年野球場東側脇,昭　36.3,130,20,125～130
江東区,2,3,研　12,亀戸　第１,亀戸九丁目、江東区亀戸福祉園北側,昭　27.6,61,20,56～61
江東区,2,4,研　22,亀戸　第２,亀戸九丁目、江東区亀戸福祉園北側,昭　35.6,144,20,139～144
墨田区,3,5,研　13,吾嬬　Ａ,立花五丁目、下水道局吾嬬ポンプ所内,昭　28.5,47,20,42～47
墨田区,3,6,研　16,吾嬬　Ｂ,立花五丁目、下水道局吾嬬ポンプ所内,昭　30.6,115,20,108～115
墨田区,4,7,研　65,両国　第１※,両国一丁目、隅田川両国橋下流左岸,昭　49.3,38,8,35～37
墨田区,4,8,研　66,両国　第２,両国一丁目、隅田川両国橋下流左岸,昭　49.3,126,20,76～87
江戸川区,5,9,研　29,新江戸川　第１（浅井戸）,松島二丁目、都立江戸川高校内南角,昭　38.12,71,5,2～10
江戸川区,5,10,研　30,新江戸川　第２,松島二丁目、都立江戸川高校内南角,昭　38.12,151,20,129～150
江戸川区,5,11,研　31,新江戸川　第３,松島二丁目、都立江戸川高校内南角,昭　41.12,450,10,313～346
江戸川区,6,12,研　28,小岩,上一色三丁目、都五建江戸川北工区内,昭　38.8,56,20,47～55
江戸川区,7,13,研　38,江戸川東部　第１,江戸川三丁目、八雲神社向側,昭　45.3,70,20,62～67
江戸川区,7,14,研　39,江戸川東部　第２,江戸川三丁目、八雲神社向側,昭　45.3,161,20,150～160
江戸川区,7,15,研　40,江戸川東部　第３※,江戸川三丁目、八雲神社向側,昭　45.3,400,15,291～306
江戸川区,8,16,研　48,小島　第１,西葛西二丁目、八幡神社向側,昭　47.3,40,8,37～40
江戸川区,8,17,研　49,小島　第２,西葛西二丁目、八幡神社向側,昭　47.3,80,0,70～77
江戸川区,8,18,研　50,小島　第３,西葛西二丁目、八幡神社向側,昭　47.3,150,20,123～134
江戸川区,8,19,研　51,小島　第４※,西葛西二丁目、八幡神社向側,昭　47.3,270,15,212～229
江戸川区,9,20,研　52,篠崎　第１,上篠崎一丁目、都立篠崎公園北東角,昭　47.3,65,20,55～60
江戸川区,9,21,研　53,篠崎　第２※,上篠崎一丁目、都立篠崎公園北東角,昭　47.3,265,15,250～260
江戸川区,9,22,研　54,篠崎　第３※,上篠崎一丁目、都立篠崎公園北東角,昭　47.3,34,15,300～315
足立区,10,23,研　32,新足立,中央本町一丁目、都立足立高校内南西角,昭　43.3,270,20,224～234
足立区,11,24,研　55,伊興,伊興二丁目、西伊興小学校南東角,昭　47.6,120,20,87～115
足立区,12,25,研　42,神明南　第１,神明南二丁目、足立区神明南材料置場内,昭　46.3,110,20,99～104
足立区,12,26,研　43,神明南　第２,神明南二丁目、足立区神明南材料置場内,昭　46.3,180,20,170～177
足立区,12,27,研　44,神明南　第３※,神明南二丁目、足立区神明南材料置場内,昭　46.3,380,15,304～330
足立区,13,28,研　103,小台　第１,小台一丁目、尾久橋高架下,平　2.3,50,20,40～45
足立区,13,29,研　104,小台　第２,小台一丁目、尾久橋高架下,平　2.3,170,20,148～160
足立区,13,30,研　105,小台　第３※,小台一丁目、尾久橋高架下,平　2.3,300,15,212～234
足立区,14,31,浅　1,舎人　（浅井戸）,舎人六丁目、舎人いきいき公園北東角,昭　49.3,6,7,2～6
足立区,14,32,研　62,舎人　第１,舎人六丁目、舎人いきいき公園北東角,昭　49.3,27,7,22～27
足立区,14,33,研　63,舎人　第２※,舎人六丁目、舎人いきいき公園北東角,昭　49.3,200,15,172～184
足立区,14,34,研　64,舎人　第３※,舎人六丁目、舎人いきいき公園北東角,昭　49.3,340,15,290～302
葛飾区,15,35,研　41,高砂,高砂四丁目、高砂北公園西側,昭　46.3,124,20,118～123
板橋区,16,36,研　24,戸田橋　第１※,舟渡四丁目、都土木技術支援・人材育成センター戸田橋実験場内,昭　36.6,290,8,258～268
板橋区,16,37,研　25,戸田橋　第２※,舟渡四丁目、都土木技術支援・人材育成センター戸田橋実験場内,昭　36.1,113,8,103～113
板橋区,16,38,研　26,戸田橋　第３,舟渡四丁目、都土木技術支援・人材育成センター戸田橋実験場内,昭　37.9,60,20,51～59
板橋区,17,39,研　36,板橋,富士見町、都営板橋富士見町アパート東側,昭　44.3,270,20,188～199
板橋区,18,40,研　56,上赤塚　第１,赤塚三丁目、上赤塚公園北角,昭　48.3,150,20,111～122
板橋区,18,41,研　57,上赤塚　第２※,赤塚三丁目、上赤塚公園北角,昭　48.3,250,15,189～211
板橋区,18,42,研　58,上赤塚　第３※,赤塚三丁目、上赤塚公園北角,昭　48.3,400,15,327～355
練馬区,19,43,研　34,練馬　第１,谷原四丁目、練馬区谷原材料置場内,昭　44.3,100,20,87～97
練馬区,19,44,研　35,練馬　第２,谷原四丁目、練馬区谷原材料置場内,昭　44.3,200,20,185～195
新宿区,20,45,研　33,新宿,百人町三丁目、百人町ふれあい公園南側,昭　44.1,130,20,114～125
杉並区,21,46,浅　11,杉並　（浅井戸）,大宮二丁目、都立和田堀公園グランド北側脇,平　5.3,10,20,4～8
