施設台帳No.,路線名１（号）,路線名２,トンネル名,測定対象
63,45,吉野街道,御岳トンネル,西-4
64,45,吉野街道,払沢トンネル,
35,411,青梅街道,白丸トンネル,
36,411,青梅街道,新氷川トンネル,西-1
,184,多摩川南岸道路,城山トンネル,西-7
69,184,多摩川南岸道路,愛宕トンネル,
70,204,日原街道,日原トンネル,
57,33,檜原街道から分岐,甲武トンネル,
58,33,檜原街道から分岐,栗坂トンネル,
59,53,小曽木街道,青梅坂トンネル,
61,53,成木街道,新吹上トンネル,西-3
62,53,成木街道,滝成トンネル,
56,32,秋川街道,権田トンネル,
77,33,秋川街道,新小峰トンネル,南西-1
65,61,山田通り,上川トンネル,
66,61,山田通り,網代トンネル,西-5
67,61,秋川南岸道路,五日市トンネル,西-6
78,61,美山通り,美山トンネル,南西-2
79,61,美山通り,小田野トンネル,
55,411,滝山街道,新満地トンネル,西-2
84,46,新滝山街道,戸吹トンネル,南西-3
72,158,多摩ニュータウン通り,小山内裏トンネル,
81,155,平山通り,堀之内第一トンネル,
82,155,平山通り,堀之内第二トンネル,
83,155,平山通り,堀之内第三トンネル,
85,155,平山通り,北八幡寺芝トンネル,
75,18,鎌倉街道,綾部原トンネル,
