事業名,根拠規程,平成27年度決算額（千円）,支出先
東京港利用促進コンテナ貨物補助,東京港利用促進コンテナ貨物補助制度補助金交付要綱,110555,東京港を利用する船舶運航事業者10件
コンテナ輸送用はしけ横持補助,コンテナ輸送用はしけ横持補助制度補助金交付要綱,17538,コンテナバージによる横持輸送を依頼する者10件
港内横持補助,港内横持補助制度（東京貨物ターミナル駅～東京港コンテナターミナル）補助金交付要綱,6896,横持輸送を営む者2件
東京港等客船誘致促進補助,東京港等客船誘致促進補助制度補助金交付要綱,3000,クルーズ客船運航事業者3件
緊急放送設備整備補助,緊急放送設備整備補助金交付要綱,28678,港区、江東区
東京都臨海副都心おもてなし促進事業,（1）東京都臨海副都心おもてなし促進事業補助要綱（新たな観光資源の創出）（2）東京都臨海副都心おもてなし促進事業補助要綱（外国人来訪者の受入体制環境整備）,263649,民間事業者13件
航空保安検査補助,航空保安検査補助金交付要綱,31295,航空運送事業者2社
伊豆諸島定期航路事業補助,離島航路補助金交付要綱,464034,離島航路事業者3社
伊豆諸島海上貨物運賃補助,伊豆諸島海上貨物運賃補助金交付要綱,333286,貨物輸送事業者5社
伊豆大島旅客運賃補助（航路）,伊豆大島船舶旅客運賃補助金交付要綱,111948,一般旅客定期航路事業者1社
伊豆大島旅客運賃補助（航空路）,伊豆大島航空旅客運賃補助金交付要綱,6380,航空運送事業者1社
離島航空路補助,東京都離島航空路線運航費補助金交付要綱,338526,航空運送事業者2社
調布飛行場周辺住宅等騒音防止工事に関する補助,東京都調布飛行場周辺住宅等騒音防止工事に関する補助金交付要綱,306,住宅2件
