全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考,絵本,雑誌,点字本,視聴覚資料,外国語の本,新聞(全国紙),新聞(地方紙),新聞(その他),地元出身の作家の本コーナー,インターネットを使える端末,インターネットでの蔵書検索,プリンター,フリーWi-Fi,飲食物を購入できる場所,おはなし会,映画会,講座等,閲覧できる場所,映像が見れる場所,自習室,ソファー,キッズスペース,飲み物,食べ物,私語,自習,パソコン作業
132063,,東京都府中市,中央図書館,チュウオウトショカン,,,1512,,,,,東京都府中市府中町2-24ルミエール府中３階・４階・５階,東京都,府中市,府中町,2月24日,ルミエール府中３階・４階・５階,,,,,(042)362-8647,,,,,1830055,,府中市,,09:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132063,,東京都府中市,白糸台図書館,シライトダイトショカン,,,1512,,,,,東京都府中市白糸台1-60白糸台文化センター3階,東京都,府中市,白糸台,1-60,白糸台文化センター3階,,,,,(042)360-3443,,,,,1830011,,府中市,,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132063,,東京都府中市,西府図書館,ニシフトショカン,,,1512,,,,,東京都府中市西府町1-60西府文化センター3階,東京都,府中市,西府町,1-60,西府文化センター3階,,,,,(042)360-8998,,,,,1830031,,府中市,,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132063,,東京都府中市,武蔵台図書館,ムサシダイトショカン,,,1512,,,,,東京都府中市武蔵台2-2武蔵台文化センター3階,東京都,府中市,武蔵台,2月2日,武蔵台文化センター3階,,,,,(042)576-6390,,,,,1830042,,府中市,,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132063,,東京都府中市,新町図書館,シンマチトショカン,,,1512,,,,,東京都府中市新町1-66新町文化センター3階,東京都,府中市,新町,1-66,新町文化センター3階,,,,,(042)360-6336,,,,,1830052,,府中市,,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132063,,東京都府中市,住吉図書館,スミヨシトショカン,,,1512,,,,,東京都府中市住吉町1-61住吉文化センター3階,東京都,府中市,住吉町,1-61,住吉文化センター3階,,,,,(042)360-5775,,,,,1830034,,府中市,,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132063,,東京都府中市,是政図書館,コレマサトショカン,,,1512,,,,,東京都府中市是政2-20是政文化センター3階,東京都,府中市,是政,2月20日,是政文化センター3階,,,,,(042)360-2882,,,,,1830014,,府中市,,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132063,,東京都府中市,紅葉丘図書館,モミジガオカトショカン,,,1512,,,,,東京都府中市紅葉丘2-1紅葉丘文化センター3階,東京都,府中市,紅葉ヶ丘,2月1日,紅葉丘文化センター3階,,,,,(042)360-7227,,,,,1830004,,府中市,,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132063,,東京都府中市,四谷図書館,ヨツヤトショカン,,,1512,,,,,東京都府中市四谷2-75四谷文化センター2階,東京都,府中市,四谷,2-75,四谷文化センター2階,,,,,(042)360-3663,,,,,1830035,,府中市,,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132063,,東京都府中市,押立図書館,オシタテトショカン,,,1512,,,,,東京都府中市押立町5-4押立文化センター2階,東京都,府中市,押立町,5月4日,押立文化センター2階,,,,,(042)483-4122,,,,,1830012,,府中市,,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132063,,東京都府中市,片町図書館,カタマチトショカン,,,1512,,,,,東京都府中市片町2-17片町文化センター4階,東京都,府中市,片町,2月17日,片町文化センター4階,,,,,(042)368-7117,,,,,1830021,,府中市,,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132063,,東京都府中市,宮町図書館,ミヤマチトショカン,,,1512,,,,,東京都府中市宮町3-1ふるさと府中歴史館2階,東京都,府中市,宮町,3月1日,ふるさと府中歴史館2階,,,,,(042)364-3613,,,,,1830023,,府中市,,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132063,,東京都府中市,生涯学習センター図書館,ショウガイガクシュウセンタートショカン,,,1512,,,,,東京都府中市浅間町1-7府中市生涯学習センター2階,東京都,府中市,浅間町,44933,府中市生涯学習センター2階,,,,,(042)336-5702,,,,,1830001,,府中市,,09:00,19:00,土日祝日は9:00/17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132063,,東京都府中市,(図書取次)市政情報センター,トショトリツギシセイジョウホウセンター,,,1512,,,,,東京都府中市宮町1-100ル・シーニュ5階府中市市民活動支援センタープラッツ内,東京都,府中市,宮町,1-100,ル・シーニュ5階府中市市民活動支援センタープラッツ内,,,,,(042)362-8647,,,,市政情報センターにおける図書取次は図書館の所掌事務のため、中央図書館の電話番号が記載されている。,1830023,,府中市,,08:30,19:30,土日祝日は8:30/18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
