"","進捗率","セルフ率"
"千代田区","100","98.2"
"中央区","100","2.4"
"港区","92.2","20"
"新宿区","100","95.3"
"文京区","100","31.6"
"台東区","100","76.2"
"墨田区","100","89.3"
"江東区","100","16.8"
"品川区","33.2","0"
"目黒区","100","16.3"
"大田区","100","63.4"
"世田谷区","100","31"
"渋谷区","78","10.4"
"中野区","100","46.8"
"杉並区","100","0"
"豊島区","95.8","51.5"
"北区","100","37"
"荒川区","100","12.6"
"板橋区","96.2","39.6"
"練馬区","100","4.5"
"足立区","100","51.2"
"葛飾区","100","32.1"
"江戸川区","99.8","13.4"
"八王子市","100","72.8"
"立川市","100","6"
"武蔵野市","100","1"
"三鷹市","99.6","9.8"
"青梅市","100","0"
"府中市","100","72.7"
"昭島市","100","0.6"
"調布市","100","75.4"
"町田市","96.1","92.2"
"小金井市","100","34.8"
"小平市","100","10.7"
"日野市","100","89.1"
"東村山市","100","5.3"
"国分寺市","1400","1.2"
"国立市","100","58.5"
"福生市","98.2","14.8"
"狛江市","99.5","50.5"
"東大和市","100","1.9"
"清瀬市","100","19.6"
"東久留米市","99.5","20.8"
"武蔵村山市","100","88.8"
"多摩市","100","89.3"
"稲城市","100","85.3"
"羽村市","100","2"
"あきる野市","100","0"
"西東京市","100","86.4"
"瑞穂町","100","25"
"日の出町","100","0"
"檜原村","100","0"
"奥多摩町","0","0"
"大島町","100","100"
"利島村","0","0"
"新島村","0","0"
"神津島村","0","0"
"三宅村","0","0"
"御蔵島村","0","0"
"八丈町","100","50"
"青ヶ島村","0","0"
"小笠原村","0","0"
