"","総数／人","総数／％","20-29歳／人","20-29歳／％","30-39歳／人","30-39歳／％","40-49歳／人","40-49歳／％","50-59歳／人","50-59歳／％","60-69歳／人","60-69歳／％","70歳以上／人","70歳以上／％","(再掲)65-69歳／人","(再掲)65-69歳／％","(再掲)70-74歳／人","(再掲)70-74歳／％","(再掲)75-79歳／人","(再掲)75-79歳／％","(再掲)80-84歳／人","(再掲)80-84歳／％"
"男／総数","63","100","3","100","1","100","8","100","8","100","17","100","26","100","12","100","14","100","9","100","3","100"
"男／40mg/dl未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／40～50未満","1","1.6","0","0","0","0","0","0","0","0","0","0","1","3.8","0","0","1","7.1","0","0","0","0"
"男／50～60未満","2","3.2","1","33.3","0","0","0","0","0","0","1","5.9","0","0","1","8.3","0","0","0","0","0","0"
"男／60～70未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／70～80未満","5","7.9","1","33.3","0","0","1","12.5","0","0","2","11.8","1","3.8","2","16.7","1","7.1","0","0","0","0"
"男／80～90未満","4","6.3","0","0","0","0","0","0","1","12.5","1","5.9","2","7.7","1","8.3","1","7.1","1","11.1","0","0"
"男／90～100未満","6","9.5","0","0","0","0","1","12.5","1","12.5","1","5.9","3","11.5","1","8.3","1","7.1","2","22.2","0","0"
"男／100～110未満","10","15.9","0","0","0","0","1","12.5","2","25","4","23.5","3","11.5","2","16.7","1","7.1","2","22.2","0","0"
"男／110～120未満","9","14.3","0","0","1","100","1","12.5","2","25","1","5.9","4","15.4","1","8.3","3","21.4","1","11.1","0","0"
"男／120～130未満","8","12.7","0","0","0","0","1","12.5","0","0","3","17.6","4","15.4","1","8.3","1","7.1","2","22.2","1","33.3"
"男／130～140未満","5","7.9","1","33.3","0","0","1","12.5","0","0","0","0","3","11.5","0","0","2","14.3","0","0","1","33.3"
"男／140～150未満","5","7.9","0","0","0","0","1","12.5","0","0","1","5.9","3","11.5","1","8.3","2","14.3","0","0","1","33.3"
"男／150～160未満","1","1.6","0","0","0","0","0","0","1","12.5","0","0","0","0","0","0","0","0","0","0","0","0"
"男／160～170未満","3","4.8","0","0","0","0","0","0","0","0","2","11.8","1","3.8","1","8.3","1","7.1","0","0","0","0"
"男／170～180未満","2","3.2","0","0","0","0","0","0","0","0","1","5.9","1","3.8","1","8.3","0","0","1","11.1","0","0"
"男／180～190未満","1","1.6","0","0","0","0","1","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／190～200未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／200～210未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／210～220未満","1","1.6","0","0","0","0","0","0","1","12.5","0","0","0","0","0","0","0","0","0","0","0","0"
"男／220～230未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／230～240未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／240mg/dl以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／平均値mg/dl","116.2","","89.7","","112","","123.1","","123.4","","114.7","","116.1","","110","","114.4","","112.9","","134",""
"男／標準偏差","32.1","","38.1","","0","","33.9","","40.8","","33.2","","28.8","","36","","32.2","","27.1","","10.1",""
"女／総数","92","100","4","100","2","100","25","100","15","100","26","100","20","100","17","100","5","100","12","100","3","100"
"女／40mg/dl未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
