"年齢","人","平均値(g)","標準偏差(g)","パーセンタイル／1(g)","パーセンタイル／5(g)","パーセンタイル／10(g)","パーセンタイル／25(g)","パーセンタイル／50(中央値)(g)","パーセンタイル／75(g)","パーセンタイル／90(g)","パーセンタイル／95(g)","パーセンタイル／99(g)"
"男性総数","205","73.6","24.4","27.9","39.6","45","58","71","86.6","105.9","118.1","136.8"
"1～2歳","4","47.2","31.2","9.4","13.8","19.4","36.1","48.2","59.3","74.3","79.3","83.3"
"3～5歳","5","44.7","4.5","38.6","39.4","40.5","43.7","44.5","46.1","49","49.9","50.7"
"6～7歳","6","58.6","13.8","44.8","45","45.3","47.8","57.1","64","73.4","77.5","80.7"
"8～9歳","3","59.2","14.2","44","45.5","47.5","53.2","62.8","67.1","69.6","70.5","71.1"
"10～11歳","5","69.7","22.4","48.7","50","51.6","56.6","65.2","71.8","92.6","99.5","105"
"12～14歳","8","77.9","25.5","40.1","47.7","57.1","65.6","73.8","87.2","107.4","115.3","121.5"
"15～17歳","6","92","21.6","64.2","68.2","73.3","84.4","89.1","96.4","113.5","121.2","127.4"
"18～29歳","20","80.2","25.4","44.1","52.1","54.3","64.5","76.3","94.9","102.2","119","146.2"
"30～49歳","42","68.4","23.5","28.7","32.1","39.8","54.9","68.4","76.2","101.5","114","128.8"
"50～69歳","60","79.3","23.4","43.5","47.8","52.6","64.5","75.4","90.9","108.8","133.9","140.2"
"70歳以上","46","73.7","24","18.1","36.7","45.9","57","75.6","87.7","106.4","109.3","120.9"
"女性総数","228","65.1","22.5","25.3","32.9","40.7","49.2","62.2","78.2","92.1","104.5","133.2"
"1～2歳","3","44.5","3.7","41","41.3","41.6","42.6","44.3","46.3","47.6","48","48.3"
"3～5歳","2","52.3","6.6","47.7","48.1","48.6","50","52.3","54.6","56","56.5","56.9"
"6～7歳","6","48.2","8.4","38.4","39","39.7","42.4","47.2","53","57.7","59.2","60.4"
"8～9歳","4","52.3","13.6","33.1","36.1","39.7","50.7","57","58.6","61.2","62.1","62.7"
"10～11歳","1","67.7","0","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7"
"12～14歳","8","71.6","9.7","57.7","58.2","58.9","66.7","72.2","78.3","80.7","83.2","85.1"
"15～17歳","7","69.3","13.7","45.9","49.7","54.5","62.7","73.3","77.8","82.1","84.1","85.6"
"18～29歳","17","67.2","31.2","33.9","40.4","43.5","55.5","60.7","69.7","94.4","117.7","158.4"
"30～49歳","60","64.6","21.8","27.9","36.1","37.2","50.6","61.4","72.9","97.6","103.2","118.3"
"50～69歳","71","69.3","20.6","25","34.1","43.2","56.9","69","81.2","94","102.1","118.8"
"70歳以上","49","62","26","12.6","30.4","37.8","46.1","57.7","74.2","94.5","105.6","132.7"
"(再掲)妊婦","1","112.8","0","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8"
"授乳婦","1","58.9","0","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9"
