"年齢","人","平均値(mg)","標準偏差(mg)","パーセンタイル／1(mg)","パーセンタイル／5(mg)","パーセンタイル／10(mg)","パーセンタイル／25(mg)","パーセンタイル／50(中央値)(mg)","パーセンタイル／75(mg)","パーセンタイル／90(mg)","パーセンタイル／95(mg)","パーセンタイル／99(mg)"
"男性総数","205","0.9","0.4","0.21","0.39","0.46","0.62","0.81","1.12","1.41","1.6","2.11"
"1～2歳","4","0.54","0.29","0.19","0.23","0.28","0.43","0.55","0.67","0.8","0.85","0.88"
"3～5歳","5","0.52","0.13","0.38","0.38","0.38","0.39","0.57","0.6","0.63","0.64","0.65"
"6～7歳","6","0.58","0.22","0.38","0.39","0.42","0.47","0.54","0.58","0.79","0.9","0.98"
"8～9歳","3","0.79","0.15","0.66","0.67","0.68","0.71","0.77","0.86","0.92","0.94","0.95"
"10～11歳","5","1.08","0.4","0.8","0.8","0.8","0.81","0.85","1.2","1.51","1.62","1.7"
"12～14歳","8","0.96","0.54","0.35","0.44","0.56","0.67","0.81","1.1","1.51","1.81","2.05"
"15～17歳","6","1.39","0.33","0.97","1.03","1.09","1.23","1.32","1.53","1.76","1.84","1.91"
"18～29歳","20","0.99","0.34","0.54","0.62","0.64","0.67","0.95","1.31","1.4","1.43","1.52"
"30～49歳","42","0.83","0.39","0.27","0.33","0.42","0.52","0.76","1.09","1.37","1.47","1.85"
"50～69歳","60","0.94","0.42","0.39","0.41","0.49","0.66","0.84","1.11","1.48","1.71","2.24"
"70歳以上","46","0.9","0.35","0.11","0.42","0.53","0.69","0.93","1.08","1.29","1.44","1.75"
"女性総数","228","0.82","0.36","0.23","0.36","0.45","0.56","0.76","1.01","1.22","1.45","1.86"
"1～2歳","3","0.63","0.18","0.47","0.48","0.49","0.53","0.59","0.71","0.78","0.8","0.82"
"3～5歳","2","0.54","0.1","0.47","0.47","0.48","0.5","0.54","0.57","0.6","0.6","0.61"
"6～7歳","6","0.71","0.21","0.56","0.57","0.57","0.58","0.64","0.7","0.92","1.02","1.11"
"8～9歳","4","0.6","0.18","0.42","0.43","0.43","0.46","0.59","0.72","0.76","0.78","0.79"
"10～11歳","1","0.94","0","0.94","0.94","0.94","0.94","0.94","0.94","0.94","0.94","0.94"
"12～14歳","8","0.9","0.27","0.53","0.54","0.56","0.69","0.92","1.13","1.17","1.2","1.23"
"15～17歳","7","0.83","0.19","0.56","0.59","0.62","0.7","0.84","0.95","1.04","1.08","1.11"
"18～29歳","17","0.88","0.55","0.28","0.34","0.4","0.59","0.76","1.07","1.45","1.8","2.34"
"30～49歳","60","0.8","0.3","0.34","0.46","0.48","0.55","0.72","1.02","1.11","1.28","1.65"
"50～69歳","71","0.84","0.32","0.2","0.38","0.45","0.64","0.84","1.01","1.22","1.37","1.61"
"70歳以上","49","0.82","0.47","0.14","0.3","0.34","0.55","0.68","0.99","1.41","1.76","2.23"
"(再掲)妊婦","1","0.93","0","0.93","0.93","0.93","0.93","0.93","0.93","0.93","0.93","0.93"
"授乳婦","1","0.63","0","0.63","0.63","0.63","0.63","0.63","0.63","0.63","0.63","0.63"
