"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／E-mail","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"1","アイビー","一般社団法人アイビー","中央区","03-6262-8882","高橋","https://www.ivy-b.jp/","info@ivy-b.jp","名刺作成・印刷","印刷","100","5000","要相談","15円～／1枚","自力での納品可","無","無","有","福祉事業所にて千羽鶴を再生して作成された特別な用紙を使った名刺となります。デザインや文字の構成など、詳細等はお問合せください。"
"2","リバーサイドつつじ","特定非営利活動法人つつじ","中央区","03-6673-8081","","http://npotutuji.com/riverside.html","rivetutu@yahoo.co.jp","名刺","印刷","100枚","2000枚","3日～5日「","100枚2370円～","自力での納品可","無","無","有","注文枚数や納品方法はご相談下さい。自力納品できる地域が限定されます。それ以外の地域は郵送で納品致します。郵送、自力納品に係る費用は別途かかります。"
"3","オフィスクローバー","社会福祉法人結の会","新宿区","03-3365-4177","松田暁子","https://yuinokai-clover.com","yuinokai@axel.ocn.ne.jp","白黒印刷","印刷","100枚","50000枚","10日間","白黒印刷A41版1円～作業基本料1000円～","発注元による回収希望","有","無","有","封筒に社名やイベント名印刷。イベントや会議の配布資料印刷が可能。ご要望に合わせて版下作成も可能。簡易印刷機による白黒印刷の他、ご相談によっては一部カラーページも可。"
"4","パイオニア","東京都盲人福祉協会","新宿区","03-3208-9001","山本","https://www.normanet.ne.jp/~tomou/service/pioneer.html","pioneers@tomoukyo.or.jp","点字印刷の受注","印刷","100","1000","１週間","１枚￥15","発注元による回収希望","有","有","有","名刺に点字印刷を施す作業や、書類・紙製品に点図印刷をする仕様などを亜鉛版作成から受注しております。"
"5","わーくすここ・から","公益財団法人新宿区勤労者・仕事支援センター","新宿区","03-3208-2278","大熊","http://www.sksc.or.jp","works-kokokara@sksc.or.jp","封筒印刷（単色及びフルカラー）","印刷","50枚","10000枚","7日間","6円","自力での納品可","有","有","有","名入り封筒(色彩はいろいろと調整可能です）"
"6","わーくすここ・から","公益財団法人新宿区勤労者・仕事支援センター","新宿区","03-3208-2278","大熊","http://www.sksc.or.jp","works-kokokara@sksc.or.jp","プラスティック製カード印刷","印刷","１枚","50枚","7日間","800円","自力での納品可","無","無","有","顔写真付き職員証"
"7","わーくすここ・から","公益財団法人新宿区勤労者・仕事支援センター","新宿区","03-3208-2278","大熊","http://www.sksc.or.jp","works-kokokara@sksc.or.jp","紙製品の印刷・製本","印刷","１部","1000部","30日間","12円／枚","自力での納品可","有","有","有","生徒証（大きさは調整可能です）事業概要・研究報告書等（製本）"
"8","アビーム","社会福祉法人復生あせび会","文京区","03-3945-2195","","http://www.asebika.com","abeam@asebikai.com","名刺／封筒","印刷","１セット：１００枚","１０００枚","７営業日(原則）","片面カラー１セット９１６円～","発注元による回収希望","無","有","有",""
"9","すみだふれあいセンター福祉作業所","墨田区","墨田区","03-5600-2001","山本山崎","","hureaicent@city.sumida.lg.jp","チラシ・冊子等の印刷","印刷","100枚・50冊","10000枚・500冊","数日～半月","1枚5円・1冊数百円","自力での納品可","無","有","有","光沢紙への印刷、環境配慮を求めるインク使用は不可"
"10","かもめ第一工房","社会福祉法人福栄会","品川区","03-3458-4307","高橋","http://www.fukueikai.or.jp/","kamome1@fukueikai.or.jp","受注作業","印刷","１００００枚","５日間","５円／枚","自力での納品可","自力での納品可","無","有","有","製本、封入等も行っています。郵便局への投函まで請け負います。"
"11","下目黒福祉工房","目黒区社会福祉事業団","目黒区","03-3793-2590","齋藤","","shimomeguro@clock.ocn.ne.jp","印刷（封筒・名刺等）","印刷","50","20000枚","7日間(注文数により変動)","単価封筒7.5円から単価名刺22円から","自力での納品可","無","有","有","名刺の他、ロゴ入り封筒のご注文をいただいております。"
"12","目黒区立目黒本町福祉工房","社会福祉法人いたるセンター","目黒区","03-3714-0514","五木田","http://itarucenter.com/meguro/index.html","meguro@itarucenter.com","シルクスクリーン印刷エコバッグ","印刷","10","500","１か月","５００円","自力での納品可","無","有","有","社名やロゴを印刷し、広報活動やユニフォームなどにご活用されています。"
"13","東京都大田福祉工場","社会福祉法人東京コロニー","大田区","03-3762-7611","湯浅","https://ootafukushikojo.org/","yuasa@tocolo.or.jp","書籍","印刷","1","１０万","４～20日","活用事例２００円／冊","自力での納品可","有","有","有","Ａ５５００頁２８，２５０冊"
"14","東京都大田福祉工場","社会福祉法人東京コロニー","大田区","03-3762-7611","湯浅","https://ootafukushikojo.org/","yuasa@tocolo.or.jp","パンフレット","印刷","1","150万","３～30日","活用事例4.65円／部","自力での納品可","有","有","有","ミニパンフレット２８頁1091000部"
"15","Navioけやき","社会福祉法人櫂","世田谷区","03-3421-8701","","http://www.swc-kai.com/","navio.keyaki@swc-kai.com","名刺印刷","印刷","20枚","1000枚","10日","およそ10円/枚（モノクロ）・20円/枚（カラー）","発注元による回収希望","無","有","有",""
"16","Scopo","特定非営利活動法人ウィーキャン世田谷","世田谷区","03-6413-0098","鈴木","https://www.scopo.or.jp","order@scopo.or.jp","DTP・デザイン制作（冊子・チラシ・パンフレット）","印刷","冊子1冊","冊子1000冊","1ヶ月","480円/冊・税別（A4、200P、無線綴じ、スミ刷り）","自力での納品可","無","有","有","冊子、名刺、チラシ、リーフレットなどのデザイン制作から印刷・製本まで承ります。"
"17","Scopo","特定非営利活動法人ウィーキャン世田谷","世田谷区","03-6413-0098","鈴木","https://www.scopo.or.jp","order@scopo.or.jp","封筒印刷（封筒・名刺・案内状・年賀状等）","印刷","封筒10部","封筒10000部","10日","7円/枚・税別（長３封筒・スミ刷り）","自力での納品可","無","有","有","音声コード等、お客様のご要望に沿った封筒や名刺の印刷を行います。また、案内状や年賀状のデザインから宛名印刷も承ります。"
"18","まごの手便","社会福祉法人めぐはうす","世田谷区","03-3324-2391","","http://www.meghouse.or.jp/mago.html","magonotebin@meghouse.or.jp","名刺の印刷","印刷","10枚","1000枚","10日間","1000円（片面黒１色）1700円（両面黒１色）","自力での納品可","有","有","有",""
"19","まごの手便","社会福祉法人めぐはうす","世田谷区","03-3324-2391","","http://www.meghouse.or.jp/mago.html","magonotebin@meghouse.or.jp","資料の印刷","印刷","10枚","3000枚","2週間","５円（片面黒１色）","自力での納品可","無","有","有",""
"20","まごの手便","社会福祉法人めぐはうす","世田谷区","03-3324-2391","","http://www.meghouse.or.jp/mago.html","magonotebin@meghouse.or.jp","ＤＭ・チラシの封入や発送、宛名シール貼り","印刷","10件","1000件","2週間","３０円（１通）","自力での納品可","無","無","有",""
"21","まごの手便","社会福祉法人めぐはうす","世田谷区","03-3324-2391","","http://www.meghouse.or.jp/mago.html","magonotebin@meghouse.or.jp","封筒印刷","印刷","10枚","5000枚","10日間","１５円（１通）","自力での納品可","有","無","有",""
"22","ワークショップ・かたつむり","社会福祉法人かたつむり会","杉並区","03-3381-4278","森","http://www.jcpa.net/kata/","kata@jcpa.net","名刺印刷","印刷","１００枚","１０００枚","５日","モノクロ片面１０枚１３０円カラー１８０円","自力での納品可","無","無","有",""
"23","ワークショップ・かたつむり","社会福祉法人かたつむり会","杉並区","03-3381-4278","森","http://www.jcpa.net/kata/","kata@jcpa.net","ポスター・チラシ・ハガキ印刷","印刷","１００枚","１０００枚","５日","モノクロ片面１０枚100円カラー200円","自力での納品可","無","無","有",""
"24","E・G・B・A","（社福）豊芯会","豊島区","03-3915-9063","武岡","http://www.housinkai.or.jp","su-takeoka@housinkai.or.jp","印刷","印刷","100","30000","10日","1枚5円（リソ印刷）","自力での納品可","無","有","有","コピー・リソ印刷可能"
"25","Ivy","（社福）豊芯会","豊島区","03-3915-9002","武岡","http://www.housinkai.or.jp","jobtr@housinkai.or.jp","印刷","印刷","100","30000","10日","1枚5円（リソ印刷）","自力での納品可","無","有","有","リソ印刷・コピー類"
"26","荒川ひまわり第2","社会福祉法人トラムあらかわ","荒川区","03-3895-6149","","https://www.tram-arakawa.org/","tram2@rf7.so-net.ne.jp","チラシ印刷","印刷","10枚","5000枚","3週間","15円～/枚","発注元による回収希望","無","有","有","官公庁からのお知らせや各種イベントの広報、学園祭チラシ・ポスター等。"
"27","荒川ひまわり第2","社会福祉法人トラムあらかわ","荒川区","03-3895-6149","","https://www.tram-arakawa.org/","tram2@rf7.so-net.ne.jp","フルカラー名刺（片面）","印刷","100枚","2000枚","2～3週間","8円～/枚","自力での納品可","無","有","有","ご希望の字体やイラストで仕上げることが可能です。デザインも承ります。"
"28","ウィズミー","一般社団法人ウィズミー","板橋区","03-5943-5595","安藤","","withme_n_r@yahoo.co.jp","各種印刷","印刷","応相談","応相談","応相談","応相談","自力での納品可","無","無","有","ﾊﾟﾝﾌﾚｯﾄ・チラシ・冊子・ポスター等各種の印刷が可能です"
"29","練馬区立貫井福祉工房","東京都手をつなぐ育成会","練馬区","03-5987-0401","成田","http://www.ikuseikai-tky.or.jp/~iku-nukui/kobo/index.html","nukuikoubou@ikuseikai-tky.or.jp","名刺印刷","印刷","50","1000枚","5日間","1300円～/100枚","自力での納品可","有","有","有","印刷物については内容によって値段、納期、納品方法が変わります。ご注文の際にご相談させて頂きます。"
"30","練馬区立貫井福祉工房","東京都手をつなぐ育成会","練馬区","03-5987-0401","成田","http://www.ikuseikai-tky.or.jp/~iku-nukui/kobo/index.html","nukuikoubou@ikuseikai-tky.or.jp","封筒印刷","印刷","100","1000部","2週間","6.7円～／1枚","自力での納品可","有","有","有","印刷物については内容によって値段、納期、納品方法が変わります。ご注文の際にご相談させて頂きます。"
"31","練馬区立貫井福祉工房","東京都手をつなぐ育成会","練馬区","03-5987-0401","成田","http://www.ikuseikai-tky.or.jp/~iku-nukui/kobo/index.html","nukuikoubou@ikuseikai-tky.or.jp","パンフレット印刷","印刷","100","1000部","2週間","15.7円/1枚","自力での納品可","無","無","有","印刷物については内容によって値段、納期、納品方法が変わります。ご注文の際にご相談させて頂きます。"
"32","西水元福祉館","東京都知的障害者育成会","葛飾区","03-5660-2101","","http://www.ikuseikai-tky.or.jp/~iku-nishimizumoto/","mizumoto@ikuseikai-tky.or.jp","名刺印刷（片面・両面・点字）","印刷","１００枚","２０００枚","５日間","片面2000円/100枚以下オプション裏面500円/100枚点字1000円/100枚","自力での納品可","無","有","有","葛飾区・民間企業・個人の名刺作成実績があります。年度末繁忙期には時間をいただく場合があります。期間、数量についてご相談ください。"
"33","江戸川区立障害者就労支援センター","特定非営利活動法人自立支援センターむく","江戸川区","03-5622-6050","鈴木","https://www.city.edogawa.tokyo.jp/e041/kuseijoho/gaiyo/shisetsuguide/bunya/kenkofukushi/fukushi/shogaishashuro.html","info@shuroushien-muku.org","名刺作成","印刷","応相談","応相談","応相談","モノクロ片面100枚800円","自力での納品可","無","有","有",""
"34","グループＧ","社会福祉法人もくば会","八王子市","042-650-5515","中川","https://mokubakai.or.jp","contact@group-g.gr.jp","名刺・封筒印刷","印刷","","","製品及び数量による","製品による","自力での納品可","無","無","無",""
"35","チャレンジャー","社会福祉法人武蔵野千川福祉会","武蔵野市","0422-30-3010","新堂薫","http://www.musashino-senkawa.com/","kaoru@polka.plala.or.jp","印刷","印刷","","","１週間以内","","自力での納品可","","","",""
"36","ワークショップMEW","特定非営利活動法人ミュー","武蔵野市","0422-36-2089","","http://www.musashino-mew.com/","mewshop2@gmail.com","印刷","印刷","10","1000","3日～5日営業日","8円/枚（資材代込み）～","自力での納品可","無","無","有",""
"37","ワークセンターけやき","社会福祉法人武蔵野","武蔵野市","0422-54-50960422-54-5051","","http://fuku-musashino.or.jp/","keyaki@fuku-musashino.or.jp","名刺、封筒、チラシ、パンフレット、冊子等の各種印刷物","印刷","100枚","応相談","5日～応相談（内容による）","お見積り","自力での納品可","有","有","有",""
"38","ぷーやんあしながくらぶ就労館","特定非営利活動法人ぷーやんあしなが福祉会","昭島市","042-543-5139","加藤治男","","pc5@pooyan2.com","冊子編集印刷","印刷","100部～","応相談","1週間～頁数・部数によって変動","20000円～頁数及び部数によって変動","自力での納品可","無","有","無","多頁大口部数の編集印刷に対応再生紙使用証明書提出可"
"39","ぷーやんあしながくらぶ就労館","特定非営利活動法人ぷーやんあしなが福祉会","昭島市","042-543-5139","加藤治男","","pc5@pooyan2.com","パンフレット編集印刷","印刷","100部～","応相談","1週間～頁数・部数によって変動","10000円～頁数及び部数によって変動","自力での納品可","無","有","有","一万部を越える大口部数の編集印刷に対応再生紙等使用証明書提出可"
"40","ぷーやんあしながくらぶ就労館","特定非営利活動法人ぷーやんあしなが福祉会","昭島市","042-543-5139","加藤治男","","pc5@pooyan2.com","フライヤー編集印刷","印刷","100部～","応相談","1週間～部数によって変動","5000円～頁数及び部数によって変動","自力での納品可","無","無","有","一万部を越える大口部数の編集印刷に対応再生紙等使用証明書提出可"
"41","ぷーやんあしながくらぶ就労館","特定非営利活動法人ぷーやんあしなが福祉会","昭島市","042-543-5139","加藤治男","","pc5@pooyan2.com","ポスターデザイン印刷","印刷","1部～","応相談","1週間～ポスターサイズ等によって変動","3000円～ポスターサイズ等によって変動","自力での納品可","無","有","有","1枚からのデザイン印刷に対応大小各種ポスターサイズおよび特注サイズ可タペストリーなどもご相談ください"
"42","障害者支援施設町田荘","社会福祉法人東京援護協会","町田市","042-791-0905","趙","http://www.tokyoengokyokai.or.jp/","machidasou@nifty.com","名刺の印刷","印刷","100枚","1000枚","5日間","100枚/1600円","自力での納品可","無","無","有","納期については、ご相談ください。"
"43","町田市大賀藕絲館","社会福祉法人まちだ育成会","町田市","042-797-1616","","https://machida-ikuseikai.net/service/ohgagushikan.html","gusikan-ikuseikai@smile.ocn.ne.jp","蓮繊維入り手漉き名刺","印刷","１セット","１０セット","４日間","1000円／１セット","自力での納品可","無","有","有","蓮の繊維と紅花を混ぜた手漉き紙です。紙漉きの状況により、納期が前後することがあります。"
"44","みくま","社会福祉法人未来","小平市","042-312-3739","前川","http://mirai.no.coocan.jp","mikuma-mirai@nifty.com","印刷","印刷","10","500","5","40円／枚","発注元による回収希望","無","無","有","デザイン、納期ともにご希望をおうかがいします。ぜひご相談ください"
"45","光の家栄光園","東京光の家","日野市","042-581-2340","山本","http://www.hikarinoie.org/","eikoh@hikarinoie.org","名刺の点字印刷","印刷","1000枚(10箱)","10000枚(100箱)","7日間","10００円／１００枚(10箱)","自力での納品可","無","有","有","点字：15マス×4行エンボス式お持ちの名刺に点字をお入れいたします。国分寺市、名刺印刷会社"
"46","光の家栄光園","東京光の家","日野市","042-581-2340","山本","http://www.hikarinoie.org/","eikoh@hikarinoie.org","封筒の印刷","印刷","100枚","10000枚","20日間","サイズによる","自力での納品可","有","有","有","各種サイズに対応。神の種類や納期について、ご相談ください。"
"47","コロニー東村山","東京コロニー","東村山市","042-394-1111","坂本崇","https://colony.gr.jp","sakamoto@tocolo.or.jp","印刷全般","印刷","特に無し","Ａ４24頁7万部","校正含め1カ月","17円/1部","自力での納品可","有","有","有",""
"48","ともにードリーム","特定非営利活動法人東京自立支援センター","国立市","042-843-0145","伊東","http://www.tokyo-tomony.org/","ito@tokyo-tomony.org","名刺（点字）・パンフレット・封筒印刷・","印刷","100枚/1日","1200枚/1日","4日","4円/1枚","自力での納品可","","有","有","納期等ご相談ください。"
"49","ともにードリーム","特定非営利活動法人東京自立支援センター","国立市","042-843-0145","伊東","http://www.tokyo-tomony.org/","ito@tokyo-tomony.org","横断幕・ステッカーポスター印刷","印刷","1枚/1日","10枚/1日","4日","10000円/1枚","自力での納品可","","無","","種類によって単価が変わるのでご相談ください。Tシャツ等やマグカップも可能です。"
"50","くるめパソコン作業所","特定非営利活動法人武蔵野の里","東久留米市","042-471-4995","","http://musashinonosato.com/","mpc@cello.ocn.ne.jp","製本","印刷","","１日２５０冊","内容により","","自力での納品可","","","有",""
"51","くるめパソコン作業所","特定非営利活動法人武蔵野の里","東久留米市","042-471-4995","","http://musashinonosato.com/","mpc@cello.ocn.ne.jp","各種印刷（チラシ、名刺など）","印刷","","１日２５０００枚","","","自力での納品可","","有","有",""
"52","あかつき授産所","社会福祉法人あかつきコロニー","武蔵村山市","042-560-7840","永井","http://akatuki.or.jp","nagai@akatuki.or.jp","オフセット印刷","印刷","50冊","1000冊","5日間印刷製本のみの場合","内容によるため見積もり後応相談","自力での納品可","有","有","有","名刺から封筒、パンフレット、冊子までなんでも受注しおります。営業も配置しておりますので安心してご相談ください。"
