"","父(3514人)／無回答(%)","父(3514人)／全くない(%)","父(3514人)／ほとんどない(%)","父(3514人)／ときどきある(%)","父(3514人)／よくある(%)"
"子供を育てるために、我慢ばかりしていると思う","0.9","15.5","49.1","31.3","3.3"
"子供のことで、どうしたらよいかわからなくなる","0.9","16.1","45.5","34.1","3.4"
"子供の世話をするのが嫌になる","0.7","31.8","48.8","17.6","1.1"
"育児や家事に追われる自分をかわいそうに思う","1.0","47.7","41.8","8.5","1.1"
"一人になりたいときがある","1.0","13.3","28.1","44.9","12.6"
"配偶者が子育てに協力してくれないと思う※","0.8","71.7","22.7","3.2","1.6"
"子育てに関して回りの理解がないと思う","1.1","36.5","48.3","12.7","1.5"
"子供がいじめられたりしないか心配になる","0.7","10.7","32.4","45.7","10.5"
"子供が将来うまく育ってくれるかどうか心配になる","0.9","10.3","30.8","45.9","12.1"
"子供がかわいく思えない","0.8","81.9","14.8","2.2",""
"子供がいなければよかったと思う","0.9","85.3","11.7","1.7","0.3"
"子育てでイライラすることがある","0.8","6.1","28.4","52.7","12.0"
"子供をたたきたくなることがある","0.8","31.3","35.5","29.1","3.2"
"子供の発育について心配になる","0.9","24.1","37.9","31.2","5.9"
"子供の教育について心配になる","0.7","9.1","29.5","47.8","12.8"
