"","合計","夫","妻","娘","息子","息子の配偶者（嫁）","娘の配偶者（婿）","兄弟姉妹","孫","その他","わからない","無回答"
"担当ケアマネジャー(回答数)","1991","235","169","325","639","411","41","33","31","102","2","3"
"担当ケアマネジャー(%)","100.0","11.8","8.5","16.3","32.1","20.6","2.1","1.7","1.6","5.1","0.1","0.2"
"居宅介護支援(回答数)","1365","152","139","225","397","294","30","25","21","76","2","4"
"居宅介護支援(%)","100.0","11.1","10.2","16.5","29.1","21.5","2.2","1.8","1.5","5.6","0.1","0.3"
"地域型在宅介護支援センター(回答数)","1117","139","56","169","403","226","21","12","31","58","2","0"
"地域型在宅介護支援センター(%)","100.0","12.4","5.0","15.1","36.1","20.2","1.9","1.1","2.8","5.2","0.2","0.0"
"基幹型在宅介護支援センター(回答数)","532","69","30","70","218","79","8","9","20","25","2","2"
"基幹型在宅介護支援センター(%)","100.0","13.0","5.6","13.2","41.0","14.8","1.5","1.7","3.8","4.7","0.4","0.4"
"訪問介護(回答数)","307","46","27","62","96","48","8","9","4","6","0","1"
"訪問介護(%)","100.0","15.0","8.8","20.2","31.3","15.6","2.6","2.9","1.3","20.0","0.0","0.3"
"訪問看護(回答数)","336","41","40","67","94","64","7","2","9","11","1","0"
"訪問看護(%)","100.0","12.2","11.9","19.9","28.0","19.0","2.1","0.6","2.7","3.3","0.3","0.0"
"通所介護(回答数)","512","49","43","87","161","116","9","4","18","20","2","3"
"通所介護(%)","100.0","9.6","8.4","17.0","31.4","22.7","1.8","0.8","3.5","3.9","0.4","0.6"
"病院(回答数)","55","9","1","12","22","6","2","1","0","1","0","1"
"病院(%)","100.0","16.4","1.8","21.8","40.0","10.9","3.6","1.8","0.0","1.8","0.0","1.8"
"老人保健施設(回答数)","227","19","19","37","78","51","2","5","3","10","3","0"
"老人保健施設(%)","100.0","8.4","8.4","16.3","34.4","22.5","0.9","2.2","1.3","4.4","1.3","0.0"
"都道府県保健所(回答数)","37","9","1","6","10","5","1","3","0","1","1","0"
"都道府県保健所(%)","100.0","24.3","2.7","16.2","27.0","13.5","2.7","8.1","0.0","2.7","2.7","0.0"
"政令、中核、特別区保健所(回答数)","124","14","6","22","53","8","5","6","6","4","0","0"
"政令、中核、特別区保健所(%)","100.0","11.3","4.8","17.7","42.7","6.5","4.0","4.8","4.8","3.2","0.0","0.0"
"市町村保健センター(回答数)","265","33","14","38","93","54","2","2","11","18","0","0"
"市町村保健センター(%)","100.0","12.5","5.3","14.3","35.1","20.4","0.8","0.8","4.2","6.8","0.0","0.0"
