"名称","開設時間","休館日","電話番号","FAX番号","住所","緯度","経度","座標系"
"瑞穂町子ども家庭支援センター","午前9時から午後5時","日曜日・祝日・年末年始","042-568-0051","042-568-2015","瑞穂町石畑1972番地","35.776951","139.359375","JGD2011"
"日の出町子ども家庭支援センター","午前8時30分から午後5時","土曜日・日曜日・祝日・年末年始","042-597-6177","042-597-6177","日の出町大字平井2780番地町役場1階子育て支援福祉課内","35.742443","139.256607","JGD2011"
"奥多摩町子ども家庭支援センター","午前8時30分から午後5時15分","土曜日・日曜日・祝日・年末年始（施設貸し出しは年末年始のみ）","0428-85-1788","0428-85-1300","奥多摩町小丹波108番地","35.818459","139.148499","JGD2011"
"檜原村子ども家庭支援センター","午前9時から午後5時","土曜日・日曜日・祝日・年末年始","042-598-3122","042-598-1263","檜原村2717番地檜原村やすらぎの里ふれあい館内","35.726822","139.148880","JGD2011"
"大島町子ども家庭支援センター","午前9時から午後5時","日曜日・祝日・年末年始","04992-2-2398","04992-2-2381","大島町野増字大宮","34.716900","139.377228","JGD2011"
"利島村役場住民課","午前8時30分から午後5時","土曜日・日曜日・祝日・年末年始","04992-9-0011","04992-9-0190","（子ども家庭支援センター未設置）","","",""
"新島村子ども家庭支援センター","午前9時から午後5時","土曜日・日曜日・祝日・年末年始","04992-5-1856","04992-5-1857","新島村本村三丁目12番8号さわやか健康センター内","34.372868","139.259460","JGD2011"
"神津島村子ども家庭支援センター","午前8時30分から午後5時","土曜日･日曜日・祝日・年末年始","04992-8-1180","04992-8-1180","神津島村902はまゆう保育園内","34.205891","139.135223","JGD2011"
"三宅村子ども家庭支援センター","午前8時30分から午後5時15分","土曜日・日曜日・祝日・年末年始","04994-5-0982","04994-5-0655","三宅村阿古497三宅村役場内","34.076126","139.479889","JGD2011"
"御蔵島村子ども家庭支援センター","午前9時から午後5時","土曜日・日曜日･祝日・年末年始","04994-8-2121","04994-8-2239","御蔵島村字入かねが沢御蔵島村役場内","33.897289","139.595901","JGD2011"
"八丈町子ども家庭支援センター","午前8時45分から午後5時","土曜日・日曜日・祝日・年末年始","04996-2-4300","04996-2-7923","八丈町大賀郷2551番地2八丈町役場内","33.113388","139.789261","JGD2011"
"青ヶ島村役場総務課庶務民生係","午前9時から午後5時","土曜日・日曜日・祝日・年末年始","04996-9-0111","04996-9-0001","（子ども家庭支援センター未設置）","","",""
"小笠原村子ども家庭支援センター","午前8時から午後5時15分","土曜日・日曜日・祝日・年末年始","04998-2-3939","04998-2-3223","小笠原村父島字西町小笠原村役場内","27.071243","142.209610","JGD2011"
