"局名","職名"
"知事本局","計画調整部長"
"青少年・治安対策本部","参事（青少年対策担当）"
"総務局","労務担当部長"
"主税局","税制調査担当部長"
"生活文化スポーツ局","参事（男女平等参画担当）"
"生活文化スポーツ局","私学部長"
"都市整備局","企画担当部長"
"都市整備局","住宅政策担当部長"
"福祉保健局","企画担当部長"
"福祉保健局","参事（特命担当）"
"福祉保健局","医療政策部長"
"福祉保健局","保健政策部長"
"福祉保健局","生活福祉部長"
"福祉保健局","少子社会対策部長"
"福祉保健局","参事（事業推進担当）"
"病院経営本部","経営企画部長"
"産業労働局","産業企画担当部長"
"産業労働局","商工部長"
"産業労働局","雇用就業部長"
"建設局","企画担当部長"
"交通局","企画担当部長"
"教育庁","参事（教育政策担当）"
"教育庁","都立学校教育部長"
"教育庁","地域教育支援部長"
"教育庁","指導部長"
"警視庁","交通部交通総務課長"
"警視庁","生活安全部生活安全総務課長"
"警視庁","生活安全部少年育成課長"
