"","総数","アレルギー疾患に関する職員の理解と知識の向上／人数","アレルギー疾患に関する職員の理解と知識の向上／割合","他の児童への教育／人数","他の児童への教育／割合","相談体制の充実／人数","相談体制の充実／割合","アレルギー対応食の提供／人数","アレルギー対応食の提供／割合","アレルギーの薬の預かりや投与／人数","アレルギーの薬の預かりや投与／割合","その他／人数","その他／割合","無回答／人数","無回答／割合"
"１呼吸器症状、ぜん息／あり","807","534","66.2","274","34.0","278","34.4","363","45.0","371","46.0","44","5.5","81","10.0"
"１呼吸器症状、ぜん息／なし","2558","1646","64.3","1041","40.7","894","34.9","1143","44.7","965","37.7","99","3.9","272","10.6"
"２食物アレルギー／あり","733","501","68.3","260","35.5","232","31.7","399","54.4","296","40.4","55","7.5","53","7.2"
"２食物アレルギー／なし","2643","1687","63.8","1060","40.1","942","35.6","1120","42.4","1040","39.3","91","3.4","302","11.4"
"３アトピー性皮膚炎／あり","677","440","65.0","237","35.0","212","31.3","319","47.1","318","47.0","40","5.9","63","9.3"
"３アトピー性皮膚炎／なし","2684","1737","64.7","1077","40.1","954","35.5","1188","44.3","1018","37.9","106","3.9","290","10.8"
"４アレルギー性鼻炎／あり","710","454","63.9","255","35.9","251","35.4","319","44.9","327","46.1","37","5.2","62","8.7"
"４アレルギー性鼻炎／なし","2646","1717","64.9","1065","40.2","916","34.6","1189","44.9","997","37.7","107","4.0","290","11.0"
"５アレルギー性結膜炎／あり","288","186","64.6","112","38.9","97","33.7","143","49.7","133","46.2","19","6.6","26","9.0"
"５アレルギー性結膜炎／なし","3052","1977","64.8","1201","39.4","1066","34.9","1359","44.5","118","3.9","127","4.2","326","10.7"
"６じんましん／あり","694","472","68.0","278","40.1","253","36.5","355","51.2","306","44.1","37","5.3","60","8.6"
"６じんましん／なし","2665","1702","63.9","1041","39.1","912","34.2","1155","43.3","1022","38.3","110","4.1","294","11.0"
"７その他のアレルギー疾患／あり","91","58","63.7","32","35.2","31","34.1","35","38.5","40","44.0","9","9.9","6","6.6"
"７その他のアレルギー疾患／なし","3196","2062","64.5","1259","39.4","1110","34.7","1437","45.0","1258","39.4","131","4.1","343","10.7"
"何らかのアレルギーの症状または診断／あり","1996","1301","65.2","734","36.8","681","34.1","929","46.5","858","43.0","100","5.0","198","9.9"
"何らかのアレルギーの症状または診断／なし","1435","909","63.3","608","42.4","505","35.2","605","42.2","499","34.8","47","3.3","164","11.4" 
