施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
西多摩保健所,198-0042,青梅市東青梅１－１６７－１５,139.2728,35.78878,JGD2011,0428-22-6141
南多摩保健所,206-0025,多摩市永山２－１－５,139.44521,35.62846,JGD2011,042-371-7661
多摩立川保健所,190-0023,立川市柴崎町２－２１－１９（令和２年１１月２４日移転）,139.40842,35.69401,JGD2011,042-524-5171
多摩府中保健所,183-0022,府中市宮西町１－２６－１　東京都府中合同庁舎内,139.47734,35.67115,JGD2011,042-362-2334
多摩小平保健所,187-0002,小平市花小金井１－３１－２４　東京都花小金井庁舎内,139.51636,35.72992,JGD2011,042-450-3111
島しょ保健所（総務課）,163-8001,新宿区西新宿２－８－１　都庁第一本庁舎２７階北側,139.69177,35.68963,JGD2011,03-5320-4342
島しょ保健所大島出張所,100-0101,大島町元町字馬の背２７５－４,139.35907,34.75655,JGD2011,04992-2-1436
島しょ保健所大島出張所新島支所,100-0402,新島村本村６－４－２４,139.25238,34.37289,JGD2011,04992-5-1600
島しょ保健所大島出張所神津島支所,100-0601,神津島村１０８８,139.13647,34.20439,JGD2011,04992-8-0880
島しょ保健所三宅出張所,100-1102,三宅村伊豆１００４,139.50456,34.11713,JGD2011,04994-2-0181
島しょ保健所八丈出張所,100-1511,八丈町三根１９５０－２,139.79211,33.11377,JGD2011,04996-2-1291
島しょ保健所小笠原出張所,100-2101,小笠原村父島字清瀬,142.20961,27.07124,JGD2011,04998-2-2951
