自治体名／区役所（代表電話）,区の子育て支援窓口／名称,区の子育て支援窓口／電話番号,区の子育て支援窓口／住所,区の子育て支援窓口／緯度,区の子育て支援窓口／経度,区の子育て支援窓口／座標系,東京都／担当する児童相談所
千代田区／03-3264-2111,千代田区子ども家庭支援センター,03-5215-9063,千代田区西神田2-6-2西神田コスモス館3階,35.698021,139.753326,JGD2011,児童相談センター／03-3208-1121
千代田区／03-3264-2111,千代田保健所,03-3291-3641,千代田区神田錦町3-10,35.69297,139.76207,JGD2011,児童相談センター／03-3208-1121
千代田区／03-3264-2111,千代田保健所(麹町庁舎）,03-3221-1311,千代田区平河町2-7-4,35.680222,139.740143,JGD2011,児童相談センター／03-3208-1121
中央区／03-3543-0211,中央区子ども家庭支援センター（開設予定）,,,,,,児童相談センター／03-3208-1121
中央区／03-3543-0211,中央区保健所,03-3541-5936,中央区明石町12-1,35.666866,139.776306,JGD2011,児童相談センター／03-3208-1121
中央区／03-3543-0211,中央区保健所／日本橋保健センター,03-3661-3515,中央区日本橋堀留町1-1-1,35.687691,139.778946,JGD2011,児童相談センター／03-3208-1121
中央区／03-3543-0211,中央区保健所／月島保健センター,03-5560-0765,中央区月島2-10-3,35.663673,139.784805,JGD2011,児童相談センター／03-3208-1121
港区／03-3578-2111,港区子ども家庭支援センター,03-3432-8341,港区芝浦3-1-47芝浦江南支所2階,35.649799,139.756607,JGD2011,児童相談センター／03-3208-1121
港区／03-3578-2111,みなと保健所,03-3408-6146,港区六本木5-16-45,35.660809,139.735794,JGD2011,児童相談センター／03-3208-1121
港区／03-3578-2111,みなと保健所／保健サービスセンター,03-3455-4701,港区三田1-4-10,35.653156,139.742737,JGD2011,児童相談センター／03-3208-1121
新宿区／03-3209-1111,新宿区子ども家庭支援センター,03-3952-7752,新宿区中落合2-7-24中落合児童館2階,35.718143,139.693527,JGD2011,児童相談センター／03-3208-1121
新宿区／03-3209-1111,新宿区保健所,03-3209-1111,新宿区新宿5-18-21,35.693802,139.706436,JGD2011,児童相談センター／03-3208-1121
新宿区／03-3209-1111,新宿区保健所／牛込保健センター,03-3260-6231,新宿区弁天町50,35.703259,139.727463,JGD2011,児童相談センター／03-3208-1121
新宿区／03-3209-1111,新宿区保健所／四谷保健センター,03-3351-5161,新宿区四谷4-17,35.688969,139.716141,JGD2011,児童相談センター／03-3208-1121
新宿区／03-3209-1111,新宿区保健所／西新宿保健センター,03-3369-7151,新宿区西新宿7-5-8,35.696686,139.69809,JGD2011,児童相談センター／03-3208-1121
新宿区／03-3209-1111,新宿区保健所／落合保健センター,03-3952-7161,新宿区下落合4-6-7,35.71867,139.694839,JGD2011,児童相談センター／03-3208-1121
文京区／03-3812-7111,文京区子ども家庭支援センター,03-5803-1109,文京区春日1-16-21シビックセンター3階,35.708336,139.752411,JGD2011,児童相談センター／03-3208-1121
文京区／03-3812-7111,文京保健所,03-3812-7111,文京区春日1-16-1,35.707943,139.752777,JGD2011,児童相談センター／03-3208-1121
文京区／03-3812-7111,文京保健所／小石川保健サービスセンター,03-3813-5656,文京区春日1-9-21,35.708145,139.745834,JGD2011,児童相談センター／03-3208-1121
文京区／03-3812-7111,文京保健所／本郷保健サービスセンター,03-3821-5106,文京区千駄木5-20-18,35.727051,139.760574,JGD2011,児童相談センター／03-3208-1121
台東区／03-5246-1111,台東区子ども家庭支援センター,03-3834-4497,台東区台東1-25-5台東複合施設１階,35.701527,139.777618,JGD2011,児童相談センター／03-3208-1121
台東区／03-5246-1111,台東保健所,03-3847-9401,台東区東上野4-22-8,35.714512,139.781723,JGD2011,児童相談センター／03-3208-1121
台東区／03-5246-1111,台東保健所／浅草保健相談センター,03-3844-8171,台東区花川戸1-14-16,35.713909,139.799591,JGD2011,児童相談センター／03-3208-1121
墨田区／03-5608-1111,すみだ子育て相談センター,03-3621-1314,墨田区横網1-2-13,35.697655,139.792419,JGD2011,墨田児童相談所／03-3632-4631
墨田区／03-5608-1111,墨田区保健所,03-5608-1111,墨田区吾妻橋1-23-20,35.710602,139.801895,JGD2011,墨田児童相談所／03-3632-4631
墨田区／03-5608-1111,墨田区保健所／向島保健センター,03-3611-6135,墨田区東向島5-16-2,35.72578,139.82103,JGD2011,墨田児童相談所／03-3632-4631
墨田区／03-5608-1111,墨田区保健所／本所保健センター,03-3622-9137,墨田区東駒形1-6-4,35.705597,139.797852,JGD2011,墨田児童相談所／03-3632-4631
江東区／03-3647-9111,江東区子ども家庭支援センター,03-5665-4017,江東区東陽3-1-2東陽出張所3階,35.668629,139.808472,JGD2011,墨田児童相談所／03-3632-4631
江東区／03-3647-9111,江東区保健所,03-3647-5855,江東区東陽2-1-1,35.665688,139.813797,JGD2011,墨田児童相談所／03-3632-4631
江東区／03-3647-9111,江東区保健所／城東保健相談所,03-3637-6521,江東区大島3-1-3,35.689461,139.82753,JGD2011,墨田児童相談所／03-3632-4631
江東区／03-3647-9111,江東区保健所／城東南部保健相談所,03-5606-5001,江東区南砂4-3-10,35.67448,139.827759,JGD2011,墨田児童相談所／03-3632-4631
江東区／03-3647-9111,江東区保健所／深川保健相談所,03-3641-1181,江東区白河3-4-3-301,35.681396,139.805481,JGD2011,墨田児童相談所／03-3632-4631
江東区／03-3647-9111,江東区保健所／深川南部保健相談所,03-5632-2291,江東区枝川1-8-15-102,35.654144,139.804626,JGD2011,墨田児童相談所／03-3632-4631
品川区／03-3777-1111,品川区子育て支援センター,03-5749-1032,品川区平塚2-12-2品川区立家庭あんしんセンター内,35.616943,139.712662,JGD2011,品川児童相談所／03-3474-5442
品川区／03-3777-1111,品川区保健所,03-3788-2000,品川区荏原2-9-6,35.617012,139.711105,JGD2011,品川児童相談所／03-3474-5442
品川区／03-3777-1111,品川区保健所／品川区保健センター,03-3474-2000,品川区北品川3-11-22,35.616436,139.739273,JGD2011,品川児童相談所／03-3474-5442
品川区／03-3777-1111,品川区保健所／大井保健相談所,03-3772-2666,品川区大井2-27-20,35.604183,139.730316,JGD2011,品川児童相談所／03-3474-5442
目黒区／03-3715-1111,目黒区子ども家庭支援センター,03-3715-2641,目黒区上目黒2-19-15目黒区総合庁舎別館2階,35.635433,139.707764,JGD2011,品川児童相談所／03-3474-5442
目黒区／03-3715-1111,目黒区保健所,03-5722-9501,目黒区上目黒2-19-15,35.640465,139.6987,JGD2011,品川児童相談所／03-3474-5442
目黒区／03-3715-1111,目黒区保健所／目黒保健センター,03-5722-9503,目黒区上目黒2-19-15,35.640465,139.6987,JGD2011,品川児童相談所／03-3474-5442
目黒区／03-3715-1111,目黒区保健所／碑文谷保健センター,03-3711-6446,目黒区碑文谷4-16-18,35.621521,139.682281,JGD2011,品川児童相談所／03-3474-5442
大田区／03-5744-1111,大田区子ども家庭支援センター,03-5754-7830,大田区上池台2-35-18,35.598034,139.691589,JGD2011,品川児童相談所／03-3474-5442
大田区／03-5744-1111,大田区保健所（健康推進課）,03-5744-1262,大田区蒲田5-13-14,35.561337,139.716293,JGD2011,品川児童相談所／03-3474-5442
大田区／03-5744-1111,大田区保健所（健康推進課）／大田北地域行政センター,03-5764-0661,大田区大森西1-12-1,35.578598,139.722992,JGD2011,品川児童相談所／03-3474-5442
大田区／03-5744-1111,大田区保健所（健康推進課）／大田西地域行政センター,03-3726-4145,大田区雪谷大塚町1-1,35.594982,139.681503,JGD2011,品川児童相談所／03-3474-5442
大田区／03-5744-1111,大田区保健所（健康推進課）／大田南地域行政センター,03-5713-1701,大田区蒲田本町2-1-1,35.558681,139.718399,JGD2011,品川児童相談所／03-3474-5442
大田区／03-5744-1111,大田区保健所（健康推進課）／大田東地域行政センター,03-3743-4161,大田区東糀谷1-21-15,35.557152,139.739609,JGD2011,品川児童相談所／03-3474-5442
世田谷区／03-5432-1111,世田谷区子ども家庭支援センター子ども家庭支援せたがや,03-5432-2915,世田谷区世田谷4-22-33,35.646301,139.652374,JGD2011,世田谷児童相談所／03-5477-6301
世田谷区／03-5432-1111,世田谷区子ども家庭支援センター子ども家庭支援きたざわ,03-3323-5635,世田谷区松原6-3-5,35.656872,139.653656,JGD2011,世田谷児童相談所／03-5477-6301
世田谷区／03-5432-1111,世田谷区子ども家庭支援センター子ども家庭支援たまがわ,03-3702-1189,世田谷区等々力3-4-1,35.608311,139.648712,JGD2011,世田谷児童相談所／03-5477-6301
世田谷区／03-5432-1111,世田谷区子ども家庭支援センター子ども家庭支援きぬた,03-3482-5271,世田谷区祖師谷3-21-1,35.64278,139.604935,JGD2011,世田谷児童相談所／03-5477-6301
世田谷区／03-5432-1111,世田谷区子ども家庭支援センター子ども家庭支援からすやま,03-3326-6056,世田谷区南烏山6-22-14,35.669556,139.598145,JGD2011,世田谷児童相談所／03-5477-6301
世田谷区／03-5432-1111,世田谷保健所,03-5432-1111,世田谷区世田谷4-22-35,35.646118,139.652161,JGD2011,世田谷児童相談所／03-5477-6301
世田谷区／03-5432-1111,世田谷保健所／世田谷総合支所健康づくり課,03-5432-1111,世田谷区世田谷4-22-33,35.646301,139.652374,JGD2011,世田谷児童相談所／03-5477-6301
世田谷区／03-5432-1111,世田谷保健所／北沢総合支所健康づくり課,03-3323-1731,世田谷区松原6-3-5,35.656872,139.653656,JGD2011,世田谷児童相談所／03-5477-6301
世田谷区／03-5432-1111,世田谷保健所／玉川総合支所健康づくり課,03-3702-1131,世田谷区等々力3-4-1,35.608311,139.648712,JGD2011,世田谷児童相談所／03-5477-6301
世田谷区／03-5432-1111,世田谷保健所／砧総合支所健康づくり課,03-3483-3161,世田谷区祖師谷3-21-1,35.64278,139.604935,JGD2011,世田谷児童相談所／03-5477-6301
世田谷区／03-5432-1111,世田谷保健所／烏山総合支所健康づくり課,03-3308-8228,世田谷区南烏山6-22-14,35.669556,139.598145,JGD2011,世田谷児童相談所／03-5477-6301
渋谷区／03-3463-1211,渋谷区子ども家庭支援センター,0120-135-415,渋谷区宇田川町5-1,35.663578,139.698227,JGD2011,児童相談センター／03-3208-1121
渋谷区／03-3463-1211,渋谷区保健所,03-3463-1211,渋谷区宇田川町1-1,35.663475,139.697189,JGD2011,児童相談センター／03-3208-1121
渋谷区／03-3463-1211,渋谷区保健所／恵比寿保健相談所,03-3443-6251,渋谷区恵比寿2-27-18,35.645233,139.719559,JGD2011,児童相談センター／03-3208-1121
渋谷区／03-3463-1211,渋谷区保健所／幡ヶ谷保健相談所,03-3374-7591,渋谷区幡ヶ谷3-39-1,35.67944,139.672272,JGD2011,児童相談センター／03-3208-1121
中野区／03-3389-1111,中野区子ども家庭支援センター,03-3228-7867,中野区中野4-8-1中野区役所6階,35.707546,139.663818,JGD2011,杉並児童相談所／03-5370-6001
中野区／03-3389-1111,中野区保健所（保健予防分野）,03-3382-6661,中野区中野2-17-4,35.70274,139.66925,JGD2011,杉並児童相談所／03-5370-6001
中野区／03-3389-1111,中野区保健所（保健予防分野）／中部保健福祉センター,03-5341-8817,中野区中野2-17-6,35.703007,139.669113,JGD2011,杉並児童相談所／03-5370-6001
中野区／03-3389-1111,中野区保健所（保健予防分野）／北部保健福祉センター,03-3389-4321,中野区江古田4-31-10,35.724762,139.66153,JGD2011,杉並児童相談所／03-5370-6001
中野区／03-3389-1111,中野区保健所（保健予防分野）／南部保健福祉センター,03-3380-5551,中野区弥生町2-41-2,35.691418,139.672852,JGD2011,杉並児童相談所／03-5370-6001
中野区／03-3389-1111,中野区保健所（保健予防分野）／鷺宮保健福祉センター,03-3336-7111,中野区鷺宮3-18-15,35.723152,139.639343,JGD2011,杉並児童相談所／03-5370-6001
杉並区／03-3312-2111,杉並区子ども家庭支援センター,03-5929-1902,杉並区阿佐ヶ谷南1-14-8,35.699722,139.636902,JGD2011,杉並児童相談所／03-5370-6001
杉並区／03-3312-2111,杉並保健所,03-3391-1015,杉並区荻窪5-20-1,35.701988,139.620255,JGD2011,杉並児童相談所／03-5370-6001
杉並区／03-3312-2111,杉並保健所／荻窪保健センター,03-3391-0015,杉並区荻窪5-20-1,35.701988,139.620255,JGD2011,杉並児童相談所／03-5370-6001
杉並区／03-3312-2111,杉並保健所／高井戸保健センター,03-3334-4304,杉並区高井戸東3-20-3,35.684624,139.620209,JGD2011,杉並児童相談所／03-5370-6001
杉並区／03-3312-2111,杉並保健所／高円寺保健センター,03-3311-0116,杉並区高円寺南3-24-15,35.701416,139.645584,JGD2011,杉並児童相談所／03-5370-6001
杉並区／03-3312-2111,杉並保健所／上井草保健センター,03-3394-1212,杉並区上井草3-8-19,35.719067,139.601654,JGD2011,杉並児童相談所／03-5370-6001
杉並区／03-3312-2111,杉並保健所／和泉保健センター,03-3313-9331,杉並区和泉4-50-6,35.682674,139.655685,JGD2011,杉並児童相談所／03-5370-6001
豊島区／03-3981-1111,豊島区東部子ども家庭支援センター,03-5980-5275,豊島区北大塚3-12-12,35.73439,139.722733,JGD2011,児童相談センター／03-3208-1121
豊島区／03-3981-1111,豊島区西部子ども家庭支援センター,03-5966-3131,豊島区千早4-6-14,35.737827,139.682388,JGD2011,児童相談センター／03-3208-1121
豊島区／03-3981-1111,池袋保健所,03-3987-4172,豊島区東池袋1-20-9,35.731342,139.715378,JGD2011,児童相談センター／03-3208-1121
豊島区／03-3981-1111,池袋保健所／長崎健康相談所,03-3957-1191,豊島区長崎3-6-24,35.728687,139.688461,JGD2011,児童相談センター／03-3208-1121
北区／03-3908-1111,北区子ども家庭支援センター,03-3927-0874,北区王子2-7-34,35.75835,139.736679,JGD2011,北児童相談所／03-3913-5421
北区／03-3908-1111,北区保健所,03-3919-3101,北区東十条2-7-3,35.763081,139.730316,JGD2011,北児童相談所／03-3913-5421
北区／03-3908-1111,北区保健所／王子福祉保健センター,03-3919-3100,北区王子本町1-15-22,35.753197,139.734283,JGD2011,北児童相談所／03-3913-5421
北区／03-3908-1111,北区保健所／赤羽福祉保健センター,03-3903-6481,北区赤羽南1-13-1,35.777493,139.723923,JGD2011,北児童相談所／03-3913-5421
北区／03-3908-1111,北区保健所／滝野川福祉保健センター,03-3915-0186,北区西ヶ原1-19-12,35.742912,139.747589,JGD2011,北児童相談所／03-3913-5421
荒川区／03-3802-3111,荒川区子ども家庭支援センター,03-3805-5523,荒川区荒川3-11-1,35.734631,139.783783,JGD2011,北児童相談所／03-3913-5421
荒川区／03-3802-3111,荒川区保健所,03-3802-3111,荒川区荒川1-53-20,35.733135,139.784317,JGD2011,北児童相談所／03-3913-5421
板橋区／03-3964-1111,板橋区子ども家庭支援センター,03-3579-2658,板橋区栄町36-1板橋区立グリーンホール3階,35.751816,139.713806,JGD2011,北児童相談所／03-3913-5421
