○運用商品別内訳,,,,,,,,,,,,
,令和元年度第4四半期,,,,,,,,,,,
,,,,,,期中平均残高,,残　　　　高　　　　推　　　　　移,,,,"運用収入
及び
利回り"
,,,,,,,,"R1.12.31
残高","R2.3.31
残高",増　減,,
,,,,,,,構成比,,,増減額,増減率,
,,,,,,億円,％,億円,億円,億円,％,
,歳計現金等,,預金,,,15921,100,"15,470",14635,-835,-5.4,運用収入計
,,,,定期性預金,,14267,89.6,"14,050","10,899",-3151,-22.4,"3,132万円"
,,,,普通預金,,1411,8.9,602,3552,2950,490,
,,,,当座預金,,243,1.5,818,184,-635,-77.5,利回り
,,,債券,,,－,－,－,－,－,－,0.00008
,,,計,,,15921,100,"15,470",14635,-835,-5.4,
,基金,,預金,,,29045,75.1,"29,351",28420,-932,-3.2,運用収入計
,,,,定期性預金,,28744,74.3,29334,27997,"-1,337",-4.6,5億628万円
,,,,普通預金,,301,0.8,17,423,406,2376.9,
,,,債券等,,,9628,24.9,9465,9752,287,3,利回り
,,,金銭信託,,,－,－,－,－,－,－,
,,,その他,,,1,0,1,1,0,0,0.00053
,,,計,,,38674,100,"38,818",38173,-644,-1.7,
,準公営企業会計資金,,預金,,,10282,100,"10,371",10139,-231,-2.2,運用収入計
,,,,定期性預金,,8885,86.4,"7,900",8870,970,12.3,"2,256万円"
,,,,普通預金,,1397,13.6,2471,1269,-1201,-48.6,
,,,債券等,,,－,－,－,－,－,－,利回り
,,,その他,,,－,－,－,－,－,－,0.00009
,,,計,,,10282,100,"10,371","10,139",-231,-2.2,
,合計,,預金,,,55249,85.2,"55,192",53194,-1998,-3.6,運用収入計
,,,,定期性預金,,51896,80,"51,284","47,766",-3518,-6.9,"5億6,016万円"
,,,,普通預金,,3109,4.8,3090,5244,2155,69.7,
,,,,当座預金,,243,0.4,818,184,-635,-77.5,利回り
,,,債券等,,,9628,14.8,9465,9752,287,3,0.00035
,,,金銭信託,,,－,－,－,－,－,－,
,,,その他,,,1,0,1,1,0,0,
,,,計,,,64877,100,64658,62947,-1711,-2.6,
