令和４年度第1四半期～第3四半期　（参考）,,,,,,,,,,,,,,,,
,,,,,第1四半期,,,,第2四半期,,,,第3四半期,,,
,,,,,期中平均残高,,"R4.6.30
残高","運用収入
及び
利回り",期中平均残高,,"R4.9.30
残高","運用収入
及び
利回り",期中平均残高,,"R4.12.31
残高","運用収入
及び
利回り"
,,,,,,構成比,,,,構成比,,,,構成比,,
,,,,,億円,％,億円,,億円,％,億円,,億円,％,億円,
歳計現金等,,預金,,,9084,100,12315,運用収入計,17309,100,9539,運用収入計,14472,100,18317,運用収入計
,,,定期性預金,,3245,35.7,8333,276,11525,66.6,433,721,7500,51.8,15436,544
,,,普通預金,,5531,60.9,3752,,5551,32.1,8952,,6591,45.5,602,
,,,当座預金,,308,3.4,230,利回り,233,1.3,155,利回り,381,2.6,2279,利回り
,,債券,,,－,－,－,0.00001,－,－,－,0.00002,－,－,－,0.00001
,,計,,,9084,100,12315,,17309,100,9539,,14472,100,18317,
基金,,預金,,,25766,71.7,26795,運用収入計,26695,73.6,26234,運用収入計,26166,73.3,25893,運用収入計
,,,定期性預金,,19692,54.8,26654,44562,26363,72.7,25126,40651,25625,71.7,25326,44838
,,,普通預金,,6074,16.9,141,,332,0.9,1107,,541,1.5,567,
,,債券等,,,9862,27.4,9560,利回り,9555,26.4,9545,利回り,9553,26.7,9463,利回り
,,その他,,,331,0.9,1,0.0005,1,0,1,0.00044,1,0,1,0.0005
,,計,,,35958,100,36357,,36252,100,35780,,35720,100,35357,
準公営企業会計資金,,預金,,,9352,100,9508,運用収入計,8762,100,8789,運用収入計,8882,100,8870,運用収入計
,,,定期性預金,,8231,88,8365,1589,8340,95.2,8255,1636,8303,93.5,8375,1657
,,,普通預金,,1121,12,1143,,422,4.8,534,,580,6.5,495,
,,債券等,,,－,－,－,利回り,－,－,－,利回り,－,－,－,利回り
,,その他,,,－,－,－,0.00007,－,－,－,0.00007,－,－,－,0.00007
,,計,,,9352,100,9508,,8762,100,8789,,8882,100,8870,
合計,,預金,,,44202,81.3,48618,運用収入計,52766,84.7,44562,運用収入計,49520,83.8,53080,運用収入計
,,,定期性預金,,31168,57.3,43352,46427,46228,74.2,33814,43008,41428,70.1,49137,47039
,,,普通預金,,12726,23.4,5036,,6305,10.1,10593,,7712,13.1,1664,
,,,当座預金,,308,0.6,230,利回り,233,0.4,155,利回り,381,0.6,2279,
,,債券等,,,9862,18.1,9560,0.00034,9555,15.3,9545,0.00027,9553,16.2,9463,利回り
,,その他,,,331,0.6,1,,1,0,1,,1,0,1,0.00032
,,計,,,54394,100,58179,,62323,100,54108,,59075,100,62544,
