[資料21]　大気　ダイオキシン類異性体等分析結果（第１回調査　 ２０２２（令和４)年５月：区部）,,,,,,,,,,,,,,,[資料21]　大気　ダイオキシン類異性体等分析結果（第１回調査　 ２０２２(令和４)年５月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2022(令和4)年　5月18日～5月25日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2022(令和4)年　5月18日～5月25日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,,,,,5月18日～25日,5月18日～25日,5月23日～30日,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,,,,,,,,5月18日～25日,5月18日～25日,,,,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,5月18日～25日,,5月18日～25日,,
PCDDs,,"1,3,6,8TeCDD",0,0.0015,0.0003,0.085,0.066,0.078,0.15,0.13,0.19,0.14,0.11,,PCDDs,,"1,3,6,8TeCDD",0,0.004,0.001,0.088,0.078,,0.0015,0.0003,0.1,0.071,0.12,0.081,0.11,0.13,,0.053,0.0005,0.0001
,,"1,3,7,9TeCDD",0,0.0015,0.0003,0.032,0.025,0.027,0.058,0.044,0.079,0.051,0.036,,,,"1,3,7,9TeCDD",0,0.004,0.001,0.031,0.03,,0.0015,0.0003,0.038,0.027,0.04,0.027,0.039,0.045,,0.023,0.0005,0.0001
,,"2,3,7,8TeCDD",1,0.0015,0.0003,0.0008,0.0006,ND,0.0009,ND,ND,0.0006,ND,,,,"2,3,7,8TeCDD",1,0.004,0.001,ND,ND,,0.0015,0.0003,ND,ND,0.001,ND,ND,0.0005,,0.0008,0.0005,0.0001
,,TeCDDs,,,,0.14,0.12,0.11,0.25,0.2,0.32,0.22,0.17,,,,TeCDDs,,,,0.14,0.12,,,,0.17,0.12,0.19,0.12,0.17,0.19,,0.12,,
,,"1,2,3,7,8PeCDD",1,0.0021,0.0006,0.0012,0.0017,0.0012,0.0026,0.0014,0.0024,0.0014,0.0015,,,,"1,2,3,7,8PeCDD",1,0.006,0.002,ND,ND,,0.0021,0.0006,0.0016,0.0011,0.0013,0.0008,0.0017,ND,,0.0021,0.0007,0.0002
,,PeCDDs,,,,0.048,0.039,0.036,0.098,0.06,0.11,0.063,0.055,,,,PeCDDs,,,,0.04,0.03,,,,0.057,0.029,0.058,0.027,0.048,0.046,,0.1,,
,,"1,2,3,4,7,8HxCDD",0.1,0.005,0.001,ND,0.001,ND,0.001,ND,0.002,ND,0.001,,,,"1,2,3,4,7,8HxCDD",0.1,0.008,0.002,ND,ND,,0.005,0.001,0.001,ND,0.001,ND,ND,0.001,,0.0021,0.0016,0.0005
,,"1,2,3,6,7,8HxCDD",0.1,0.004,0.001,ND,0.002,0.002,0.003,0.003,0.004,0.002,0.002,,,,"1,2,3,6,7,8HxCDD",0.1,0.011,0.003,ND,ND,,0.004,0.001,0.002,0.002,ND,ND,0.002,0.002,,0.0034,0.0012,0.0004
,,"1,2,3,7,8,9HxCDD",0.1,0.0027,0.0009,0.0019,ND,ND,0.0026,0.0018,0.003,0.0017,ND,,,,"1,2,3,7,8,9HxCDD",0.1,0.008,0.002,ND,ND,,0.0027,0.0009,0.0017,0.0011,ND,ND,0.0016,ND,,0.0026,0.0009,0.0003
