レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,541.9以下,9,121,985.1
A3+,0.55超-0.60以下,541.9超-591.1以下,6,134,985.1
A3,0.60超-0.65以下,591.1超-640.4以下,5,85,985.1
A3-,0.65超-0.70以下,640.4超-689.6以下,10,152,985.1
A2+,0.70超-0.75以下,689.6超-738.9以下,15,137,985.1
A2,0.75超-0.80以下,738.9超-788.1以下,6,146,985.1
A2-,0.80超-0.85以下,788.1超-837.4以下,9,112,985.1
A1+,0.85超-0.90以下,837.4超-886.6以下,9,98,985.1
A1,0.90超-0.95以下,886.6超-935.9以下,14,111,985.1
A1-,0.95超-1.00以下,935.9超-985.1以下,11,112,985.1
B2+,1.00超-1.05以下,985.1超-1034.4以下,12,103,985.1
B2,1.05超-1.10以下,1034.4超-1083.7以下,12,94,985.1
B2-,1.10超-1.15以下,1083.7超-1132.9以下,12,100,985.1
B1,1.15超-1.50以下,1132.9超-1477.7以下,43,87,985.1
C,1.50超,1477.7超,10,74,985.1
