一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
490,青梅市新町1-21-13,35.787998,139.298141,JGD2011,新宿青梅線（青梅街道）,b,2003-10-14,2003-10-17,4,4,5.0,1.2,71,66
491,青梅市畑中3-953-1,35.778954,139.235001,JGD2011,奥多摩青梅線（吉野街道）,a,2003-09-29,2003-10-02,4,2,5.0,1.2,71,67
492,青梅市新町8-20,35.784454,139.309372,JGD2011,市道幹１２号線,b,2003-10-20,2003-10-23,5,4,4.0,1.2,68,65
493,青梅市根ヶ布2-276,35.806583,139.265411,JGD2011,青梅飯能線（成木街道）,a,2003-09-22,2003-09-25,4,2,2.0,1.2,70,65
494,青梅市長淵8-234-2,35.774155,139.258316,JGD2011,青梅あきる野線（秋川街道）,c,2003-09-16,2003-09-19,4,2,2.0,1.4,71,64
495,青梅市日向和田3-706,35.786888,139.230652,JGD2011,国道４１１号（青梅街道）,a,2003-11-17,2003-11-20,3,2,2.0,1.6,71,65
496,青梅市柚木町2-405-1,35.796734,139.198288,JGD2011,奥多摩青梅線（吉野街道）,a,2003-10-06,2003-10-09,4,2,2.0,1.2,68,64
497,青梅市新町1-21-9,35.787998,139.298141,JGD2011,新宿青梅線（青梅街道）,B,2004-01-28,2004-01-29,4,4,3.0,1.2,71,66
498,青梅市長淵4-253,35.778084,139.272995,JGD2011,国道４１１号（吉野街道）,B,2004-01-28,2004-01-29,3,2,3.5,1.2,68,64
499,青梅市裏宿町570,35.790203,139.248825,JGD2011,国道４１１号（青梅街道）,A,2004-01-28,2004-01-29,3,2,1.1,1.2,69,65
