一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
82,台東区上野桜木1-12,35.721458,139.772476,JGD2011,環状３号線（言問通り）,C,2006-01-16,2006-01-17,4,2,1.7,1.2,70,69
87,台東区今戸1-1,35.718094,139.805069,JGD2011,言問大谷田線,b,2006-01-16,2006-01-20,4,1,3.0,1.2,64,62
88,台東区谷中1-1-21,35.719852,139.768478,JGD2011,環状３号線（言問通り）,c,2005-06-20,2005-06-24,4,2,2.0,1.2,70,67
89,台東区小島2-21-13,35.706764,139.783005,JGD2011,本郷亀戸線（春日通り）,c,2005-07-11,2005-07-15,4,4,4.0,1.2,66,64
90,墨田区吾妻橋3-4,35.709351,139.807388,JGD2011,本郷亀戸線（浅草通り）,C,2005-11-08,2005-11-09,4,6,5.3,1.2,66,62
93,墨田区緑3-10,35.694279,139.805237,JGD2011,環状３号線（三ツ目通り）,C,2005-11-08,2005-11-09,4,4,2.6,1.2,72,71
96,墨田区東向島3-19,35.724098,139.816437,JGD2011,王子千住南砂町線（明治通り）,c,2005-11-07,2005-11-11,4,4,0.0,1.2,71,68
97,墨田区東向島6-6,35.721504,139.819626,JGD2011,王子千住南砂町線（明治通り）,c,2005-12-12,2005-12-16,4,4,0.0,1.2,72,69
100,墨田区横網2-3,35.699745,139.796921,JGD2011,御徒町小岩線（蔵前橋通り）,b,2005-11-28,2005-12-02,4,4,0.0,1.2,73,69
101,墨田区太平1-1,35.700741,139.808640,JGD2011,御徒町小岩線（蔵前橋通り）,c,2005-11-28,2005-12-02,4,4,0.0,1.2,73,72
102,墨田区菊川3-16,35.688679,139.806351,JGD2011,環状３号線（三ツ目通り）,c,2005-12-05,2005-12-09,4,4,0.0,1.2,75,75
103,墨田区本所4-1,35.702679,139.805069,JGD2011,環状３号線（三ツ目通り）,c,2005-12-05,2005-12-09,4,4,0.0,1.2,72,71
104,江東区大島6-7,35.691402,139.834503,JGD2011,南砂町吾嬬町線（丸八通り）,B,2005-11-24,2005-11-25,4,6,2.7,1.2,67,63
105,江東区冬木22,35.675850,139.800537,JGD2011,永代葛西橋線（葛西橋通り）,C,2005-11-24,2005-11-25,4,4,2.8,1.2,69,67
106,江東区扇橋2-1,35.682652,139.814255,JGD2011,浜町北砂町線（清洲橋通り）,C,2005-11-24,2005-11-25,4,4,2.7,1.2,71,67
107,江東区東砂2-12,35.683624,139.844009,JGD2011,亀戸・葛西橋線（番所橋通り）,B,2005-11-24,2005-11-25,4,4,3.9,1.2,71,67
108,江東区枝川3-3,35.658913,139.808472,JGD2011,環状３号線（三ツ目通り）,C,2005-11-24,2005-11-25,4,6,5.9,1.2,73,70
109,江東区亀戸4-14,35.701527,139.828720,JGD2011,御徒町小岩線（蔵前橋通り）,b,2005-05-17,2005-05-18,4,6,4.0,1.2,73,71
111,江東区住吉2-28,35.688477,139.818192,JGD2011,東京市川線（新大橋通り）,b,2005-05-12,2005-05-13,4,4,4.0,1.5,68,66
112,江東区大島3-16,35.689991,139.830032,JGD2011,東京市川線（新大橋通り）,c,2005-05-18,2005-05-19,4,4,3.0,1.2,70,66
113,江東区北砂4-13,35.677395,139.829285,JGD2011,浜町北砂町線（清洲橋通り）,c,2005-06-07,2005-06-08,4,4,3.0,1.5,70,67
114,江東区南砂4-4,35.674950,139.827621,JGD2011,永代葛西橋線（葛西橋通り）,c,2005-05-11,2005-05-12,4,4,3.0,1.2,74,73
115,江東区永代2-31,35.673653,139.792633,JGD2011,東京浦安線（永代通り）,c,2005-10-26,2005-10-27,4,6,6.0,1.5,67,65
116,江東区東陽3-27,35.670174,139.815643,JGD2011,東京浦安線（永代通り）,c,2005-10-25,2005-10-26,4,6,6.0,1.5,69,68
117,江東区豊洲4-11,35.652431,139.799774,JGD2011,日比谷豊洲埠頭東雲町線（晴海通り）,c,2005-11-17,2005-11-18,4,8,6.0,1.2,72,71
118,江東区平野1-2,35.678173,139.798935,JGD2011,上野月島線（清澄通り）,c,2005-06-06,2005-06-07,4,4,4.0,1.5,72,68
120,江東区森下4-9,35.685005,139.805496,JGD2011,環状３号線（三ツ目通り）,c,2005-11-08,2005-11-09,4,4,3.0,1.2,73,71
121,江東区枝川3-3,35.658913,139.808472,JGD2011,環状３号線（三ツ目通り）,c,2005-11-24,2005-11-25,4,6,6.0,1.2,73,70
