一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
426,府中市分梅町3-50-3,35.665642,139.459076,JGD2011,府中町田線,b,2007-01-30,2007-02-02,4,4,3.0,2.2,69,67
427,府中市若松町3-11-1,35.673546,139.499054,JGD2011,府中小平線,b,2006-08-14,2006-08-17,4,2,4.0,2.0,66,61
429,府中市若松町5-3,35.678944,139.500336,JGD2011,府中小平線,B,2007-02-19,2007-02-20,4,2,5.8,1.2,66,63
432,府中市寿町3-7,35.675293,139.473862,JGD2011,所沢府中線,c,2006-05-22,2006-05-25,4,3,4.0,2.0,68,67
436,昭島市田中町2-16-14,35.702557,139.352737,JGD2011,主要地方道29号線(奥多摩街道),a,2007-02-20,2007-02-22,4,2,1.9,1.2,72,70
437,昭島市昭和町3-6-3,35.708076,139.368256,JGD2011,都道162号線(諏訪松中通り),a,2006-11-07,2006-11-09,4,2,3.5,1.2,72,70
438,昭島市福島町3-23-27,35.696148,139.375916,JGD2011,都道59号線,a,2006-12-12,2006-12-14,4,3,2.0,1.2,74,72
439,昭島市つつじが丘3-1-30,35.714115,139.369476,JGD2011,都道162号線,a,2007-03-24,2007-03-26,4,3,3.0,1.2,67,65
442,昭島市福島町3-22-20,35.696331,139.377045,JGD2011,主要地方道29号線(新奥多摩街道),b,2006-12-12,2006-12-14,4,4,3.8,1.2,70,69
444,昭島市中神町2-15,35.699181,139.376480,JGD2011,八王子武蔵村山線,B,2007-02-01,2007-02-02,4,2,4.3,1.2,70,68
446,昭島市武蔵野3-11-10,35.718670,139.372955,JGD2011,都道162号線,c,2007-03-10,2007-03-12,4,2,0.5,1.2,69,68
448,調布市富士見町2-16-33,35.659603,139.540939,JGD2011,調布田無線,a,2007-01-31,2007-02-01,4,2,15.0,1.2,66,64
449,調布市深大寺北町7-16,35.673820,139.544846,JGD2011,調布田無線,a,2007-01-30,2007-01-31,4,2,12.0,1.2,64,56
451,調布市小島町2-7,35.652157,139.538010,JGD2011,町田調布線,A,2007-02-19,2007-02-20,4,4,2.5,1.2,69,68
453,調布市飛田給1-26,35.661095,139.523621,JGD2011,府中調布線,B,2007-02-19,2007-02-20,4,2,2.0,1.2,68,65
455,調布市多摩川1-51,35.648731,139.532318,JGD2011,町田調布線,c,2007-01-26,2007-02-02,4,2,14.0,1.2,68,66
457,町田市図師町332,35.584312,139.421204,JGD2011,町田平山八王子線,A,2007-02-15,2007-02-16,4,2,6.0,1.2,65,58
458,町田市小山町2507,35.597279,139.368607,JGD2011,主要地方道47号線,b,2007-02-07,2007-02-08,4,2,2.1,1.2,71,69
461,町田市中町1-20-23,35.548164,139.446594,JGD2011,主要地方道47号線,c,2007-02-15,2007-02-16,4,2,2.1,1.2,71,69
463,町田市相原町795,35.604332,139.334030,JGD2011,八王子町田線,C,2007-02-07,2007-02-08,4,2,1.5,1.2,69,68
464,小金井市桜町3-1-3,35.713051,139.512100,JGD2011,杉並あきる野線(主地道7号),a,2006-11-06,2006-11-07,4,2,3.0,1.2,64,63
465,小金井市貫井北町5-13-31,35.703228,139.486588,JGD2011,恋ヶ窪新田三鷹線(都道134号),a,2006-10-18,2006-10-19,4,2,3.0,1.2,66,64
466,小金井市貫井北町5-21,35.702206,139.492340,JGD2011,武蔵小金井停車場貫井線,A,2007-02-22,2007-02-23,4,2,3.5,1.2,66,63
467,小金井市貫井南町1-25-4,35.691528,139.498215,JGD2011,府中小平線(都道248号),b,2006-10-19,2006-10-20,4,2,5.0,1.2,68,66
468,小金井市前原町4-17-14,35.689507,139.503082,JGD2011,三鷹国立線(主地道14号),b,2006-10-26,2006-10-27,4,6,5.0,1.2,66,63
469,小金井市本町4-12-40,35.706532,139.505981,JGD2011,府中清瀬線(主地道15号),c,2006-10-17,2006-10-18,4,2,5.0,1.2,67,65
470,小平市中島町26-9,35.729675,139.433945,JGD2011,中島十番線,a,2006-11-30,2006-12-01,4,2,2.0,1.2,68,64
471,小平市上水本町1-25-31,35.719688,139.464127,JGD2011,所沢府中線,a,2006-11-30,2006-12-01,4,2,2.0,1.2,68,67
