受付番号,事業名称,事業地住所,緯度,経度,座標系,事業者,対象事業,実施状況,詳細
1,東京都市計画白鬚西地区第二種市街地再開発事業　NO．20へ変更,荒川区南千住三丁目、四丁目及び八丁目の一部,35.731232,139.807022,JGD2011,東京都（建設局）,市街地再開発事業,評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/1dtl.html
20,東京都市計画白鬚西地区第二種市街地再開発事業（変更）,荒川区南千住３、４丁目、８丁目各一部,35.731232,139.807022,JGD2011,東京都（都市整備局）,市街地再開発事業,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/20dtl.html
58,東京都北清掃工場建設事業　★H1/6/21に中止届　cf.No.91,北区志茂２丁目,35.779469,139.728775,JGD2011,東京二十三区清掃一部事務組合,廃棄物処理施設の設置又は変更,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/58dtl.html
67,東京都東尾久浄化センター建設事業,荒川区東尾久７丁目,35.751602,139.774704,JGD2011,東京都（下水道局）：東京都公営企業管理者,下水道等(公共下水道の終末処理場の設置),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/67dtl.html
91,東京都北清掃工場建設事業,北区志茂１丁目２番,35.775730,139.731857,JGD2011,東京二十三区清掃一部事務組合,廃棄物処理施設の設置又は変更,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/91dtl.html
132,常磐新線(新浅草駅付近・都県境間)鉄道建設事業,台東区浅草２丁目～足立区南花畑４丁目,35.714943,139.795456,JGD2011,首都圏新都市鉄道株式会社,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/132dtl.html
133,白鬚西地区第二種市街地再開発事業８、９街区住宅建設事業　※h14.7対象外,荒川区南千住８丁目,35.736832,139.809692,JGD2011,東京都（建設局）,住宅団地の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/133dtl.html
138,都市高速鉄道日暮里・舎人線建設事業,荒川区西日暮里２丁目(日暮里駅)～足立区舎人３丁目(見沼代親水公園駅),35.730396,139.771027,JGD2011,東京都（建設局）、東京都地下鉄建設株式会社,鉄道等(軌道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/138dtl.html
145,南千住北部地区住宅街区（Ｅ街区）建設事業及び都市計画道路補助線街路第３２１号線建設事業,住宅:荒川区南千住４丁目　道路:南千住３丁目～８丁目,35.734295,139.802734,JGD2011,東京都（住宅局）、東京都住宅供給公社、住宅・都市整備公団、荒川区,住宅団地の新設、高層建築物の新設、道路(道路の新設又は改築),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/145dtl.html
176,丸の内二丁目２－１他街区開発事業　※ｈ15.4変更届により対象外,千代田区丸の内2丁目2番1他及び20番1外,35.680233,139.762222,JGD2011,三菱地所株式会社、三菱商事株式会社,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/176dtl.html
183,(仮称)汐留Ａ街区、Ｂ街区、Ｃ街区開発事業,港区東新橋１－５,35.665634,139.761398,JGD2011,(株)電通､三井不動産株式会社､日本テレビ放送網(株)ほか３社,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/183dtl.html
