測定日,測定位置（高さ(m)）,No.1中防外側（μSv/h）,No.2中防外側（μSv/h）,No.3新海面（μSv/h）,No.4新海面（μSv/h）,No.5中防外側（μSv/h）,No.6中防外側（μSv/h）,No.7中防庁舎（μSv/h）
平成28年 12月29日,  0.5,0.06,0.07,0.05,0.04,0.07,0.04,0.05
平成28年 12月29日,  1.0,0.06,0.07,0.05,0.04,0.06,0.04,0.05
平成28年 12月20日,  0.5,0.06,0.08,0.07,0.04,0.07,0.04,0.06
平成28年 12月20日,  1.0,0.06,0.07,0.06,0.04,0.06,0.03,0.06
平成28年 12月13日,  0.5,0.07,0.08,0.07,0.04,0.07,0.03,0.06
平成28年 12月13日,  1.0,0.06,0.08,0.07,0.04,0.07,0.03,0.06
平成28年 12月6日,  0.5,0.07,0.08,0.07,0.04,0.07,0.03,0.05
平成28年 12月6日,  1.0,0.06,0.07,0.06,0.05,0.06,0.03,0.05
平成28年 11月29日,  0.5,0.07,0.08,0.07,0.04,0.07,0.03,0.05
平成28年 11月29日,  1.0,0.06,0.07,0.06,0.04,0.07,0.04,0.05
平成28年 11月22日,  0.5,0.06,0.07,0.07,0.04,0.07,0.03,0.05
平成28年 11月22日,  1.0,0.06,0.07,0.06,0.04,0.07,0.03,0.05
平成28年 11月15日,  0.5,0.06,0.07,0.08,0.03,0.06,0.03,0.04
平成28年 11月15日,  1.0,0.07,0.07,0.07,0.05,0.06,0.03,0.04
平成28年 11月8日,  0.5,0.07,0.08,0.07,0.04,0.07,0.03,0.06
平成28年 11月8日,  1.0,0.07,0.07,0.07,0.04,0.07,0.04,0.06
平成28年 11月1日,  0.5,0.07,0.08,0.07,0.04,0.06,0.03,0.06
平成28年 11月1日,  1.0,0.06,0.07,0.03,0.04,0.07,0.03,0.05
平成28年 10月25日,  0.5,0.07,0.08,0.07,0.05,0.07,0.03,0.05
平成28年 10月25日,  1.0,0.06,0.07,0.07,0.05,0.05,0.03,0.05
平成28年 10月18日,  0.5,0.06,0.07,0.07,0.04,0.06,0.03,0.05
平成28年 10月18日,  1.0,0.06,0.07,0.07,0.03,0.05,0.03,0.06
平成28年 10月11日,  0.5,0.06,0.06,0.06,0.04,0.04,0.02,0.03
平成28年 10月11日,  1.0,0.04,0.07,0.06,0.04,0.04,0.02,0.04
平成28年 10月4日,  0.5,0.05,0.06,0.06,0.05,0.05,0.03,0.03
平成28年 10月4日,  1.0,0.05,0.06,0.06,0.04,0.05,0.03,0.04
