試料採取日,第一排水処理場処理水(1)（Bq/L）,第三排水処理場処理水(2)（Bq/L）,第一排水処理場脱水汚泥(3)（Bq/kg）,第三排水処理場脱水汚泥(4)（Bq/kg）,外側11号ポンプ井浸出液(5)（Bq/L）,外側20号ポンプ井浸出液(6)（Bq/L）,BﾌﾞﾛｯｸB1ポンプ井浸出液(7)（Bq/L）,BﾌﾞﾛｯｸB2ポンプ井浸出液(8)（Bq/L）,Bﾌﾞﾛｯｸ集導管(北)浸出液(9)（Bq/L）,Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)（Bq/L）
平成28年12月26日,不検出 ／(<7.3)／(<6.8),―,134Cs:不検出 ／(<7.9)／137Cs: 26／合計: 34,―,―,不検出 ／(<5.1)／(<7.1),―,不検出 ／(<7.0)／(<6.2),不検出 ／(<7.1)／(<7.5),―
平成28年12月19日／((4)は､12月18日採取),―,不検出 ／(<6.6)／(<6.6),―,不検出 ／(<4.7)／(<6.9),不検出 ／(<7.7)／(<5.8),―,不検出 ／(<5.6)／(<7.1),―,―,不検出 ／(<7.6)／(<8.1)
平成28年12月12日,不検出 ／(<7.4)／(<6.9),―,134Cs:不検出 ／(<6.5)／137Cs: 23／合計: 30,―,―,不検出 ／(<7.3)／(<6.1),―,不検出 ／(<4.9)／(<6.5),不検出 ／(<7.2)／(<7.6),―
平成28年12月5日,不検出 ／(<6.3)／(<8.2),―,134Cs:不検出 ／(<6.0)／137Cs: 24／合計: 30,―,―,不検出 ／(<6.0)／(<7.6),―,不検出 ／(<7.2)／(<5.7),不検出 ／(<6.4)／(<8.2),―
平成28年11月28日(注1),―,不検出 ／(<6.7)／(<6.4),―,不検出 ／(<6.4)／(<5.0),不検出 ／(<5.4)／(<6.4),―,不検出 ／(<7.2)／(<6.8),―,―,不検出 ／(<6.6)／(<8.0)
平成28年11月21日／((4)は､11月20日採取),―,不検出 ／(<8.1)／(<8.6),―,不検出 ／(<7.8)／(<6.8),不検出 ／(<5.7)／(<6.1),―,不検出 ／(<7.5)／(<5.6),―,―,不検出 ／(<6.6)／(<7.3)
平成28年11月14日,不検出 ／(<5.0)／(<6.2),―,134Cs:不検出 ／(<7.1)／137Cs: 29／合計: 36,―,―,不検出 ／(<7.4)／(<7.8),―,不検出 ／(<6.8)／(<6.8),不検出 ／(<6.9)／(<6.9),―
平成28年11月7日／((4)は､11月6日採取),―,不検出 ／(<8.4)／(<7.0),―,不検出 ／(<6.9)／(<5.3),不検出 ／(<7.8)／(<5.2),―,不検出 ／(<7.4)／(<6.9),―,―,不検出 ／(<7.9)／(<5.7)
平成28年10月31日,不検出 ／(<5.9)／(<5.7),―,134Cs:不検出 ／(<8.6)／137Cs: 24／合計: 33,―,―,不検出 ／(<6.8)／(<8.1),―,不検出 ／(<7.6)／(<6.1),不検出 ／(<5.5)／(<7.5),―
平成28年10月24日,不検出 ／(<7.3)／(<6.8),―,134Cs:不検出 ／(<5.5)／137Cs: 27／合計: 33,―,不検出 ／(<7.0)／(<7.4),―,不検出 ／(<6.1)／(<6.3),―,―,不検出 ／(<7.0)／(<7.7)
平成28年10月17日(注1),―,不検出 ／(<7.4)／(<7.0),―,不検出 ／(<6.9)／(<5.3),―,不検出 ／(<8.3)／(<6.6),―,不検出 ／(<7.3)／(<7.6),不検出 ／(<7.6)／(<5.4),―
平成28年10月10日／((4)は､10月9日採取),―,不検出 ／(<7.0)／(<5.7),―,不検出 ／(<5.9)／(<6.3),不検出 ／(<6.8)／(<6.5),―,不検出 ／(<6.9)／(<7.1),―,―,不検出 ／(<7.8)／(<8.1)
平成28年10月3日,不検出 ／(<6.5)／(<7.5),―,134Cs:不検出 ／(<7.6)／137Cs: 27／合計: 35,―,―,不検出 ／(<5.4)／(<6.4),―,不検出 ／(<6.7)／(<7.1),不検出 ／(<6.4)／(<6.9),―
