No.,区分,素地面,防水仕様名称,工程・材料名,標準仕様書／使用量 (kg/m2),VOC含有率／低VOC (%),VOC含有率／高VOC (%),VOC排出量／低VOC(g/m2),VOC排出量／中VOC(g/m2),VOC排出量／中VOC(g/m2),VOC排出量／高VOC(g/m2)
51,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：接着工法・加硫ｺﾞﾑ系 ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-F1）【S-RF】,平面合計,,,,357.9,527.3,732.3,732.3
51,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：接着工法・加硫ｺﾞﾑ系 ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-F1）【S-RF】,プライマー塗り,0.2,93,93,186,186,186,186
51,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：接着工法・加硫ｺﾞﾑ系 ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-F1）【S-RF】,接着剤塗布,"0.4
／(0.2)",77,77,154,308,308,308
51,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：接着工法・加硫ｺﾞﾑ系 ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-F1）【S-RF】,加硫ゴム系ルーフィングシート張付け,-,,,,,,
51,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：接着工法・加硫ｺﾞﾑ系 ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-F1）【S-RF】,接合部接着剤塗布,"0.04
／(0.02)",77,77,15.4,30.8,30.8,30.8
51,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：接着工法・加硫ｺﾞﾑ系 ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-F1）【S-RF】,仕上塗料,0.25,1,83,2.5,2.5,207.5,207.5
52,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：接着工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-F2）【S-PF】,平面合計,,,,416,,,416
52,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：接着工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-F2）【S-PF】,接着剤塗布,0.4,90,90,360,,,360
52,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：接着工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-F2）【S-PF】,塩化ビニル樹脂系ルーフィングシート張付け,-,,,,,,
52,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：接着工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-F2）【S-PF】,接合部処理,0.04,100,100,40,,,40
52,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：接着工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-F2）【S-PF】,接合部シール材処理,0.02,80,80,16,,,16
53,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・加硫ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M1）【S-RM】,平面合計,,,,48.7,,,253.7
53,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・加硫ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M1）【S-RM】,固定金具取り付け,-,,,,,,
53,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・加硫ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M1）【S-RM】,加硫ゴム系ルーフィングシート張付け,-,,,,,,
53,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・加硫ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M1）【S-RM】,接合部接着剤塗布,0.06,77,77,46.2,,,46.2
53,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・加硫ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M1）【S-RM】,仕上塗料,0.25,1,83,2.5,,,207.5
54,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M2）【S-PM】,平面合計,,,,56,,,76
54,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M2）【S-PM】,絶縁用シート敷設（改修）,-,,,,,,
54,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M2）【S-PM】,塩化ビニル樹脂系ルーフィングシート敷設,-,,,,,,
54,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M2）【S-PM】,接合部処理,0.04,100,100,40,,,40
54,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M2）【S-PM】,固定金具取り付け,-,,,,,,
54,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M2）【S-PM】,固定金具処理,0.02,0,100,0,,,20
54,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M2）【S-PM】,接合部シール材処理,0.02,80,80,16,,,16
55,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・熱可塑性ｴﾗｽﾄﾏ-系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M3）,平面合計,,,,16,,,16
55,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・熱可塑性ｴﾗｽﾄﾏ-系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M3）,絶縁用シート敷設（改修）,-,,,,,,
55,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・熱可塑性ｴﾗｽﾄﾏ-系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M3）,熱可塑性エラストマー系ルーフィングシート敷設,-,,,,,,
55,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・熱可塑性ｴﾗｽﾄﾏ-系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M3）,固定金具取り付け,-,,,,,,
55,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・熱可塑性ｴﾗｽﾄﾏ-系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M3）,接合部処理,-,,,,,,
55,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：機械的固定工法・熱可塑性ｴﾗｽﾄﾏ-系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（S-M3）,接合部シール材処理,0.02,80,80,16,,,16
56,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱接着工法・加硫 ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-F1）【S-RFT】,平面合計,,,,835.3,835.3,1040.3,1040.3
56,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱接着工法・加硫 ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-F1）【S-RFT】,プライマー塗り,0.2,93,93,186,186,186,186
56,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱接着工法・加硫 ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-F1）【S-RFT】,断熱材  接着剤張付け,0.4,77,77,308,308,308,308
56,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱接着工法・加硫 ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-F1）【S-RFT】,加硫ゴム系ルーフィングシート  接着剤張付け,0.4,77,77,308,308,308,308
56,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱接着工法・加硫 ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-F1）【S-RFT】,接合部接着剤塗布,0.04,77,77,30.8,30.8,30.8,30.8
56,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱接着工法・加硫 ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-F1）【S-RFT】,仕上塗料,0.25,1,83,2.5,2.5,207.5,207.5
57,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱接着工法・塩化 ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-F2）【S-PFT】,平面合計,,,,776,,,776
57,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱接着工法・塩化 ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-F2）【S-PFT】,接着剤塗布  断熱材張付け,0.4,90,90,360,,,360
57,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱接着工法・塩化 ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-F2）【S-PFT】,接着剤塗布,0.4,90,90,360,,,360
57,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱接着工法・塩化 ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-F2）【S-PFT】,"塩化ビニル樹脂系ルーフィングシート張
付け",-,,,,,,
57,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱接着工法・塩化 ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-F2）【S-PFT】,接合部処理,0.04,100,100,40,,,40
57,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱接着工法・塩化 ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-F2）【S-PFT】,接合部シール材処理,0.02,80,80,16,,,16
58,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱機械的固定工法・加硫ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-M1）【S-RMT】,平面合計,,,,48.7,,,253.7
58,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱機械的固定工法・加硫ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-M1）【S-RMT】,防湿用フィルム敷設,-,,,,,,
58,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱機械的固定工法・加硫ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-M1）【S-RMT】,断熱材敷き込み,-,,,,,,
58,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱機械的固定工法・加硫ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-M1）【S-RMT】,固定金具取り付け,-,,,,,,
58,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱機械的固定工法・加硫ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-M1）【S-RMT】,加硫ゴム系ルーフィングシート張付け,-,,,,,,
58,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱機械的固定工法・加硫ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-M1）【S-RMT】,接合部接着剤塗布,0.06,77,77,46.2,,,46.2
58,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱機械的固定工法・加硫ｺﾞﾑ系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-M1）【S-RMT】,仕上塗料,0.25,1,83,2.5,,,207.5
59,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱機械的固定工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-M2）【S-PMT】,平面合計,,,,56,,,76
59,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱機械的固定工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-M2）【S-PMT】,防湿用フィルム敷設,-,,,,,,
59,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱機械的固定工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-M2）【S-PMT】,断熱材敷設,-,,,,,,
59,新築／改修,RC,合成高分子系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ防水：断熱機械的固定工法・塩化ﾋﾞﾆﾙ樹脂系ﾙ-ﾌｨﾝｸﾞｼ-ﾄ（SI-M2）【S-PMT】,絶縁用シート敷設,-,,,,,,
