月日（曜日）,予報日数,予報発令地域,予報発令時間,注意報日数,注意報発令地域,注意報発令時間,学校情報日数,学校情報提供地域,学校情報提供時間,オキシダント最高濃度時刻,オキシダント最高濃度測定局,オキシダント最高濃度濃度ppm,被害届出数（人）
4月30日（木）,,,,,,,1,多摩北部,16:20～17:20,16,小平市小川町,0.102,
4月30日（木）,,,,,,,,,,16,東大和市奈良橋,0.102,
4月30日（木）,,,,,,,1,多摩西部,16:20～17:20,16,青梅市東青梅,0.101,
5月27日（水）,,,,,,,2,多摩北部,17:20～19:20,18,小平市小川町,0.104,
6月4日（木）,,,,,,,3,区西部,16:20～17:20,16,杉並区久我山,0.108,
6月4日（木）,,,,,,,3,多摩北部,15:20～18:20,16,武蔵野市関前,0.115,
6月4日（木）,,,,,,,3,多摩中部,16:20～17:20,16,狛江市中和泉,0.108,
6月4日（木）,,,,,,,3,多摩西部,16:20～19:20,17,福生市本町,0.11,
6月4日（木）,,,,,,,3,多摩南部,16:20～20:20,15,町田市金森,0.108,
6月4日（木）,,,,,,,,,,16,町田市金森,0.108,
6月5日（金）,,,,,,,4,区西部,12:20～15:20,12,練馬区石神井町,0.107,
6月5日（金）,,,,,,,4,多摩北部,12:20～14:20,12,武蔵野市関前,0.112,
6月5日（金）,,,,,,,4,多摩中部,12:20～13:20,12,狛江市中和泉,0.109,
6月8日（月）,,,,,,,5,区北部,15:20～16:20,15,荒川区南千住,0.11,
6月8日（月）,,,,,,,5,区西部,14:20～16:20,15,板橋区氷川町,0.12,
6月8日（月）,,,,,,,5,区南部,13:20～15:20,14,渋谷区宇田川町,0.124,
6月26日（金）,,,,,,,6,区北部,16:20～18:20,17,足立区西新井,0.115,
6月26日（金）,,,,,,,6,区西部,16:20～18:20,17,文京区本駒込,0.112,
6月26日（金）,,,,,,,6,区南部,16:20～18:20,17,世田谷区世田谷,0.118,
6月27日（土）,,,,,,,7,多摩北部,16:20～17:20,16,武蔵野市関前,0.102,
7月20日（月）,,,,,,,8,多摩北部,15:20～19:20,16,小平市小川町,0.12,
7月20日（月）,,,,,,,8,多摩中部,15:20～18:20,16,府中市宮西町,0.119,
7月20日（月）,,,,1,多摩南部,15:20～16:20,8,多摩南部,14:20～18:20,15,町田市金森,0.129,
8月3日（月）,,,,,,,9,区西部,13:20～16:20,13,練馬区石神井町,0.124,
8月3日（月）,,,,,,,9,多摩北部,14:20～16:20,13,武蔵野市関前,0.121,
8月10日（月）,,,,2,区東部,13:20～15:20,10,区東部,13:20～16:20,13,中央区晴海,0.129,
8月10日（月）,,,,,,,10,区北部,14:20～17:20,15,足立区西新井,0.127,
8月10日（月）,,,,2,区西部,15:20～16:20,10,区西部,14:20～16:20,15,練馬区北町,0.139,
8月10日（月）,,,,2,区南部,13:20～15:20,10,区南部,12:20～15:20,13,渋谷区宇田川町,0.139,
8月13日（木）,,,,,,,11,区東部,13:20～15:20,13,中央区晴海,0.116,
8月13日（木）,,,,,,,,,,13,港区高輪,0.116,
8月13日（木）,,,,3,区西部,14:20～15:20,11,区西部,14:20～16:20,14,板橋区氷川町,0.133,
8月13日（木）,,,,,,,,,,14,練馬区北町,0.133,
8月13日（木）,,,,3,区南部,13:20～14:20,11,区南部,12:20～15:20,13,渋谷区宇田川町,0.137,
8月15日（土）,,,,4,区東部,12:20～18:20,12,区東部,11:20～18:20,14,港区高輪,0.183,
8月15日（土）,,,,4,区北部,16:20～19:20,12,区北部,12:20～19:20,16,荒川区南千住,0.162,
8月15日（土）,,,,4,区西部,13:20～17:20,12,区西部,13:20～18:20,15,練馬区北町,0.193,
8月15日（土）,,,,4,区南部,12:20～16:20,12,区南部,12:20～17:20,14,渋谷区宇田川町,0.199,
8月15日（土）,,,,4,多摩北部,15:20～16:20,12,多摩北部,14:20～16:20,14,武蔵野市関前,0.129,
8月15日（土）,,,,,,,12,多摩中部,14:20～15:20,14,狛江市中和泉,0.12,
8月19日（水）,,,,,,,13,区東部,14:20～18:20,14,港区高輪,0.108,
8月19日（水）,,,,5,区北部,15:20～18:20,13,区北部,15:20～18:20,16,足立区西新井,0.14,
8月19日（水）,,,,5,区西部,14:20～16:20,13,区西部,13:20～18:20,14,中野区若宮,0.155,
8月19日（水）,,,,5,区南部,13:20～15:20,13,区南部,13:20～16:20,13,世田谷区世田谷,0.168,
8月19日（水）,,,,5,多摩北部,15:20～16:20,13,多摩北部,14:20～16:20,14,武蔵野市関前,0.137,
8月19日（水）,,,,5,多摩中部,14:20～15:20,13,多摩中部,13:20～16:20,14,狛江市中和泉,0.142,
8月19日（水）,,,,,,,13,多摩西部,15:20～16:20,15,青梅市東青梅,0.102,
8月19日（水）,,,,,,,13,多摩南部,13:20～15:20,13,町田市能ヶ谷,0.114,
8月21日（金）,,,,,,,14,区東部,14:20～15:20,13,港区高輪,0.129,
8月21日（金）,,,,6,区西部,13:20～15:20,14,区西部,13:20～16:20,13,練馬区北町,0.15,
8月21日（金）,,,,,,,,,,14,練馬区北町,0.15,
8月21日（金）,,,,6,区南部,12:20～14:20,14,区南部,12:20～14:20,11,大田区東糀谷,0.145,
8月21日（金）,,,,,,,14,多摩北部,14:20～15:20,14,清瀬市上清戸,0.107,
8月22日（土）,,,,,,,15,多摩北部,16:20～17:20,16,小平市小川町,0.11,
8月22日（土）,,,,,,,15,多摩中部,15:20～17:20,15,狛江市中和泉,0.107,
8月22日（土）,,,,,,,15,多摩南部,14:20～16:20,15,町田市能ヶ谷,0.118,
