番号,市区町村島しょ,届出数
101,千代田区,26
102,中央区,28
103,港区,34
104,新宿区,63
105,文京区,28
106,台東区,48
107,墨田区,64
108,江東区,85
109,品川区,81
110,目黒区,55
111,大田区,283
112,世田谷区,50
113,渋谷区,29
114,中野区,13
115,杉並区,43
116,豊島区,39
117,北区,68
118,荒川区,58
119,板橋区,131
120,練馬区,66
121,足立区,154
122,葛飾区,84
123,江戸川区,175
,区小計,1705
201,八王子市,132
202,立川市,29
203,武蔵野市,10
204,三鷹市,22
205,青梅市,27
206,府中市,30
207,昭島市,24
208,調布市,25
209,町田市,70
210,小金井市,17
211,小平市,27
212,日野市,17
213,東村山市,16
214,国分寺市,14
215,国立市,8
218,福生市,11
219,狛江市,12
220,東大和市,12
221,清瀬市,5
222,東久留米市,11
223,武蔵村山市,16
224,多摩市,12
225,稲城市,9
227,羽村市,34
228,あきる野市,14
229,西東京市,10
303,瑞穂町,28
305,日の出町,10
307,檜原村,4
308,奥多摩町,3
,市町村小計,659
361,大島町,1
362,利島町,0
363,新島村,0
364,神津島村,0
381,三宅村,1
382,御蔵島村,0
401,八丈島,2
402,青ヶ島村,0
421,小笠原村,0
,島しょ小計,4
,合計（都全域）,2368
