ID,住所（都道府県名）,住所（市区町村名）,住所（それ以降の住所）,設置者・運営会社,緯度,経度,拠点名,カテゴリ,駐車料金,営業時間,定休日,使用可否,使用可否でその他の場合,充電器数（充電器台数合計）,充電器数（使用できない台数）,充電器数（急速充電器数）,"充電器数（普通（200V）
充電器数）","充電器数（普通（100V）
充電器数）",利用料金（急速充電器料金）,利用料金（普通充電器200V料金）,利用料金（普通充電器100V料金）,現地調査_利用制限（急速充電器）,現地調査_利用制限（普通充電器）,型式（急速充電器）,型式（普通（200V）充電器）,型式（普通（100V）充電器）,設置年数,充電規格（急速充電器）,急速充電器コネクタ数（1台あたり）,普通充電器200Vコネクタ数（1台あたり）,普通充電器100Vコネクタ数（1台あたり）,出力（急速充電器）,出力（普通（200V）充電器）,出力（普通（100V）充電器）,メーカー（急速充電器）,メーカー（普通（200V/）充電器）,メーカー（普通（100V）充電器）,周辺情報,周辺看板の有無,周知箇所（敷地外）,周知箇所（敷地入口・入口付近）,周知箇所（敷地内・敷地内誘導看板）,周知箇所（機器周辺）,駐車スペースの制限,その他の制限
1,東京都,調布市,小島町2-32-23,株式会社日産カーレンタルソリューション,35.65188192,139.5422879,日産レンタカー調布駅南口店,その他,無料,平日8:00～20:00、土曜日・日曜日・祝日8:00～22:00,無休,可,,1,0,1,0,0,不明,設備無し,設備無し,現地特記事項無し,設備無し,NQC44-A-1,設備無し,設備無し,不明,CHAdeMO,1,0,0,DC500V最大/DC125A最大,設備無し,設備無し,"NISSAN MORTOR CO., LTD.",設備無し,設備無し,コンビニエンスストア、スーパー、電気店、銀行,なし,0,0,0,0,情報無し,情報無し
2,東京都,調布市,深大寺東町8-33-1,東京日産自動車販売株式会社,35.68134585,139.5572945,東京日産新車のひろば三鷹店,ディーラー,無料,10:00～18:30,火曜日、第一水曜日,可,,2,1,2,0,0,【会員以外】1500円/回 【会員】プランによる,設備無し,設備無し,最大利用可能時間30分,設備無し,NSQC443BB,設備無し,設備無し,6年,CHAdeMO,1,0,0,44kW（最大電圧値500V:最大電流値:125A）,設備無し,設備無し,"NISSAN MORTOR CO., LTD.",設備無し,設備無し,スーパー、公園,あり,0,1,0,0,情報無し,情報無し
3,東京都,調布市,富士見町2-12-2,東日本三菱自動車販売株式会社,35.65617848,139.5419949,東日本三菱自動車販売　調布店,ディーラー,無料,10:00～18:00,火曜日、水曜日,可,,2,0,2,0,0,会員はプランによる。会員以外1分ごと30円（税込）最大料金900円,設備無し,設備無し,現地特記事項無し,設備無し,QC03 （HASETIC）／RAPIDAS-R（JFEテクノス）,設備無し,設備無し,不明,CHAdeMO,1,0,0,【JFEテクノス】200V/125A／【ハセテック】不明,設備無し,設備無し,株式会社ハセテック/JFEテクノス株式会社,設備無し,設備無し,スーパー、飲食店,あり,0,1,0,0,情報無し,情報無し
4,東京都,東久留米市,前沢5-31-10,日産プリンス西東京販売株式会社,35.73967906,139.5078395,日産プリンス西東京久留米店,ディーラー,無料,10:00～18:30,火曜日、第一水曜日,可,,1,0,1,0,0,30分1500円,設備無し,設備無し,現地特記事項無し,設備無し,NSQC443BB,設備無し,設備無し,不明,CHAdeMO,1,0,0,44kW（最大電圧値500V:最大電流値:125A）,設備無し,設備無し,"NISSAN MORTOR CO., LTD.",設備無し,設備無し,100円ショップ、ディスカウントショップ、ホームセンター,あり,0,1,0,0,情報無し,情報無し
5,東京都,八王子市,北野町593-7,東日本三菱自動車販売株式会社,35.65313625,139.3533594,東日本三菱自動車販売　八王子北野店,ディーラー,無料,10:00～18:00,火曜日、水曜日,可,,2,1,2,0,0,会員カードをお持ちの方はプランによる,設備無し,設備無し,現地特記事項無し,設備無し,不明,設備無し,設備無し,不明,不明,1,0,0,500V/125A,設備無し,設備無し,株式会社ハセテック/JFEテクノス株式会社,設備無し,設備無し,コンビニエンスストア、スーパー,あり,0,1,0,0,高さ：2.1ｍ,情報無し
6,東京都,八王子市,大和田町5-5-10,東京日産自動車販売株式会社,35.66235177,139.3482985,東京日産八王子店,ディーラー,無料,10:00～18:30,火曜日、第一水曜日,可,,1,0,1,0,0,500円/回,設備無し,設備無し,現地特記事項無し,設備無し,NSQC443BB,設備無し,設備無し,不明,CHAdeMO,1,0,0,44kW（最大電圧値500V:最大電流値:125A）,設備無し,設備無し,"NISSAN MORTOR CO., LTD.",設備無し,設備無し,ビジネスホテル,あり,0,1,0,0,高さ：2.0ｍ,情報無し
7,東京都,多摩市,愛宕4-18-16,日産プリンス西東京販売株式会社,35.62723947,139.4253924,日産プリンス西東京多摩センター店,ディーラー,無料,10:00～18:30,火曜日、第一水曜日,可,,1,0,1,0,0,【会員以外】1500円/回 【会員】プランによる,設備無し,設備無し,現地特記事項無し,設備無し,NSQC443BB,設備無し,設備無し,不明,CHAdeMO,1,0,0,44kW（最大電圧値500V:最大電流値:125A）,設備無し,設備無し,"NISSAN MORTOR CO., LTD.",設備無し,設備無し,飲食店,あり,0,1,0,0,高さ：2.1ｍ,情報無し
8,東京都,立川市,富士見町6-49-22,東日本三菱自動車販売株式会社,35.6920759,139.3931472,東日本三菱自動車販売　立川店,ディーラー,無料,10:00～18:00,火曜日、水曜日,可,,2,0,2,0,0,1分ごと30円、最大900円,設備無し,設備無し,充電中に離れるときは鍵を預けるか、30分以内に戻ること,設備無し,RAPIDAS-R-AE（JFEテクノス）／QC03（HASETEC）,設備無し,設備無し,5年,CHAdeMO,1,0,0,【JFEテクノス】500V/125A/50・60Hz／【ハセテック】不明,設備無し,設備無し,JFEテクノス株式会社/ 株式会社ハセテック,設備無し,設備無し,コンビニエンスストア、スーパー,あり,0,1,0,0,情報無し,情報無し
9,東京都,西多摩郡檜原村,2430,檜原村,35.7242363,139.0541164,檜原温泉センター数馬の湯,その他,無料,10:00～19:00,月曜日,可,,1,0,1,0,0,無料,設備無し,設備無し,充電時間は30分,設備無し,HFR1,設備無し,設備無し,不明,CHAdeMO,1,0,0,50kW （最大電流値: 125 A ）,設備無し,設備無し,株式会社東光高岳,設備無し,設備無し,温泉施設,なし,0,0,0,0,情報無し,情報無し
10,東京都,国立市,富士見台2-47-1,国立市,35.68396665,139.442226,国立市役所庁舎駐車場,自治体施設,【最大料金】入庫後24時間以内：800円／【通常料金】8:00～22:00：25分/200円、22:00～8:00：60分/100円／市役所窓口利用者等：1時間無料／市民芸術小ホール、市民総合体育館利用者、谷保第三公園有料施設(テニスコート・野球場)利用者：2時間無料／しょうがいのある方・要介護者等・市が実施する事業や会議の参加者：利用時間無料,8:30～17:00,土曜日、日曜日、祝日,可,,2,0,1,1,0,500円/回,1時間まで無料,設備無し,現地特記事項無し,現地特記事項無し,QC03 ,DNE001K,設備無し,不明,CHAdeMO,1,1,0,40kW （最大電流値: 100 A ）,200V/50・60Hz/20A,設備無し,株式会社ハセテック,Panasonic,設備無し,公園、ドラッグストア,あり,0,0,1,1,情報無し,情報無し
