種類,東京都内処分量（平成24年度）（千t）,都内処分率（平成24年度）（%）,東京都内処分量（平成25年度）（千t）,都内処分率（平成25年度）（%）,東京都外処分量（平成24年度）（千t）,都外処分率（平成24年度）（%）,東京都外処分量（平成25年度）（千t）,都外処分率（平成25年度）（%）
汚泥,100,50.0,60,38.7,100,50.0,96,61.3
汚泥（内、上水汚泥）,36,100.0,26,98.4,0,0.0,0,1.6
汚泥（内、下水汚泥）,58,89.2,0,0.4,7,10.8,62,99.6
汚泥（内、建設汚泥）,0,0.0,26,50.1,74,100.0,26,49.9
汚泥（内、その他の汚泥）,6,24.0,9,53.8,19,76.0,8,46.2
廃油,0,0.0,0,0.5,0,0.0,0,99.5
廃酸,0,0.0,0,0.3,0,0.0,0,99.7
廃アルカリ,0,0.0,0,0.0,0,0.0,0,100.0
廃プラスチック類,0,0.0,15,41.0,40,100.0,21,59.0
金属くず,0,0.0,9,67.9,1,100.0,4,32.1
ガラス・陶磁器くず,23,7.3,57,41.0,294,92.7,82,59.0
がれき類,1,1.0,34,15.2,104,99.0,189,84.8
木くず,0,0.0,1,28.1,11,100.0,2,71.9
混合廃棄物,0,0.0,25,17.2,144,100.0,120,82.8
特別管理産業廃棄物,0,1.1,1,7.7,18,98.9,9,92.3
特別管理産業廃棄物（内、感染性廃棄物）,0,0.0,1,10.2,7,100.0,6,89.8
その他,16,39.0,3,11.6,25,61.0,19,88.4
合計,140,16.0,204,27.3,737,84.0,543,72.7
上下水汚泥除く計,46,6.0,178,27.1,730,94.0,481,72.9
