測定日,測定位置(高さ m),Ａ１,Ａ２,Ａ３,Ａ４,Ａ５,Ａ６,Ａ７,Ａ８
平成25年 12月30日,1.0,0.07,0.05,0.05,0.04,0.03,0.06,0.05,0.04
平成25年 12月25日,1.0,0.06,0.05,0.05,0.03,0.03,0.06,0.05,0.04
平成25年 12月18日,1.0,0.06,0.06,0.05,0.04,0.03,0.06,0.05,0.04
平成25年 12月11日,1.0,0.06,0.06,0.04,0.03,0.03,0.05,0.05,0.04
平成25年 12月 4日,1.0,0.07,0.05,0.05,0.03,0.03,0.06,0.06,0.04
平成25年 11月27日,1.0,0.06,0.05,0.04,0.04,0.04,0.06,0.06,0.03
平成25年 11月20日,1.0,0.07,0.06,0.05,0.04,0.05,0.07,0.06,0.04
平成25年 11月13日,1.0,0.07,0.06,0.05,0.04,0.04,0.06,0.05,0.06
平成25年 11月6日,1.0,0.07,0.05,0.05,0.03,0.04,0.06,0.06,0.07
平成25年 10月30日,1.0,0.07,0.05,0.04,0.03,0.04,0.05,0.06,0.05
平成25年 10月23日,1.0,0.07,0.06,0.05,0.04,0.05,0.07,0.06,0.05
平成25年 10月17日,1.0,0.07,0.06,0.06,0.04,0.04,0.07,0.06,0.06
平成25年 10月9日,1.0,0.07,0.06,0.05,0.04,0.06,0.06,0.05,0.05
平成25年 10月2日,1.0,0.07,0.05,0.05,0.04,0.06,0.05,0.05,0.05
