区市町村名,無色ガラス(H27実績)(t),無色ガラス(一人当たり)(kg),茶色ガラス(H27実績)(t),茶色ガラス(一人当たり)(kg),その他ガラス(H27実績)(t),その他ガラス(一人当たり)(kg),紙製容器包装(H27実績)(t),紙製容器包装(一人当たり)(kg),ペットボトル(H27実績)(t),ペットボトル(一人当たり)(kg),プラスチック製容器包装(H27実績)(t),プラスチック製容器包装(一人当たり)(kg)
千代田区,379,6.6,210,3.7,253,4.4,,,404,7,487,8.5
中央区,701,5,398,2.9,808,5.8,,,572,4.1,453,3.2
港区,1155,4.8,605,2.5,1760,7.3,,,1071,4.4,2664,11
新宿区,1579,4.8,652,2,1202,3.7,,,1303,4,1616,4.9
文京区,1217,5.8,618,3,742,3.6,,,819,3.9,5,0
台東区,1018,5.3,568,3,781,4.1,,,829,4.4,40,0.2
墨田区,1017,3.9,594,2.3,745,2.9,,,982,3.8,29,0.1
江東区,1817,3.6,1025,2.1,1466,2.9,,,1843,3.7,2390,4.8
品川区,1467,3.9,742,2,1185,3.2,92,0.2,1305,3.5,1001,2.7
目黒区,1096,4.1,489,1.8,1284,4.7,,,986,3.6,1703,6.3
大田区,2024,2.9,1221,1.7,2595,3.7,,,2535,3.6,160,0.2
世田谷区,2731,3.1,1281,1.5,4475,5.1,,,2311,2.6,21,0
渋谷区,1236,5.7,487,2.2,1736,8,,,976,4.5,1,0
中野区,1440,4.5,682,2.1,1053,3.3,,,1065,3.3,2372,7.4
杉並区,2106,3.8,842,1.5,1843,3.4,,,1766,3.2,4403,8
豊島区,1287,4.6,544,2,640,2.3,7,0,1471,5.3,263,0.9
北区,1170,3.5,505,1.5,868,2.6,,,1165,3.4,2,0
荒川区,805,3.8,564,2.7,242,1.2,,,666,3.2,23,0.1
板橋区,1984,3.6,1036,1.9,1232,2.3,,,1942,3.6,21,0
練馬区,2229,3.1,1096,1.5,2138,3,,,2086,2.9,5166,7.2
足立区,2099,3.1,1459,2.2,1489,2.2,,,2701,4,4,0
葛飾区,1601,3.6,853,1.9,813,1.8,,,1406,3.1,2645,5.9
江戸川区,2262,3.3,1509,2.2,1417,2.1,,,2376,3.5,2510,3.7
八王子市,2019,3.6,1273,2.3,1013,1.8,,,1979,3.5,5854,10.4
立川市,631,3.5,296,1.7,332,1.9,,,630,3.5,3117,17.4
武蔵野市,560,3.9,303,2.1,554,3.9,,,447,3.1,1750,12.2
三鷹市,716,3.9,469,2.6,652,3.6,,,628,3.4,5262,28.8
青梅市,376,2.7,234,1.7,142,1,,,390,2.8,1352,9.9
府中市,848,3.3,448,1.8,550,2.2,,,610,2.4,2886,11.3
昭島市,239,2.1,177,1.6,132,1.2,,,319,2.8,1256,11.1
調布市,602,2.7,397,1.8,566,2.5,,,828,3.7,6968,31
町田市,1354,3.2,866,2,1095,2.6,206,0.5,935,2.2,19,0
小金井市,492,4.2,231,2,266,2.3,,,313,2.7,2170,18.4
小平市,539,2.9,326,1.7,330,1.8,234,1.2,563,3,595,3.2
日野市,565,3.1,268,1.5,349,1.9,,,256,1.4,62,0.3
東村山市,388,2.6,217,1.4,290,1.9,,,222,1.5,2509,16.6
国分寺市,367,3.1,208,1.7,397,3.3,,,65,0.5,2150,18
国立市,228,3.1,125,1.7,263,3.5,,,221,3,635,8.5
福生市,215,3.7,119,2,119,2,,,187,3.2,682,11.6
狛江市,263,3.3,154,1.9,170,2.2,,,218,2.8,,
東大和市,259,3,127,1.5,127,1.5,,,182,2.1,929,10.8
清瀬市,254,3.4,144,1.9,128,1.7,,,243,3.3,1015,13.7
東久留米市,424,3.6,239,2,212,1.8,,,412,3.5,1443,12.4
武蔵村山市,201,2.8,149,2.1,97,1.3,,,210,2.9,741,10.3
多摩市,522,3.5,227,1.5,306,2.1,,,459,3.1,912,6.2
稲城市,271,3.1,156,1.8,169,1.9,,,267,3.1,6,0.1
羽村市,175,3.1,103,1.8,91,1.6,,,178,3.2,478,8.5
あきる野市,270,3.3,190,2.3,135,1.7,,,106,1.3,,
西東京市,753,3.8,424,2.1,377,1.9,,,600,3,2354,11.9
瑞穂町,113,3.3,71,2.1,77,2.3,,,127,3.8,403,11.9
日の出町,40,2.3,28,1.6,20,1.2,,,15,0.9,0.3,0
檜原村,12,5.1,8,3.5,6,2.7,,,5,2,,
奥多摩町,4,0.7,5,0.9,1,0.2,,,3,0.5,,
大島町,,,,,,,,,57,7.1,,
利島村,,,,,6,19,,,1,3.4,2,6.6
新島村,,,,,,,,,19,6.8,,
神津島村,2,1.1,2,1.2,1,0.7,,,11,5.7,,
三宅村,28,10.7,22,8.5,8,2.9,,,5,2.1,,
御蔵島村,2,5.6,1,3,2,6,,,1,2,,
八丈町,,,,,,,,,25,3.3,,
青ヶ島村,4,22.5,3,18.8,2,11.3,,,0,1.5,,
小笠原村,22,8.8,11,4.5,15,5.8,0,0.1,24,9.6,0.2,0.1
全区市町村合計,48177,3.6,26006,1.9,39763,3,539,0.04,44341,3.3,73531,3.3
23区,34420,3.8,17983,2,30765,3.4,99,0.01,32579,3.6,27980,3.6
多摩,13700,3.3,7984,1.9,8965,2.1,440,0.11,11618,2.8,45550,2.8
島しょ,57,2.2,39,1.5,33,1.2,0,0.01,143,5.4,2,5.4
合計,48177,3.6,26006,1.9,39763,3,539,0.04,44341,3.3,73531,3.3
実施区市町村数（全62区市町村）,58,58,58,58,59,59,5,5,62,62,51,62
