テナントID,所在地,特定テナント等事業者名称（会社名）,特定テナント等事業所名称（支店名等）,特定テナントが入居する事業所名称,総合評価
0002-02,千代田区神田神保町一丁目１０５番地,旭化成ホームズ株式会社,旭化成ホームズ株式会社,神保町三井ビルディング,AA評価
0002-03,千代田区神田神保町一丁目１０５番地,株式会社ジェイ エイ シー リクルートメント,株式会社ジェイ エイ シー リクルートメント,神保町三井ビルディング,A評価
0012-01,江東区木場一丁目５番25号,株式会社 野村総合研究所,木場総合センター,深川ギャザリア タワーＳ・Ｎ棟 プラザ棟,S評価
0012-02,江東区木場一丁目５番25号,株式会社りそな銀行,株式会社りそな銀行 東京本社,深川ギャザリア タワーＳ・Ｎ棟 プラザ棟,A評価
0021-01,新宿区西新宿二丁目８番１号,東京都交通局,東京都交通局,東京都庁舎,AAA評価
0021-02,新宿区西新宿二丁目８番１号,東京都下水道局,東京都下水道局,東京都庁舎,AAA評価
0021-03,新宿区西新宿二丁目８番１号,東京都水道局,東京都水道局,東京都庁舎,AAA評価
0049-02,江戸川区臨海町四丁目３番１号,名鉄運輸株式会社,葛西トラックターミナル,葛西トラックターミナル,A評価
0049-03,江戸川区臨海町四丁目３番１号,近物レックス株式会社,近物レックス株式会社,葛西トラックターミナル,A評価
0049-07,江戸川区臨海町四丁目３番１号,センコー株式会社,センコー株式会社 東京主管支店 葛西ＰＤセンター,葛西トラックターミナル,AA評価
0099-01,墨田区江東橋三丁目14番５号,株式会社 ヨドバシカメラ,ヨドバシカメラ マルチメディア錦糸町,錦糸町ステーションビル テルミナ,A評価
0104-01,港区港南二丁目７番１９号,東京食肉市場株式会社,東京食肉市場株式会社,東京都中央卸売市場食肉市場,AA評価
0105-02,大田区東海三丁目２番１号,東一神田青果株式会社,東京都中央卸売市場大田市場,東京都中央卸売市場大田市場,A評価
0105-03,大田区東海三丁目２番１号,東京青果株式会社,東京都中央卸売市場 大田市場,東京都中央卸売市場大田市場,AA評価
0105-04,大田区東海三丁目２番１号,一般社団法人 大田市場協会,一般社団法人 大田市場協会,東京都中央卸売市場大田市場,AA評価
0172-01,千代田区飯田橋三丁目１０番１０号,ＫＤＤＩ株式会社,飯田橋事業所（ガーデンエアタワー）,ガーデン エア タワー,S評価
0227-01,港区東新橋一丁目７番１号,株式会社 芝パークホテル,パークホテル東京,汐留メディアタワー,A評価
0230-03,墨田区錦糸一丁目２番１号,株式会社ヴィンクス,株式会社ヴィンクス 東京オフィス,錦糸町第３街区４棟,AA評価
0239-01,江東区新木場一丁目１８番７号,ＮＥＣソリューションイノベータ株式会社,ＮＥＣソリューションイノベータ株式会社 本社,新木場センタービル・新木場第二センタービル,AA評価
0243-02,新宿区西新宿六丁目８番１号,株式会社オービックビジネスコンサルタント,本社,新宿オークシティ,A評価
0244-02,港区東新橋一丁目９番２号,住友不動産ヴィラフォンテーヌ株式会社,ヴィラフォンテーヌグランド東京汐留,汐留住友ビル,AA評価
0244-05,港区東新橋一丁目９番２号,ソフトバンク株式会社,ソフトバンク株式会社汐留住友ビル,汐留住友ビル,AAA評価
0246-01,千代田区西神田三丁目５番２号,ジョンソン・エンド・ジョンソン株式会社,本社,千代田ファーストビル西館,S評価
0246-02,千代田区西神田三丁目５番２号,ヤンセンファーマ株式会社,ヤンセンファーマ株式会社,千代田ファーストビル西館,AAA評価
0247-01,新宿区西五軒町１３番１号,株式会社ドコモＣＳ,住友不動産飯田橋ビル3号館,住友不動産飯田橋ビル３号館,AA評価
0248-01,江東区南砂六丁目７番１５号,イオンリテール株式会社,イオンリテール株式会社 イオン南砂店,トピレックプラザ,AA評価
0248-02,江東区南砂六丁目７番１５号,株式会社ラウンドワン,ラウンドワン南砂店,トピレックプラザ,A評価
0249-01,港区芝三丁目２３番１号,日本電気株式会社,日本電気株式会社,セレスティン芝三井ビルディング,AAA評価
0249-02,港区芝三丁目２３番１号,株式会社三井不動産ホテルマネジメント,ホテル ザ セレスティン東京芝,セレスティン芝三井ビルディング,A評価
0250-01,千代田区丸の内一丁目８番１号,Shangri-La Hotels Japan 株式会社,丸の内トラストシティ,丸の内トラストシティ,A評価
0250-02,千代田区丸の内一丁目８番１号,JCOM株式会社,JCOM株式会社,丸の内トラストシティ,AA評価
0250-03,千代田区丸の内一丁目８番１号,ブラックロック・ジャパン株式会社,ブラックロック・ジャパン株式会社,丸の内トラストシティ,AA評価
0263-02,昭島市田中町５６２番地１,株式会社松竹マルチプレックスシアターズ,ＭＯＶＩＸ昭島,モリタウン,AA評価
0263-03,昭島市田中町５６２番地１,株式会社 イトーヨーカ堂,イトーヨーカ堂 昭島店,モリタウン,AAA評価
0266-01,武蔵野市吉祥寺本町一丁目１１番５号、吉祥寺本町一丁目８番１６号,三菱商事都市開発株式会社,コピス吉祥寺事業所,武蔵野市開発公社ビル,AA評価
0272-01,中央区日本橋一丁目４番１号,伊藤忠丸紅鉄鋼株式会社,伊藤忠丸紅鉄鋼株式会社,日本橋一丁目三井ビルディング,AA評価
0272-02,中央区日本橋一丁目４番１号,ＢｏｆＡ証券株式会社,ＢｏｆＡ証券株式会社 本社,日本橋一丁目三井ビルディング,AAA評価
0273-01,港区海岸三丁目２２番２３号,ＮＥＣネッツエスアイ株式会社,ＭＳＣセンタービル,ＭＳＣセンタービル,S評価
0277-02,品川区東品川四丁目12番５号,イオンリテール株式会社,イオンスタイル品川シーサイド,品川シーサイドフォレスト店舗棟・業務A棟・業務B棟,AAA評価
0277-03,品川区東品川四丁目12番４号,エヌ・ティ・ティ・コムウェア株式会社,エヌ・ティ・ティ・コムウェア株式会社 テレコムビジネス事業本部,品川シーサイドフォレスト店舗棟・業務A棟・業務B棟,S評価
0277-04,品川区東品川四丁目12番４号,ビッグローブ株式会社,品川オフィス,品川シーサイドフォレスト店舗棟・業務A棟・業務B棟,AA評価
0277-05,品川区東品川四丁目12番７号,株式会社日立ソリューションズ,日立ソリューションズタワー,品川シーサイドフォレスト店舗棟・業務A棟・業務B棟,AAA評価
0277-06,品川区東品川四丁目12番６号,株式会社 日立ソリューションズ・クリエイト,品川シーサイドキャナルタワー,品川シーサイドフォレスト店舗棟・業務A棟・業務B棟,AAA評価
0279-01,中央区明石町８番１号,三機工業株式会社,聖路加ガーデン,聖路加ガーデン,AAA評価
0279-02,中央区明石町８番１号,IHI運搬機械株式会社,聖路加ガーデン,聖路加ガーデン,AA評価
0279-04,中央区明石町８番１号,銀座クレストン(ホテルマネージメントインターナショナル株式会社),聖路加ガーデン,聖路加ガーデン,AAA評価
0284-03,府中市日鋼町１番地１,三菱ＵＦＪ信託銀行株式会社,三菱ＵＦＪ信託銀行 証券代行部,ヒューリック府中タワー,A評価
0294-03,大田区平和島二丁目１番１号,ＮＸトランスポート株式会社 京浜支店,日本自動車ターミナル株式会社 京浜トラックターミナル,京浜トラックターミナル,AA評価
0296-02,港区港南二丁目１８番１号,ダイキン工業株式会社,東京支社,ＪＲ品川イーストビル,S評価
0296-03,港区港南二丁目１８番１号,株式会社ゼンショーホールディングス,株式会社ゼンショーホールディングス,ＪＲ品川イーストビル,A評価
0296-04,港区港南二丁目１８番１号,株式会社日立製作所,株式会社日立製作所 デジタルシステム&サービス統括本部,ＪＲ品川イーストビル,A評価
0299-01,港区港南二丁目１７番１号,株式会社電通国際情報サービス,本社,京王品川ビル,AAA評価
0304-01,世田谷区太子堂四丁目１番１号,株式会社東急ストア,三軒茶屋東急ストア,キャロットタワー,AAA評価
0321-01,品川区大崎一丁目６番１号～６号,ＨＲＴニューオータニ株式会社,ニューオータニイン東京,大崎ニュー・シティ,AAA評価
0325-01,新宿区戸塚町一丁目１０４番地１９,株式会社リーガロイヤルホテル東京,株式会社リーガロイヤルホテル東京,１００周年記念信託事業館,AA評価
0343-01,新宿区西新宿六丁目５番１号,株式会社 日本設計,株式会社 日本設計,新宿アイランドタワー,AAA評価
0343-02,新宿区西新宿六丁目５番１号,日本マクドナルド株式会社,日本マクドナルド㈱ 本社,新宿アイランドタワー,AAA評価
0343-03,新宿区西新宿六丁目５番１号,ブリストル・マイヤーズ スクイブ株式会社,東京本社,新宿アイランドタワー,AA評価
0343-04,新宿区西新宿六丁目５番１号,独立行政法人都市再生機構 東日本都市再生本部,独立行政法人都市再生機構 東日本都市再生本部,新宿アイランドタワー,A評価
0345-01,品川区勝島二丁目１番２号,特別区競馬組合,大井競馬場,大井競馬場,A評価
0345-02,品川区勝島二丁目１番２号,株式会社東京プロパティサービス,大井競馬場,大井競馬場,AA評価
