一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
93,墨田区東向島1-28,35.718975,139.813736,JGD2011,国道6号(水戸街道),c,2009-09-07,2009-09-11,3,4,3.0 ,2,70,68
94,墨田区墨田4-61,35.729778,139.826065,JGD2011,国道6号(水戸街道),c,2009-09-07,2009-09-11,3,4,4.0 ,1.2,72,71
95,墨田区東向島3-17,35.725143,139.814987,JGD2011,王子千住南砂線(明治通り),c,2009-09-14,2009-09-18,4,4,4.0 ,1.2,71,70
96,墨田区東向島6-6,35.721504,139.819626,JGD2011,王子千住南砂線(明治通り),c,2009-09-14,2009-09-18,4,4,4.0 ,2,69,67
97,墨田区江東橋1-7,35.694637,139.810318,JGD2011,国道14号(京葉道路),c,2009-09-28,2009-10-02,3,4,5.0 ,1.2,71,68
98,墨田区緑2-13,35.694546,139.800995,JGD2011,国道14号(京葉道路),c,2009-09-28,2009-10-02,3,4,5.0 ,1.2,73,71
99,墨田区横網2-3,35.699745,139.796921,JGD2011,横網町公園 御徒町小岩線(蔵前橋通り),b,2009-10-19,2009-10-23,4,4,3.0 ,1.2,70,66
100,墨田区太平1-1,35.700741,139.808640,JGD2011,法恩寺橋児童遊園 御徒町小岩線(蔵前橋通り),c,2009-10-19,2009-10-23,4,4,3.0 ,1.2,70,67
101,墨田区菊川3-16,35.688679,139.806351,JGD2011,環状3号線(三ツ目通り),c,2009-10-26,2009-10-30,4,4,3.0 ,1.2,69,69
102,墨田区石原1-1,35.698833,139.797623,JGD2011,上野月島線,C,2009-12-08,2009-12-09,4,4,4.9 ,1.2,66,63
103,墨田区石原4-26,35.700996,139.806839,JGD2011,御徒町小岩線,C,2009-12-08,2009-12-09,4,4,3.7 ,1.2,70,68
104,墨田区業平3-4,35.706112,139.813980,JGD2011,深川吾嬬線,C,2009-12-08,2009-12-09,4,4,4.8 ,1.2,69,66
105,墨田区向島2-13,35.715195,139.808823,JGD2011,吾妻橋伊興町線,B,2009-12-08,2009-12-09,4,6,5.5 ,1.2,65,62
106,墨田区堤通1-18,35.726112,139.812149,JGD2011,吾妻橋伊興町線,C,2009-12-08,2009-12-09,4,4,2.0 ,1.2,69,65
107,墨田区業平5-9,35.707909,139.817413,JGD2011,本郷亀戸線,C,2009-12-08,2009-12-09,4,4,2.2 ,1.2,70,65
108,墨田区業平1-12,35.708679,139.809845,JGD2011,本郷亀戸線,C,2009-12-08,2009-12-09,4,6,5.4 ,1.2,65,62
109,墨田区緑3-10,35.694279,139.805237,JGD2011,環状三号線,C,2009-12-08,2009-12-09,4,4,2.7 ,1.2,72,70
