一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
521,福生市熊川1631,35.723953,139.348816,JGD2011,都道杉並あきる野線（五日市街道）,c,2011-11-28,2011-11-29,4,2,3,1.5,63,61
522,狛江市東和泉2-4,35.630894,139.581070,JGD2011,都道世田谷町田線,C,2011-11-24,2011-11-25,4,2,4.0,1.2,71,69
523,狛江市和泉本町4-1,35.640842,139.570389,JGD2011,都道大田調布線,C,2011-11-23,2011-11-24,4,2,4.3,1.2,67,64
524,狛江市東和泉２－９－11,35.630661,139.580231,JGD2011,都道世田谷町田線(世田谷通り),c,2012-02-21,2012-02-22,4,2,2.5,1.2,68,66
525,狛江市和泉本町１－１－５,35.634491,139.577927,JGD2011,都道大田調布線(狛江通り),c,2012-02-21,2012-02-22,4,2,4.3,1.2,65,61
526,東大和市奈良橋5-816,35.747772,139.429367,JGD2011,都道新宿青梅線,B,2011-11-01,2011-11-02,4,4,2.5,1.2,77,74
527,東大和市中央2-870,35.746445,139.429016,JGD2011,都道新宿青梅線（新青梅街道）,b,2011-12-05,2011-12-06,4,4,2,1.5,77,73
528,東大和市中央2-1101-27,35.743168,139.430258,JGD2011,都道新宿青梅線（青梅街道）,b,2011-11-29,2011-11-30,4,2,1,1.2,69,64
529,東大和市蔵敷1-448-1,35.754211,139.421036,JGD2011,都道新宿青梅線（青梅街道）,a,2011-11-28,2011-11-29,4,2,0.5,1.2,67,61
530,東大和市立野4-476-2,35.740518,139.416662,JGD2011,都道立川東大和線（芋窪街道）,c,2011-12-06,2011-12-07,4,2,3.4,1.2,71,68
531,清瀬市中清戸1-526,35.778427,139.526855,JGD2011,都道さいたま東村山線,A,2011-11-01,2011-11-02,4,2,2.7,1.2,68,66
532,清瀬市中清戸2-684,35.779991,139.526306,JGD2011,都道40号さいたま東村山線（志木街道）,a,2011-10-17,2011-10-18,4,2,2,1.2,68,66
533,清瀬市元町2-27-12,35.777699,139.517212,JGD2011,都道24号練馬所沢線（小金井街道）,c,2011-10-17,2011-10-18,4,2,2,1.2,65,63
534,清瀬市竹丘1-17-9,35.770454,139.507187,JGD2011,都道226号東村山清瀬線,a,2011-10-17,2011-10-18,4,2,2,1.2,64,57
535,東久留米市南町1-1,35.740250,139.531067,JGD2011,都道東京所沢線,A,2011-11-01,2011-11-02,4,2,4.7,1.2,64,62
536,東久留米市八幡町3-16,35.752041,139.513824,JGD2011,都道府中清瀬線,A,2011-11-01,2011-11-02,4,2,2.6,1.2,70,67
537,東久留米市滝山3-11,35.740479,139.505096,JGD2011,都道新宿青梅線（新青梅街道）,b,2012-02-22,2012-02-23,4,4,3.8,1.2,69,68
538,東久留米市野火止1-1,35.761608,139.515976,JGD2011,都道府中清瀬線（小金井街道）,c,2012-02-22,2012-02-23,4,2,3.2,1.2,69,68
539,東久留米市南沢5-18,35.744312,139.524948,JGD2011,都道東京所沢線（所沢街道）,a,2012-02-22,2012-02-23,4,2,2.5,1.2,68,68
540,東久留米市滝山6-1,35.746067,139.504303,JGD2011,都道東久留米線（新小金井街道）,a,2012-02-22,2012-02-23,4,2,3.5,1.2,67,68
541,武蔵村山市三ツ木3－23－11,35.760361,139.371445,JGD2011,都道新宿青梅線（青梅街道）,b,2011-11-07,2011-11-08,4,2,2.5,1.2,71,68
542,武蔵村山市中藤4-18-1,35.757717,139.403427,JGD2011,都道新宿青梅線（青梅街道）,b,2011-11-07,2011-11-08,4,2,2,1.2,65,60
543,武蔵村山市三ツ藤3－7－8,35.756331,139.371374,JGD2011,都道新宿青梅線（新青梅街道）,b,2011-11-01,2011-11-02,4,4,2.8,1.2,74,70
