月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.05,-0.02,-0.01,-0.08,-0.08,20.95,20.96,20.81,20.90,20.74,-0.07
2,-0.07,-0.07,-0.04,-0.18,-0.26,20.72,20.69,20.64,20.68,20.67,-0.07
3,-0.01,0.05,-0.04,0.00,-0.26,21.42,21.52,20.72,21.20,20.56,-0.11
4,-0.04,-0.04,0.00,-0.08,-0.34,20.57,21.65,21.39,21.20,20.72,0.16
5,-0.06,-0.15,-0.28,-0.49,-0.83,20.49,20.16,19.97,20.20,19.90,-0.82
6,-0.59,0.21,0.02,-0.36,-1.19,19.79,19.69,19.99,19.82,20.33,0.43
7,-0.22,-0.17,-0.22,-0.61,-1.80,19.79,19.48,19.35,19.53,19.31,-1.02
8,-1.10,-0.23,1.62,0.29,-1.51,19.33,19.29,19.45,19.36,19.53,0.22
9,0.30,0.22,0.58,1.10,-0.41,19.52,19.61,19.81,19.64,19.87,0.34
10,0.20,0.20,0.04,0.44,0.03,20.18,21.02,21.45,20.90,21.47,1.60
11,-0.10,0.16,1.08,1.14,1.17,21.52,21.76,22.65,21.88,22.97,1.50
12,0.12,0.04,0.03,0.19,1.36,22.77,22.65,22.76,22.73,22.86,-0.11
1か年累計変動量(mm/年),,,,1.36,,,,,,,
昭和55年4月観測開始以来累計変動量(mm),,,,18.84,,,,,,,
1か年平均地下水位(m),,,,,,,,,20.67,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,2.05
