選挙の種類,執行日(和暦),執行日(西暦),10歳代(男),10歳代(女),20歳代(男),20歳代(女),30歳代(男),30歳代(女),40歳代(男),40歳代(女),50歳代(男),50歳代(女),60歳代(男),60歳代(女),70歳以上(男),70歳以上(女)
東京都議会議員選挙,平25.6.23,20130623,-,-,20.52,18.86,30.27,32.77,42.41,39.17,48.95,47.18,56.94,55.98,44.38,41.3
参議院議員選挙,平25.7.21,20130721,-,-,36.09,32.43,46.95,49.08,54.73,52.6,63.31,60.36,74.04,70.96,57.61,53.85
東京都知事選挙,平26.2.9,20140209,-,-,20.34,27.48,32.97,31.25,42.25,44.49,49.63,70.44,57.25,52.09,64.67,56.57
衆議院議員選挙,平26.12.14,20141214,-,-,36.01,35.81,47.26,47.48,54.31,54.79,62.54,63.92,70.73,71.12,74.05,61.53
狛江市議会議員選挙,平27.4.26,20150426,-,-,26.65,27.54,36.19,39.2,45.16,50.59,53.01,56.99,61.37,64.69,69.24,60.03
狛江市長選挙,平28.6.19,20160619,-,-,23.15,24.63,36.27,38.5,43.26,47.41,49.68,53.13,58.53,61.14,64.34,54.79
参議院議員選挙,平28.7.10,20160710,61.34,58.31,37.06,37.01,49.01,51.96,56.4,58.29,64.01,66.75,73.2,72.73,73.12,61.31
東京都知事選挙,平28.7.31,20160731,52.28,51.17,35.67,40.77,52.6,57.89,59.5,65.79,67.55,73.44,75.98,78.89,75.81,65.8
東京都議会議員選挙,平29.7.2,20170702,46.68,43.77,28.57,29.05,41.26,43.25,50.74,52.76,61.18,63.07,71.87,72.73,73.85,63.76
衆議院議員選挙,平29.10.22,20171022,50.97,48.56,33.36,33.44,45.88,47.29,54.41,56.1,63.32,64.73,71.92,73.18,70.87,60.85
狛江市長選挙,平30.7.22,20180722,33.65,38.87,21.22,22.39,34.15,37.14,42.07,46.39,48.37,52.05,57.41,58.93,62.95,53.3
狛江市議会議員選挙,平31.4.21,20190421,41.49,39.44,25.05,25.95,37.24,40.36,46.11,50.15,52.26,55.46,61.62,62.62,63.93,58.02
参議院議員選挙,令1.7.21,20190721,46.29,47.1,34.44,36.33,45.62,47.92,53.41,53.74,61.13,60.9,70.16,68.45,70.67,60.59
東京都知事選挙,令2.7.5,20200705,60.21,61.33,40.98,47.66,51.41,59.67,58.87,63.6,62.36,67.74,67.12,70.13,65.9,57.41
東京都議会議員補欠選挙,令2.7.5,20200705,59.08,60.68,40.46,46.8,50.45,58.34,57.71,62.28,60.99,66.16,64.7,67.72,62.6,54.05
東京都議会議員選挙,令3.7.4,20210704,41.05,41.49,27.61,29.96,36.64,40.75,43.72,46.45,50.82,53.08,59.34,59.97,60.4,53.02
衆議院議員選挙,令3.10.31,20211031,53.49,54.15,40.37,43.33,51.5,56.79,60.2,62.16,66.2,68.09,73.99,73.83,72.16,62.51
狛江市長選挙,令4.6.26,20220626,36.79,33.6,21.92,23.83,32.54,37.32,40.66,43.86,45.77,48.31,53.34,56.22,55.1,49.72
狛江市議会議員補欠選挙,令4.6.26,20220626,-,-,-,-,-,-,-,-,-,-,-,-,-,-
参議院議員選挙,令4.7.10,20220710,50.29,48.58,39.21,42.88,49.12,55.79,57.93,60.02,62.61,64.32,70.29,70.54,66.71,57.44
