< 輸  出 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,再利用資材,産業機械,その他化学工業品,自動車部品,電気機械
,"1,086,418",100.0%,"227,340","149,505","142,719","135,007","62,279"
,98.2%,,110.0%,85.8%,94.7%,98.4%,97.3%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,自動車部品,産業機械,電気機械,その他化学工業品,ゴム製品
,"168,019",15.5%,"64,016","31,074","11,221","8,843","5,948"
,77.3%,,90.4%,65.1%,69.3%,65.3%,72.4%
北米東岸(カリビア海含む),,,産業機械,取合せ品,自動車部品,紙・パ　ル　プ,その他化学工業品
,"44,165",4.1%,"12,981","8,595","7,751","3,665","2,572"
,77.7%,,71.6%,3942.7%,81.2%,74.6%,42.3%
北欧・地中海,,,産業機械,その他化学工業品,ゴム製品,電気機械,自動車部品
,"100,603",9.3%,"24,193","15,583","10,964","8,234","7,526"
,106.5%,,96.0%,117.0%,83.1%,166.3%,95.6%
南米西岸,,,その他化学工業品,産業機械,製造食品,窯業品,衣服・身廻品・はきもの
,"2,055",0.2%,"1,058",264,121,116,96
,107.2%,,364.8%,86.0%,21.6%,-,-
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,その他化学工業品,産業機械,水産品,自動車部品,製造食品
,"14,426",1.3%,"4,239","2,488","1,140",940,758
,443.7%,,529.2%,1184.8%,-,184.0%,282.8%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,再利用資材,その他化学工業品,産業機械,自動車部品,電気機械
,"492,004",45.3%,"85,564","74,063","58,914","47,622","28,181"
,133.7%,,134.1%,132.7%,148.8%,121.5%,167.7%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,再利用資材,その他化学工業品,産業機械,電気機械,その他製造工業品
,"46,474",4.3%,"13,895","6,404","4,480","3,658","2,632"
,101.1%,,95.1%,93.9%,119.3%,82.8%,229.1%
中国(香港含む),,,再利用資材,その他化学工業品,産業機械,電気機械,自動車部品
,"218,672",20.1%,"121,773","29,957","15,111","9,435","6,613"
,88.6%,,98.3%,85.9%,58.6%,96.2%,130.4%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
