 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"7,912,306","21,787,851","1,092,793","2,939,620","1,055,130","2,814,846","3,103,448","8,702,123","3,003,894","8,416,884","1,413,344","3,751,248","2,302,721","6,394,860"
農水産品,,"475,187","1,352,657","23,507","53,493","23,480","53,448","418,844","1,206,647","357,651","1,030,580","12,379","40,358","20,457","52,159"
1,麦,"24,775","69,367",-,-,-,-,"15,134","49,401","2,009","6,488",710,"2,501","8,931","17,465"
2,米,"6,235","17,802",295,697,295,697,"1,780","5,005","1,780","5,005","2,770","8,565","1,390","3,535"
3,とうもろこし,855,"3,185",-,-,-,-,855,"2,957",855,"2,957",-,228,-,-
4,豆類,"15,709","39,971",128,152,128,152,"14,316","36,449","14,316","36,449",910,"2,555",355,815
5,その他雑穀,750,"2,410",-,-,-,-,405,"1,890",405,"1,890",325,430,20,90
6,野菜・果物,"166,671","467,206","1,821","9,999","1,794","9,954","156,000","427,686","107,932","294,532","4,675","15,159","4,175","14,362"
7,綿花,-,159,-,-,-,-,-,129,-,129,-,-,-,30
8,その他農産品,"23,814","63,556",947,"2,645",947,"2,645","22,427","59,653","22,427","59,653",180,718,260,540
9,羊毛,15,159,-,-,-,-,15,143,15,143,-,16,-,-
10,その他畜産品,"145,552","402,950","3,303","9,319","3,303","9,319","138,440","383,247","138,440","383,247","1,451","5,030","2,358","5,354"
11,水産品,"90,811","285,892","17,013","30,681","17,013","30,681","69,472","240,087","69,472","240,087","1,358","5,156","2,968","9,968"
林産品,,"106,058","283,899","2,029","4,650","2,029","4,650","91,392","253,779","85,483","227,447","8,123","16,674","4,514","8,796"
12,原木,839,"1,731",636,933,636,933,203,776,203,776,-,22,-,-
13,製材,"91,413","244,349","1,328","3,598","1,328","3,598","79,007","220,056","73,098","193,724","7,253","13,982","3,825","6,713"
14,樹脂類,"7,701","22,558",41,63,41,63,"6,600","18,790","6,600","18,790",635,"2,275",425,"1,430"
15,木材チップ,589,"2,042",15,45,15,45,495,"1,823",495,"1,823",10,10,69,164
16,その他林産品,530,"1,194",-,-,-,-,180,450,180,450,200,310,150,434
17,薪炭,"4,986","12,025",9,11,9,11,"4,907","11,884","4,907","11,884",25,75,45,55
鉱産品,,"558,952","1,521,471","2,067","4,759","2,067","4,759","52,528","121,578","31,246","78,296","13,550","27,202","490,807","1,367,932"
18,石炭,"27,368","58,300",-,37,-,37,"27,368","58,243","6,086","14,961",-,-,-,20
19,鉄鉱石,25,34,-,-,-,-,25,34,25,34,-,-,-,-
20,金属鉱,500,"1,218",-,3,-,3,465,"1,050",465,"1,050",35,165,-,-
21,砂利・砂,"385,258","1,050,143",41,129,41,129,"2,085","6,154","2,085","6,154","7,854","12,013","375,278","1,031,847"
22,石材,"96,113","269,177",463,905,463,905,"9,591","22,302","9,591","22,302",260,638,"85,799","245,332"
23,原油,120,525,-,-,-,-,120,525,120,525,-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"20,805","61,709",-,-,-,-,150,697,150,697,65,160,"20,590","60,852"
26,原塩,"1,133","3,563",5,8,5,8,748,"2,515",748,"2,515",20,20,360,"1,020"
27,非金属鉱物,"27,630","76,802","1,558","3,677","1,558","3,677","11,976","30,058","11,976","30,058","5,316","14,206","8,780","28,861"
金属機械工業品,,"2,711,542","7,385,512","447,622","1,232,677","445,888","1,225,641","749,760","2,117,309","743,855","2,085,460","798,812","2,130,642","715,348","1,904,884"
28,鉄鋼,"6,031","22,691","2,365","9,886","2,365","6,807","2,086","8,520","2,086","6,221",140,555,"1,440","3,730"
29,鋼材,"141,530","386,099","23,460","60,407","23,447","60,393","14,985","40,612","10,654","29,175","1,314","3,944","101,771","281,136"
30,非鉄金属,"25,151","74,843","8,830","23,728","8,830","23,723","13,551","41,181","13,539","38,133",360,"2,159","2,410","7,775"
