 4-(4)コンテナ取扱個数係留施設別表,,,,,,,,,,,,,,(単位：ＴＥＵ）
係留施設,合計,,外貿,,,,,,内貿,,,,,
,,,計,,輸出,,輸入,,計,,移出,,移入,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"309,820","118,693","287,479","94,804","79,907","94,146","207,572",658,"22,341","23,889","11,233","22,585","11,108","1,304"
,101.3%,105.6%,102.9%,111.5%,92.8%,112.9%,107.4%,40.3%,84.2%,87.4%,74.7%,88.6%,96.7%,71.5%
,"858,468","342,065","796,321","288,317","214,194","286,362","582,127","1,955","62,147","53,748","30,508","49,306","31,639","4,442"
,95.4%,102.2%,96.6%,107.2%,92.2%,107.8%,98.4%,60.3%,82.3%,81.7%,71.3%,82.0%,96.7%,79.3%
品川岸壁,"24,837","14,781","24,837","11,945","5,623","11,834","19,214",111,-,"2,836",-,"2,836",-,-
,102.1%,108.3%,102.1%,104.2%,87.5%,104.9%,107.3%,62.0%,-,129.3%,-,138.1%,-,-
,"71,317","45,762","70,993","38,496","15,071","38,169","55,922",327,324,"7,266",-,"7,110",324,156
,98.3%,111.3%,97.9%,111.1%,90.5%,112.0%,100.1%,56.2%,-,112.5%,-,112.5%,-,111.4%
10号西岸壁,"4,108",605,-,-,-,-,-,-,"4,108",605,"2,471",39,"1,637",566
,89.7%,465.4%,-,-,-,-,-,-,89.7%,465.4%,88.7%,-,91.2%,435.4%
,"10,995","1,711",-,-,-,-,-,-,"10,995","1,711","6,753",39,"4,242","1,672"
,96.0%,176.8%,-,-,-,-,-,-,96.0%,176.8%,94.5%,-,98.6%,172.7%
青海コンテナふ頭（公共）,"57,307","30,097","55,267","23,201","11,656","23,018","43,611",183,"2,040","6,896","1,273","6,895",767,1
,111.5%,116.4%,110.7%,104.8%,103.0%,104.8%,113.0%,115.1%,136.6%,184.7%,125.4%,198.4%,160.5%,0.4%
,"148,654","81,729","143,075","65,796","27,884","65,098","115,191",698,"5,579","15,933","3,352","15,870","2,227",63
,99.2%,103.5%,98.6%,95.9%,97.9%,95.8%,98.7%,111.3%,117.5%,153.8%,97.6%,158.6%,169.5%,17.9%
青海コンテナふ頭(埠頭㈱),"41,963","22,151","40,906","20,392","9,948","20,354","30,958",38,"1,057","1,759",909,"1,759",148,-
,101.2%,102.4%,99.3%,120.6%,103.5%,122.5%,98.0%,13.0%,451.7%,37.2%,388.5%,37.9%,-,-
,"113,526","56,870","111,743","53,831","25,521","53,761","86,222",70,"1,783","3,039","1,309","3,039",474,-
,92.5%,92.8%,91.7%,104.5%,88.7%,105.5%,92.7%,12.4%,191.5%,31.1%,160.6%,31.6%,408.6%,-
お台場ライナーふ頭,149,-,149,-,-,-,149,-,-,-,-,-,-,-
,60.8%,-,60.8%,-,-,-,60.8%,-,-,-,-,-,-,-
,323,140,323,140,-,-,323,140,-,-,-,-,-,-
,92.3%,341.5%,92.3%,341.5%,-,-,92.3%,341.5%,-,-,-,-,-,-
大井コンテナふ頭,"161,023","43,078","153,522","33,494","49,752","33,169","103,770",325,"7,501","9,584","2,038","9,552","5,463",32
,96.0%,97.8%,98.7%,115.1%,87.6%,117.8%,105.0%,34.6%,62.2%,64.2%,32.5%,66.7%,94.4%,5.2%
,"453,484","129,389","431,391","108,261","137,767","107,542","293,624",719,"22,093","21,128","6,866","20,992","15,227",136
,92.1%,99.2%,94.6%,113.9%,90.0%,114.8%,97.0%,52.5%,60.2%,59.8%,36.2%,63.5%,86.0%,5.9%
その他,"20,433","7,981","12,798","5,772","2,928","5,771","9,870",1,"7,635","2,209","4,542","1,504","3,093",705
,125.9%,113.7%,158.5%,106.5%,151.1%,106.9%,160.8%,4.3%,93.6%,138.1%,96.1%,149.2%,90.1%,119.3%
,"60,169","26,464","38,796","21,793","7,951","21,792","30,845",1,"21,373","4,671","12,228","2,256","9,145","2,415"
,120.1%,121.1%,136.5%,114.6%,149.0%,114.9%,133.6%,1.7%,98.6%,164.6%,98.8%,191.8%,98.5%,145.3%
,,,,,,,,,,,,,,
(注) 上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,,
z石 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,010","16,083,222","7,921","59,871,370",749,"13,433,139","2,811","51,133,730"
外航計,454,"12,224,020","1,741","44,634,584",423,"11,293,841","1,647","42,849,271"
外航定期計,423,"11,293,841","1,647","42,849,271",423,"11,293,841","1,647","42,849,271"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),43,"2,961,636",174,"11,478,060",43,"2,961,636",174,"11,478,060"
北米東岸(カリビア海含む),7,"548,212",31,"2,453,953",7,"548,212",31,"2,453,953"
北欧・地中海,10,"983,356",24,"2,353,518",10,"983,356",24,"2,353,518"
南米西岸,4,"564,359",16,"2,170,175",4,"564,359",16,"2,170,175"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,4,"188,977",17,"784,466",4,"188,977",17,"784,466"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,154,"3,827,859",590,"14,892,271",154,"3,827,859",590,"14,892,271"
台湾,-,-,-,-,-,-,-,-
韓国,46,"403,360",183,"1,593,918",46,"403,360",183,"1,593,918"
中国(香港含む),155,"1,816,082",612,"7,122,910",155,"1,816,082",612,"7,122,910"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,31,"930,179",94,"1,785,313",-,-,-,-
内航計,"1,556","3,859,202","6,180","15,236,786",326,"2,139,298","1,164","8,284,459"
内航定期計,572,"2,787,223","2,249","11,051,530",322,"2,137,055","1,147","8,260,701"
北海道,111,"1,106,035",384,"4,293,685",111,"1,106,035",384,"4,293,685"
東北,62,"55,186",240,"194,026",62,"55,186",235,"190,281"
関東,88,"26,704",391,"110,271",-,-,2,998
伊豆諸島,132,"244,384",594,"1,224,826",-,-,1,155
中部,48,"60,396",124,"157,588",48,"60,396",124,"157,588"
近畿,16,"40,431",68,"181,266",16,"40,431",68,"181,266"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,89,"981,084",351,"3,867,431",59,"602,004",236,"2,414,291"
沖縄,26,"273,003",97,"1,022,437",26,"273,003",97,"1,022,437"
内航不定期,984,"1,071,979","3,931","4,185,256",4,"2,243",17,"23,758"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,622","88,036","106,931","20,613","86,318","1,727",9,"1,718","453,029","229,918","223,111","268,817","126,030","142,787",36,自動車部品,,,,,,
37,その他輸送機械,"385,366","43,921","341,445","13,573",676,"12,897","13,572",675,"12,897",1,1,-,"211,024","10,654","200,370","114,011","9,071","104,940",37,その他輸送機械,,,,,,
38,産業機械,"3,499,198","1,943,735","1,555,463","250,302","91,557","158,745","246,609","89,646","156,963","3,693","1,911","1,782","872,602","373,850","498,752","521,793","208,548","313,245",38,産業機械,,,,,,
39,電気機械,"3,952,421","742,676","3,209,745","418,033","71,967","346,066","411,270","71,047","340,223","6,763",920,"5,843","1,577,086","126,981","1,450,105","1,078,974","68,457","1,010,517",39,電気機械,,,,,,
40,測量・光学・医療機械,"573,296","220,321","352,975","47,469","8,572","38,897","46,712","8,280","38,432",757,292,465,"165,503","34,438","131,065","94,773","14,332","80,441",40,測量・光学・医療機械,,,,,,
41,事務用機器,"181,958","34,661","147,297","15,440",676,"14,764","15,434",670,"14,764",6,6,-,"60,280","6,546","53,734","32,475","2,701","29,774",41,事務用機器,,,,,,
42,その他機械,"37,783","11,332","26,451","1,991",934,"1,057","1,954",934,"1,020",37,-,37,"11,544","2,528","9,016","7,807","1,285","6,522",42,その他機械,,,,,,
化学工業品,,"6,045,535","2,414,249","3,631,286","785,350","232,636","552,714","773,620","231,960","541,660","11,730",676,"11,054","1,785,006","689,109","1,095,897","970,895","363,045","607,850",化学工業品,,,,,,,
43,陶磁器,"148,992","11,303","137,689","4,560",134,"4,426","4,350",134,"4,216",210,-,210,"45,540","3,279","42,261","28,687","1,989","26,698",43,陶磁器,,,,,,
44,セメント,"16,676","3,356","13,320",533,203,330,533,203,330,-,-,-,"1,655",710,945,617,107,510,44,セメント,,,,,,
45,ガラス類,"291,353","89,267","202,086","43,853","8,286","35,567","43,233","8,266","34,967",620,20,600,"99,550","34,313","65,237","56,600","8,499","48,101",45,ガラス類,,,,,,
46,窯業品,"371,388","146,981","224,407","34,481","9,703","24,778","34,361","9,703","24,658",120,-,120,"124,611","37,919","86,692","66,104","22,614","43,490",46,窯業品,,,,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油,,,,,,
48,揮発油,243,-,243,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,48,揮発油,,,,,,
49,その他の石油,"42,507","22,130","20,377","3,248","1,680","1,568","3,248","1,680","1,568",-,-,-,"10,590","7,081","3,509","6,350","5,489",861,49,その他の石油,,,,,,
50,LNG/液化天然
