 1-(3)海上出入貨物の主要品種別表,,,,,,,,（単位：トン）
,,品目,当月,,,１月以降累計,,
,,,当年,対前年比,前年,当年,対前年比,前年
外貿貨物,輸出,合計,"1,106,244",98.7%,"1,121,348","7,287,000",95.1%,"7,661,144"
,,産業機械,"167,413",110.1%,"152,046","1,067,359",94.4%,"1,131,248"
,,再利用資材,"164,750",72.5%,"227,340","1,050,652",79.8%,"1,316,193"
,,その他化学工業品,"152,271",106.7%,"142,719","1,035,263",101.4%,"1,021,181"
,,自動車部品,"138,535",102.6%,"135,007","916,070",104.8%,"874,047"
,,電気機械,"55,365",88.8%,"62,365","401,300",94.4%,"425,006"
,,金属くず,"42,756",124.8%,"34,262","338,678",111.0%,"305,133"
,,ゴム製品,"41,086",138.4%,"29,677","222,425",106.3%,"209,172"
,,化学薬品,"27,474",127.6%,"21,534","170,944",103.1%,"165,779"
,輸入,合計,"3,258,592",107.3%,"3,037,888","20,868,319",100.0%,"20,874,730"
,,衣服・身廻品・はきもの,"419,956",115.7%,"362,868","2,520,373",101.5%,"2,483,415"
,,電気機械,"315,952",114.4%,"276,253","1,939,840",106.6%,"1,820,094"
,,製造食品,"224,426",105.8%,"212,133","1,454,423",100.9%,"1,440,794"
,,その他化学工業品,"211,086",101.9%,"207,247","1,357,755",100.9%,"1,345,741"
,,家具装備品,"178,700",109.1%,"163,803","1,199,746",101.5%,"1,181,650"
,,その他畜産品,"164,762",113.7%,"144,901","968,243",101.4%,"955,025"
,,野菜・果物,"151,934",109.0%,"139,333","1,074,194",92.0%,"1,168,149"
,,産業機械,"143,513",110.6%,"129,744","913,709",100.2%,"911,623"
内貿貨物,移出,合計,"1,402,449",106.9%,"1,311,671","8,898,246",95.1%,"9,353,727"
,,完成自動車,"709,656",107.7%,"659,016","4,680,258",99.9%,"4,683,435"
,,取合せ品,"312,907",120.2%,"260,413","1,840,058",104.5%,"1,761,256"
,,廃土砂,"108,215",73.5%,"147,161","659,305",63.6%,"1,036,496"
,,飲料,"27,537",89.5%,"30,781","160,064",87.4%,"183,104"
,,再利用資材,"26,626",150.8%,"17,656","150,449",74.8%,"201,152"
,,重油,"22,623",99.1%,"22,823","133,957",99.1%,"135,198"
,,その他日用品,"22,101",110.2%,"20,050","131,981",111.5%,"118,345"
,,製造食品,"19,615",106.5%,"18,424","113,670",94.8%,"119,865"
,移入,合計,"2,153,789",97.4%,"2,211,707","14,642,646",97.3%,"15,046,474"
,,完成自動車,"524,305",98.8%,"530,552","3,548,297",101.8%,"3,486,987"
,,その他の石油,"375,466",97.9%,"383,579","2,594,943",100.4%,"2,584,196"
,,砂利・砂,"338,254",96.9%,"348,921","2,313,943",90.1%,"2,569,268"
,,セメント,"215,690",87.0%,"247,850","1,482,336",93.7%,"1,581,459"
,,取合せ品,"203,297",100.3%,"202,640","1,348,629",100.0%,"1,347,996"
,,紙・パ　ル　プ,"106,277",98.8%,"107,586","800,756",95.6%,"837,511"
,,鋼材,"91,358",92.0%,"99,343","648,226",95.7%,"677,323"
,,石材,"71,730",74.0%,"96,922","536,837",85.5%,"627,547"
,（注）,その他化学工業品は、染料・塗料・合成樹脂・その他化学工業品の略,,,,,,
,,文房具・運動娯楽用品は、文房具・運動娯楽用品・楽器の略,,,,,,
,,木製品は、木製品（他に分類されないもの）の略,,,,,,
