 4-(1)入港コンテナ船及びコンテナ貨物係留施設別表,,,,,,,,,,,,,（単位：隻、総トン、トン）
係留施設,入港コンテナ船,,,,,,コ ン テ ナ 取 扱 貨 物 量,,,,,,
,合計,,外航,,内航,,合計,外貿,,,内貿,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,,計,輸出,輸入,計,移出,移入
合計,708,"12,806,612",417,"10,703,882",291,"2,102,730","4,234,206","3,993,999","1,024,900","2,969,099","240,207","134,284","105,923"
,95.4%,93.2%,94.3%,91.9%,97.0%,100.6%,94.1%,93.5%,98.6%,91.9%,104.2%,103.4%,105.2%
,"7,692","140,680,932","4,515","117,701,827","3,177","22,979,105","45,340,687","42,701,240","10,982,421","31,718,819","2,639,447","1,459,485","1,179,962"
,98.1%,99.7%,96.5%,98.7%,100.5%,104.9%,97.1%,97.1%,94.3%,98.2%,96.3%,89.5%,106.1%
品川岸壁,138,"1,583,565",75,"737,053",63,"846,512","337,631","335,606","59,330","276,276","2,025",-,"2,025"
,91.4%,97.2%,91.5%,90.9%,91.3%,103.5%,83.4%,82.9%,73.8%,85.1%,-,-,-
,"1,514","16,990,570",810,"8,149,149",704,"8,841,421","3,716,253","3,710,620","700,094","3,010,526","5,633",-,"5,633"
,95.8%,97.5%,94.3%,95.5%,97.5%,99.5%,91.6%,91.5%,77.2%,95.6%,"80,471.4%",-,-
10号西岸壁,66,"725,666",-,-,66,"725,666","41,200",-,-,-,"41,200","27,725","13,475"
,103.1%,105.9%,-,-,103.1%,105.9%,93.4%,-,-,-,93.4%,94.4%,91.4%
,743,"8,194,202",-,-,743,"8,194,202","433,585",-,-,-,"433,585","294,102","139,483"
,111.4%,116.0%,-,-,111.4%,116.0%,96.5%,-,-,-,96.5%,94.0%,101.9%
青海コンテナふ頭（公共）,114,"1,494,425",85,"1,464,415",29,"30,010","746,743","723,096","142,111","580,985","23,647","13,607","10,040"
,85.1%,85.6%,90.4%,85.4%,72.5%,100.3%,90.4%,88.5%,94.6%,87.1%,258.4%,481.7%,158.7%
,"1,174","16,358,280",922,"16,105,067",252,"253,213","8,088,297","7,899,790","1,457,775","6,442,015","188,507","115,735","72,772"
,88.2%,96.2%,95.5%,96.2%,68.9%,94.0%,94.3%,93.7%,91.9%,94.1%,130.2%,133.2%,125.7%
青海コンテナふ頭(埠頭㈱),73,"1,996,719",67,"1,992,727",6,"3,992","610,292","596,902","136,960","459,942","13,390","13,390",-
,109.0%,104.7%,104.7%,104.7%,200.0%,177.7%,102.9%,101.9%,113.6%,98.9%,180.0%,195.0%,-
,761,"21,191,959",703,"21,142,058",58,"49,901","6,271,687","6,112,544","1,371,937","4,740,607","159,143","137,126","22,017"
,99.0%,97.4%,97.1%,97.4%,128.9%,146.0%,95.7%,94.7%,99.0%,93.5%,163.5%,148.5%,442.1%
お台場ライナーふ頭,14,"107,544",1,"32,551",13,"74,993","1,470","1,470",-,"1,470",-,-,-
,107.7%,95.2%,50.0%,82.3%,118.2%,102.1%,67.1%,67.1%,-,74.8%,-,-,-
,161,"1,085,895",10,"325,510",151,"760,385","21,082","21,082","2,862","18,220",-,-,-
,86.1%,92.4%,76.9%,81.9%,86.8%,97.7%,108.7%,108.7%,"1,272.0%",95.0%,-,-,-
大井コンテナふ頭,251,"6,347,762",170,"6,258,850",81,"88,912","2,224,429","2,143,842","635,830","1,508,012","80,587","30,789","49,798"
,99.6%,90.5%,97.7%,90.8%,103.8%,69.8%,94.6%,94.6%,97.3%,93.5%,93.1%,79.1%,104.5%
,"2,705","70,133,424","1,800","68,935,526",905,"1,197,898","23,930,550","22,941,069","7,009,135","15,931,934","989,481","376,460","613,021"
,100.7%,99.8%,96.6%,99.7%,110.2%,105.2%,98.7%,99.3%,95.8%,101.0%,85.3%,63.6%,107.9%
その他,52,"550,931",19,"218,286",33,"332,645","272,441","193,083","50,669","142,414","79,358","48,773","30,585"
,85.2%,86.1%,73.1%,76.2%,94.3%,94.2%,98.0%,99.1%,143.8%,89.2%,95.3%,94.0%,97.4%
,634,"6,726,602",270,"3,044,517",364,"3,682,085","2,879,233","2,016,135","440,618","1,575,517","863,098","536,062","327,036"
,102.4%,103.9%,106.3%,111.1%,99.7%,98.6%,103.2%,106.2%,98.3%,108.6%,97.0%,98.1%,95.1%
,,,,,,,,,,,,,
上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,
