（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"999,813",101.0%,"1,780,467",101.2%,100.0%
1,アメリカ,"260,208",104.3%,"463,131",106.6%,26.0%
2,中国,"218,020",79.2%,"351,492",77.0%,19.7%
,(香港),"33,213",101.9%,"57,483",100.8%,3.2%
3,ベトナム,"82,968",177.3%,"160,189",209.1%,9.0%
4,タイ,"70,212",117.7%,"146,792",123.5%,8.2%
5,台湾,"54,044",122.5%,"92,900",113.3%,5.2%
6,オランダ,"38,873",95.2%,"71,031",90.7%,4.0%
7,インドネシア,"36,298",122.5%,"66,707",109.3%,3.7%
8,韓国,"33,343",98.8%,"63,852",89.9%,3.6%
9,マレーシア,"35,860",105.1%,"63,297",105.3%,3.6%
10,インド,"30,256",89.9%,"51,954",80.2%,2.9%
11,フィリピン,"19,373",134.9%,"36,556",115.3%,2.1%
12,ドイツ,"21,537",114.6%,"36,181",98.7%,2.0%
13,シンガポール,"17,126",92.6%,"30,972",97.1%,1.7%
14,イギリス,"10,930",92.3%,"19,394",88.0%,1.1%
15,カナダ,"10,319",48.9%,"17,919",62.1%,1.0%
16,ロシア,"3,974",55.0%,"12,324",92.5%,0.7%
17,アラブ首長国,"6,199",110.5%,"10,571",107.6%,0.6%
18,ブラジル,"5,975",116.0%,"10,295",110.0%,0.6%
19,オーストラリア,"5,527",152.9%,"9,770",142.6%,0.5%
20,フランス,"4,839",97.7%,"8,296",90.8%,0.5%
,その他,"33,932",108.9%,"56,844",100.9%,3.2%
,,,,,,
