（輸入）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"3,119,399",108.6%,"11,194,691",99.2%,100.0%
1,中国,"1,399,689",116.0%,"4,402,829",92.2%,39.3%
,(香港),"138,209",109.0%,"441,677",83.2%,3.9%
2,アメリカ,"397,569",105.2%,"1,429,429",107.0%,12.8%
3,タイ,"177,125",98.3%,"745,010",95.4%,6.7%
4,ベトナム,"175,824",104.8%,"730,578",105.6%,6.5%
5,台湾,"126,051",103.5%,"545,226",105.6%,4.9%
6,韓国,"127,644",114.3%,"465,034",107.4%,4.2%
7,カナダ,"110,375",97.0%,"423,084",107.3%,3.8%
8,シンガポール,"91,179",96.9%,"393,952",103.3%,3.5%
9,マレーシア,"59,968",82.3%,"350,935",107.0%,3.1%
10,インドネシア,"80,263",114.5%,"305,991",101.6%,2.7%
11,ドイツ,"53,739",101.4%,"194,372",105.3%,1.7%
12,オランダ,"57,627",130.2%,"192,448",122.6%,1.7%
13,フィリピン,"14,510",35.8%,"151,212",77.4%,1.4%
14,チリ,"23,750",115.5%,"110,996",94.3%,1.0%
15,ニュージーランド,"27,609",116.3%,"78,746",102.5%,0.7%
16,フランス,"27,214",89.6%,"78,499",75.1%,0.7%
17,イタリア,"19,316",130.7%,"72,711",141.2%,0.6%
18,イギリス,"20,541",122.2%,"57,712",108.5%,0.5%
19,メキシコ,"21,632",144.7%,"56,696",123.6%,0.5%
20,ブラジル,"12,146",131.3%,"51,966",143.1%,0.5%
,その他,"95,628",109.6%,"357,265",108.8%,3.2%
