 3-(1)海上出入貨物月別前年比較表,,,,,,,,,,(単位：トン）,,,,,,,,,,(単位：トン）
月,令和2年(2020年),,,,,,,,,,平成31年(2019年),,,,,,,,,
,合計,外貿,,,（外貿コンテナ）,,,内貿,,,合計,外貿,,,（外貿コンテナ）,,,内貿,,
,,計,輸出,輸入,計,輸出,輸入,計,移出,移入,,計,輸出,輸入,計,輸出,輸入,計,移出,移入
１月　,"6,650,178","3,940,159","830,529","3,109,630","3,811,366","780,654","3,030,712","2,710,019","1,085,612","1,624,407","6,993,483","3,853,638","805,196","3,048,442","3,719,222","770,131","2,949,091","3,139,845","1,122,618","2,017,227"
,95.1%,102.2%,103.1%,102.0%,102.5%,101.4%,102.8%,86.3%,96.7%,80.5%,,,,,,,,,,
２月　,"6,104,073","3,022,983","1,040,041","1,982,942","2,893,439","999,813","1,893,626","3,081,090","1,269,107","1,811,983","6,882,062","3,591,864","1,041,631","2,550,233","3,453,484","989,585","2,463,899","3,290,198","1,215,286","2,074,912"
,88.7%,84.2%,99.8%,77.8%,83.8%,101.0%,76.9%,93.6%,104.4%,87.3%,,,,,,,,,,
３月　,"7,782,185","4,541,152","1,299,536","3,241,616","4,373,358","1,222,404","3,150,954","3,241,033","1,325,295","1,915,738","7,912,306","4,196,241","1,092,793","3,103,448","4,059,024","1,055,130","3,003,894","3,716,065","1,413,344","2,302,721"
,98.4%,108.2%,118.9%,104.5%,107.7%,115.9%,104.9%,87.2%,93.8%,83.2%,,,,,,,,,,
４月　,"6,998,923","4,258,704","1,059,747","3,198,957","4,130,749","1,011,350","3,119,399","2,740,219","1,183,813","1,556,406","7,605,967","4,200,122","1,174,212","3,025,910","3,997,223","1,124,826","2,872,397","3,405,845","1,263,957","2,141,888"
,92.0%,101.4%,90.3%,105.7%,103.3%,89.9%,108.6%,80.5%,93.7%,72.7%,,,,,,,,,,
５月　,"5,975,336","3,701,929","752,039","2,949,890","3,499,217","723,809","2,775,408","2,273,407","949,717","1,323,690","6,869,001","3,814,020","904,827","2,909,193","3,669,077","868,294","2,800,783","3,054,981","1,159,989","1,894,992"
,87.0%,97.1%,83.1%,101.4%,95.4%,83.4%,99.1%,74.4%,81.9%,69.9%,,,,,,,,,,
６月　,-,-,-,-,-,-,-,-,-,-,"7,513,819","4,134,598","1,162,097","2,972,501","3,989,472","1,108,206","2,881,266","3,379,221","1,322,104","2,057,117"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
７月　,-,-,-,-,-,-,-,-,-,-,"7,921,074","4,364,836","1,106,244","3,258,592","4,239,659","1,066,185","3,173,474","3,556,238","1,402,449","2,153,789"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
８月　,-,-,-,-,-,-,-,-,-,-,"6,984,703","3,936,542","969,714","2,966,828","3,759,829","905,808","2,854,021","3,048,161","1,180,303","1,867,858"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
９月　,-,-,-,-,-,-,-,-,-,-,"7,247,832","4,150,213","1,097,249","3,052,964","4,000,361","1,084,229","2,916,132","3,097,619","1,227,506","1,870,113"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１０月　,-,-,-,-,-,-,-,-,-,-,"7,199,541","3,988,032","1,071,150","2,916,882","3,821,027","985,054","2,835,973","3,211,509","1,260,752","1,950,757"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１１月　,-,-,-,-,-,-,-,-,-,-,"7,418,059","4,162,290","1,075,481","3,086,809","3,993,999","1,024,900","2,969,099","3,255,769","1,259,624","1,996,145"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１２月　,-,-,-,-,-,-,-,-,-,-,"7,258,417","4,101,623","1,233,963","2,867,660","3,960,971","1,172,632","2,788,339","3,156,794","1,226,433","1,930,361"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
累計,"33,510,695","19,464,927","4,981,892","14,483,035","18,708,129","4,738,030","13,970,099","14,045,768","5,813,544","8,232,224","87,806,264","48,494,019","12,734,557","35,759,462","46,663,348","12,154,980","34,508,368","39,312,245","15,054,365","24,257,880"
,92.4%,99.0%,99.3%,98.9%,99.0%,98.5%,99.1%,84.6%,94.1%,78.9%,,,,,,,,,,
前年累計,"36,262,819","19,655,885","5,018,659","14,637,226","18,898,030","4,807,966","14,090,064","16,606,934","6,175,194","10,431,740",,,,,,,,,,
増(－)減,"-2,752,124","-190,958","-36,767","-154,191","-189,901","-69,936","-119,965","-2,561,166","-361,650","-2,199,516",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
