,,,,,,,,,,,,,,,,,,,(単位：トン）,,
国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,,
合計,"48,151,899","12,950,374","35,201,525",南海,"11,903",44,"11,859",シンガポール,"1,390,140","243,241","1,146,899",諸港（バングラディシュ）,623,488,135,メサイード,584,-,584,,
アジア,"34,745,791","8,425,178","26,320,613",南沙,"152,964","87,164","65,800",シンガポール,"1,389,774","242,875","1,146,899",スリランカ,"26,265","5,893","20,372",諸港(カタール),689,464,225,,
韓国,"1,910,551","507,477","1,403,074",容奇,"6,999","2,624","4,375",ジュロン,22,22,-,コロンボ,"26,257","5,885","20,372",キプロス,211,181,30,,
仁川,"154,749","71,556","83,193",順徳,"10,681","3,534","7,147",諸港(シンガポール),344,344,-,諸港(ｽﾘﾗﾝｶ),8,8,-,フアマグスタ,67,67,-,,
群山,"15,334","12,179","3,155",太平,"3,503","3,503",-,インドネシア,"1,195,966","349,229","846,737",イラン,"7,038","5,467","1,571",リマソル,113,83,30,,
木浦,56,56,-,銅陵,2,2,-,ビンタン,22,22,-,ホラムシャハル,28,28,-,諸港（キプロス）,31,31,-,,
釜山,"1,486,194","305,709","1,180,485",新会,"5,239","1,706","3,533",ウジュンパンダン,30,-,30,バンダルホメイユ,165,165,-,モルディヴ,354,354,-,,
浦項,931,92,839,揚州,"3,098","2,062","1,036",サマリンダ,463,-,463,ブーシェフル（ブシール、ブシャール）,"1,227","1,227",-,マレ,354,354,-,,
光陽,"184,569","91,709","92,860",肇慶,"3,441","1,601","1,840",バリクパパン,75,-,75,キッシュアイランド,25,25,-,バーレーン,"3,958","1,759","2,199",,
蔚山,"35,063","1,897","33,166",?州,12,12,-,バンジャルマシン,811,30,781,諸港(イラン),"5,593","4,022","1,571",バーレーン,"2,328","1,109","1,219",,
馬山,"9,106",-,"9,106",杭州,"5,020","5,020",-,ポンチアナ,"5,777",-,"5,777",イラク,762,762,-,諸港（バーレーン）,"1,630",650,980,,
平沢,"1,850","1,850",-,新港、天津,"966,147","156,946","809,201",スラバヤ,"196,211","23,493","172,718",ウム　カザル,755,755,-,マカオ,"2,904","2,904",-,,
諸港(韓国),"22,699","22,429",270,乍浦,"181,052","166,877","14,175",セマラン,"59,358","8,722","50,636",諸港(イラク),7,7,-,マカオ（澳門）,"2,904","2,904",-,,
中国,"19,364,505","3,931,333","15,433,172",嘉興,"8,708","8,708",-,ジャカルタ,"713,645","223,576","490,069",イエメン,477,477,-,ブルネイ,957,897,60,,
香港,"2,493,308","588,101","1,905,207",石島,"8,284",352,"7,932",ベラワン,"30,248",662,"29,586",アデン,420,420,-,ムアラ,322,262,60,,
大連,"893,882","144,715","749,167",水東,30,15,15,ジャンビ,"8,070",15,"8,055",ホディタ,54,54,-,諸港(ブルネイ),635,635,-,,
秦皇島,"14,866","2,170","12,696",大?湾,19,19,-,パレンバン,"18,382","8,098","10,284",諸港(ｲｴﾒﾝ),3,3,-,ヨーロッパ,"3,575,624","1,204,891","2,370,733",,
天津,"23,701","3,712","19,989",常熟,165,-,165,パンジャン,"7,801",43,"7,758",サウジアラビア,"38,681","27,296","11,385",アイスランド,595,595,-,,
青島,"1,955,414","186,331","1,769,083",馬尾,404,404,-,バタン,"6,045",601,"5,444",ジエッダ,"16,642","14,419","2,223",レイキャビーク,565,565,-,,
連雲港,"216,245","13,660","202,585",無錫,"6,103","6,103",-,メダン,2,2,-,ジュバイル,"2,553",303,"2,250",諸港(アイスランド),30,30,-,,
上海,"5,582,319","1,217,393","4,364,926",三山,"28,329","1,725","26,604",プロポリンゴ,30,30,-,諸港（サウジアラビア）,"19,486","12,574","6,912",ノルウェー,"20,697",973,"19,724",,
仙頭,"30,758","3,008","27,750",三水,"13,290","1,983","11,307",タンジュンプリオク,"139,011","75,290","63,721",クウェート,"7,228","7,228",-,ベルゲン,929,33,896,,
黄埔,"213,082","143,550","69,532",諸港(中国),"490,868","215,875","274,993",諸港（インドネシア）,"9,985","8,645","1,340",クウェート,357,357,-,クルスチャンサン,245,45,200,,
湛江,"5,856",66,"5,790",台湾,"1,866,168","705,717","1,160,451",フィリピン,"1,016,378","225,844","790,534",シャイバ,"1,926","1,926",-,オスロ,"1,315",468,847,,
南通,"39,020","16,403","22,617",高雄,"654,680","192,568","462,112",スービックベイ,"13,327",534,"12,793",シュワイカ,"4,675","4,675",-,ドラムメン,2,2,-,,
張家港,"102,090","31,870","70,220",基隆,"440,274","257,804","182,470",マニラ,"641,110","133,831","507,279",諸港(ｸｳｪｰﾄ),270,270,-,フレドリクスタ,531,141,390,,
福州,"105,620","4,210","101,410",台中,"361,225","154,191","207,034",セブ,"29,125","11,240","17,885",アラブ首長国,"76,385","71,607","4,778",ブレビク,630,15,615,,
寧波－舟山,"984,150","387,441","596,709",台東,6,6,-,ダバオ,"11,885","1,258","10,627",シャルジャー,"7,667","7,607",60,スタバンゲル,182,150,32,,
温州,"3,008",437,"2,571",台北（淡水新港）,"2,318","2,318",-,カガヤン,"23,796",240,"23,556",ドバイ,"4,506","3,519",987,ハウゲスン,"1,168",30,"1,138",,
煙台,"438,700","26,411","412,289",諸港(台湾),"407,665","98,830","308,835",バタンガス,"2,430","2,342",88,アブダビ,604,179,425,オーレスン,"4,853",-,"4,853",,
海門,560,560,-,ベトナム,"2,524,005","619,403","1,904,602",ジェネラルサントス,"9,569","1,741","7,828",ハウルファカン,431,431,-,フローラ,990,-,990,,
厦門,"778,670","74,287","704,383",ハイフォン,"878,333","278,384","599,949",カビテ,260,260,-,ジェベルアリ,"63,028","59,767","3,261",ヘレト,"1,680",-,"1,680",,
北海,"1,415","1,261",154,ダナン,"51,497","10,716","40,781",マニラサウスハーバー,"236,922","49,675","187,247",アジマン,104,104,-,イコルネ,210,-,210,,
広州,"3,489","3,460",29,ホーチミン及びカトライ,"744,883","131,817","613,066",諸港（フィリピン）,"47,954","24,723","23,231",諸港（アラブ首長国）,45,-,45,モーレイ,"3,856",-,"3,856",,
海口,"1,593",33,"1,560",クイニヨン,"2,176",-,"2,176",カンボジア,"41,394","8,054","33,340",オマーン,"1,642","1,057",585,諸港(ﾉﾙｳｪｰ),"4,106",89,"4,017",,
江門,"14,146","3,930","10,216",ヴンタウ,"95,382","1,921","93,461",プノンペン,"20,237",781,"19,456",マスカット,1,1,-,スウェーデン,"68,287","6,789","61,498",,
南京,"124,767","21,848","102,919",カイラン,240,-,240,コンポンソム,"3,458",268,"3,190",サララー,60,-,60,イェブレ,"17,948",-,"17,948",,
泉州,52,-,52,ハノイ,"1,983","1,983",-,シアヌークヴィル,"16,549","5,885","10,664",スハール,"1,572","1,053",519,ストックホルム,"1,544","1,187",357,,
梧州,"1,560","1,063",497,カイメップ,"385,220","39,326","345,894",諸港（カンボジア）,"1,150","1,120",30,諸港(ｵﾏｰﾝ),9,3,6,ノルコッピング,"2,221",44,"2,177",,
武漢,"38,933","22,438","16,495",諸港(ベトナム),"364,291","155,256","209,035",ミャンマー,"40,293","11,997","28,296",イスラエル,"18,642","9,359","9,283",ゴーセンブルグ,"21,861","5,052","16,809",,
安慶,"1,391",58,"1,333",タイ,"3,216,869","880,140","2,336,729",ヤンゴン,"36,190","8,179","28,011",ハイファ,"6,642","2,379","4,263",ハルムスタート,"1,471",1,"1,470",,
赤湾,360,105,255,バンコク,"438,299","134,937","303,362",諸港(ﾐｬﾝﾏｰ),"4,103","3,818",285,アシドッド,"11,443","6,423","5,020",ヘルシンブボルイ,"19,686",129,"19,557",,
重慶,"4,659","1,683","2,976",ソンクラー,"36,523","26,513","10,010",インド,"457,796","356,081","101,715",諸港(ｲｽﾗｴﾙ),557,557,-,マルメ,123,93,30,,
丹東,181,181,-,レムチャバン,"2,689,636","666,722","2,022,914",カルカッタ,"26,568","17,680","8,888",ヨルダン,"3,364",283,"3,081",ピチオ,"1,189",-,"1,189",,
東莞,746,746,-,シーラーチャー,710,710,-,ビシャカパトナム,"8,138","6,538","1,600",アカバ,"2,837",135,"2,702",諸港(スウェーデン),"2,244",283,"1,961",,
防城,345,-,345,諸港(タイ),"51,701","51,258",443,チェンナイ,"70,228","59,906","10,322",諸港(ヨルダン),527,148,379,デンマーク,"20,201","3,885","16,316",,
恵州,893,893,-,マレーシア,"1,370,162","380,116","990,046",ポンディシェリ,1,1,-,レバノン,700,340,360,コペンハーゲン,"4,316",499,"3,817",,
九江,"32,333","2,155","30,178",クアンタン,"15,328","2,749","12,579",ツチコリン,"3,542",969,"2,573",ベイルート,685,325,360,オールフス,"6,067",829,"5,238",,
南昌,"5,984",805,"5,179",ペナン,"194,525","64,618","129,907",コーチン,"3,190",747,"2,443",諸港（レバノン),15,15,-,オールベク,975,-,975,,
日照,345,-,345,ポートケラン,"866,977","220,795","646,182",マンガロール,322,247,75,トルコ,"38,881","18,407","20,474",フレデリカ,"4,245",255,"3,990",,
蛇口,"1,745,777","163,928","1,581,849",タワウ,"7,299","1,816","5,483",ムンバイ,"1,362","1,362",-,イスタンブール,"7,381","3,175","4,206",諸港(デンマーク),"4,598","2,302","2,296",,
深洲,"3,302","3,302",-,サンダカン,135,-,135,ハルディア,"4,640","4,100",540,イズミト,"1,844",355,"1,489",イギリス,"351,154","174,566","176,588",,
太倉,"1,170,000","106,898","1,063,102",コタキナバル,"3,311","1,611","1,700",ムンドラ,"40,819","20,827","19,992",バンドルマ,210,-,210,フィリクストーエ,"26,546","9,450","17,096",,
威海,"104,021","1,543","102,478",ラブーアン,5,5,-,ナヴァセバ,"196,110","162,995","33,115",イズミル,"3,728","1,036","2,692",ロンドン,945,897,48,,
蕪湖,"6,852","5,563","1,289",ミーリ,872,205,667,ピパバブ,"43,343","31,356","11,987",メルシン,"7,132",575,"6,557",グラスゴー,136,136,-,,
塩田,"147,072","12,218","134,854",ビンツーロー,"31,735",42,"31,693",ハジラ,"1,309",-,"1,309",イスケンデルン,45,-,45,マンチェスター,130,130,-,,
営口,"6,887","1,007","5,880",シブ,"1,516",240,"1,276",諸港(インド),"58,224","49,353","8,871",テキルダー,915,75,840,リバプール,164,134,30,,
