,,,,,,,,,
,  4-(2)　　貨物取扱量　（一般貨物　品種別）,,,,,,,,単位：トン
,,,,,,,,,
,,,23年,24年,25年,26年,27年,28年,29年
1,総数,移出,"136,350","157,205","156,828","154,808","146,116","135,171","116,028"
2,,移入,"945,770","812,402","643,801","705,898","698,534","1,031,278","621,625"
3,,総数,"1,082,120","969,607","800,629","860,706","844,650","1,166,449","737,653"
4,農水産品,移出,"19,908","18,652","8,211","12,577","15,464","13,682","12,297"
5,,移入,"23,203","23,404","17,229","14,130","27,049","30,021","29,036"
6,,総数,"43,111","42,056","25,440","26,707","42,513","43,703","41,333"
7,林産品,移出,"1,036","1,050","9,768","3,679","6,186","4,442","2,246"
8,,移入,"5,019","4,250","8,772","7,824","9,282","11,377","4,315"
9,,総数,"6,055","5,300","18,540","11,503","15,468","15,819","6,561"
10,鉱産品,移出,"5,975","3,204","6,516","2,413","3,865","1,474",332
11,,移入,"523,241","469,846","299,464","328,503","337,452","702,661","333,963"
12,,総数,"529,216","473,050","305,980","330,916","341,317","704,135","334,295"
13,金属機械工業品,移出,"21,262","18,594","22,837","25,007","25,918","23,601","26,155"
14,,移入,"75,784","71,377","71,181","72,527","105,132","55,569","60,833"
15,,総数,"97,046","89,971","94,018","97,534","131,050","79,170","86,988"
16,"化学
工業品",移出,"5,117","38,480","38,626","2,085","13,809","9,494","1,376"
17,,移入,"195,181","144,990","139,405","142,443","127,154","129,797","103,633"
18,,総数,"200,298","183,470","178,031","144,528","140,963","139,291","105,009"
19,軽工業品,移出,"2,705","2,799","1,411","1,559","1,134",812,692
20,,移入,"20,532","19,267","23,461","25,368","9,894","8,829","9,618"
21,,総数,"23,237","22,066","24,872","26,927","11,028","9,641","10,310"
22,雑工業品,移出,"8,950","10,491","3,242","2,902","4,643","3,631","4,192"
23,,移入,"39,964","32,532","14,789","13,969","13,602","14,950","14,133"
24,,総数,"48,914","43,023","18,031","16,871","18,245","18,581","18,325"
25,特殊品,移出,"57,964","49,458","65,489","104,101","67,120","68,243","63,104"
26,,移入,"54,354","39,266","68,401","100,490","64,260","68,099","65,169"
27,,総数,"112,318","88,724","133,890","204,591","131,380","136,342","128,273"
28,分類不能,移出,"13,433","14,477",728,485,"7,977","9,792","5,634"
29,,移入,"8,492","7,470","1,099",644,"4,709","9,975",925
30,,総数,"21,925","21,947","1,827","1,129","12,686","19,767","6,559"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
