5-（3)　内航タンカー取扱貨物の品種別・月別表,,,,,,,,,,,,,,
,,,,,,,,,,,,,,（単位：トン）
品種,,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
,,,,,,,,,,,,,,
合計,,"276,613","19,012","21,461","22,780","23,004","20,860","22,306","24,764","21,692","24,979","24,689","24,715","26,351"
原油(23原油),, - , - , - , - , - , - , - , - , - , - , - , - , - 
重油(47重油),,"260,783","16,947","19,306","21,475","22,314","20,150","21,485","24,004","20,332","23,484","23,694","23,625","23,967"
揮発油(48揮発油),, - , - , - , - , - , - , - , - , - , - , - , - , - 
石油類(49その他の石油),,"15,830","2,065","2,155","1,305",690,710,821,760,"1,360","1,495",995,"1,090","2,384"
潤滑油(49その他の石油),, - , - , - , - , - , - , - , - , - , - , - , - , - 
化学薬品(55化学薬品),, - , - , - , - , - , - , - , - , - , - , - , - , - 
タール(52その他石油製品),, - , - , - , - , - , - , - , - , - , - , - , - , - 
廃油(78廃棄物),, - , - , - , - , - , - , - , - , - , - , - , - , - 
