,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,,
品種,,合計,,,品川,,,,,,,,,13号地その2,,,,,,品種,,,,,,,
,,,,,合計,,,品川コンテナ,,,品川外貿,,,合計,,,青海コンテナふ頭（公共）,,,,,,,,,,
,,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,,,,,,,,
合計,,"47,981,969","12,770,411","35,211,558","4,402,235","982,328","3,419,907","4,335,029","977,043","3,357,986","67,206","5,285","61,921","16,294,841","3,272,777","13,022,064","9,228,235","1,765,400","7,462,835",合計,,,,,,,
農水産品,,"4,638,916","316,461","4,322,455","255,680","12,880","242,800","251,920","12,872","239,048","3,760",8,"3,752","1,165,212","116,581","1,048,631","547,667","55,463","492,204",農水産品,,,,,,,
1,麦,"25,661",18,"25,643",18,18,-,18,18,-,-,-,-,"4,527",-,"4,527","1,737",-,"1,737",1,麦,,,,,,
2,米,"23,948","3,145","20,803",198,17,181,198,17,181,-,-,-,"11,911",496,"11,415","1,618",253,"1,365",2,米,,,,,,
3,とうもろこし,"7,164",120,"7,044",39,-,39,39,-,39,-,-,-,861,-,861,204,-,204,3,とうもろこし,,,,,,
4,豆類,"149,303",342,"148,961","1,421",26,"1,395","1,421",26,"1,395",-,-,-,"37,936",-,"37,936","10,121",-,"10,121",4,豆類,,,,,,
5,その他雑穀,"7,333",19,"7,314",-,-,-,-,-,-,-,-,-,"1,995",-,"1,995",-,-,-,5,その他雑穀,,,,,,
6,野菜・果物,"1,318,459","34,542","1,283,917","123,817",577,"123,240","120,725",577,"120,148","3,092",-,"3,092","407,456","15,594","391,862","194,310","9,934","184,376",6,野菜・果物,,,,,,
7,綿花,381,-,381,30,-,30,30,-,30,-,-,-,150,-,150,15,-,15,7,綿花,,,,,,
8,その他農産品,"241,629","8,299","233,330","18,901",207,"18,694","18,893",199,"18,694",8,8,-,"61,761","2,086","59,675","27,878",876,"27,002",8,その他農産品,,,,,,
9,羊毛,833,-,833,15,-,15,15,-,15,-,-,-,164,-,164,74,-,74,9,羊毛,,,,,,
10,その他畜産品,"1,705,841","35,191","1,670,650","28,443","3,932","24,511","28,443","3,932","24,511",-,-,-,"292,524","22,371","270,153","126,556","11,722","114,834",10,その他畜産品,,,,,,
11,水産品,"1,158,364","234,785","923,579","82,798","8,103","74,695","82,138","8,103","74,035",660,-,660,"345,927","76,034","269,893","185,154","32,678","152,476",11,水産品,,,,,,
林産品,,"1,027,063","24,010","1,003,053","66,006","1,083","64,923","64,416","1,083","63,333","1,590",-,"1,590","540,060","11,255","528,805","157,830","7,926","149,904",林産品,,,,,,,
12,原木,"6,457","2,870","3,587",110,20,90,110,20,90,-,-,-,"3,872","2,787","1,085","3,011","2,231",780,12,原木,,,,,,
13,製材,"877,383","20,429","856,954","52,011","1,044","50,967","50,421","1,044","49,377","1,590",-,"1,590","461,631","8,109","453,522","107,106","5,492","101,614",13,製材,,,,,,
14,樹脂類,"78,935",347,"78,588","2,154",4,"2,150","2,154",4,"2,150",-,-,-,"52,647",199,"52,448","37,240",131,"37,109",14,樹脂類,,,,,,
15,木材チップ,"13,315",123,"13,192","1,687",15,"1,672","1,687",15,"1,672",-,-,-,"2,468",69,"2,399",533,15,518,15,木材チップ,,,,,,
16,その他林産品,864,80,784,-,-,-,-,-,-,-,-,-,544,64,480,30,30,-,16,その他林産品,,,,,,
17,薪炭,"50,109",161,"49,948","10,044",-,"10,044","10,044",-,"10,044",-,-,-,"18,898",27,"18,871","9,910",27,"9,883",17,薪炭,,,,,,
鉱産品,,"333,884","18,548","315,336","34,403","4,117","30,286","34,403","4,117","30,286",-,-,-,"134,183","6,678","127,505","70,393","4,636","65,757",鉱産品,,,,,,,
18,石炭,"41,920",1,"41,919","5,945",-,"5,945","5,945",-,"5,945",-,-,-,"15,123",1,"15,122","7,744",-,"7,744",18,石炭,,,,,,
19,鉄鉱石,259,31,228,25,10,15,25,10,15,-,-,-,60,-,60,60,-,60,19,鉄鉱石,,,,,,
20,金属鉱,"8,764",6,"8,758",165,-,165,165,-,165,-,-,-,690,-,690,495,-,495,20,金属鉱,,,,,,
21,砂利・砂,"26,071",923,"25,148","2,670",45,"2,625","2,670",45,"2,625",-,-,-,"11,809",707,"11,102","5,595",684,"4,911",21,砂利・砂,,,,,,
22,石材,"98,174","3,213","94,961","3,897",10,"3,887","3,897",10,"3,887",-,-,-,"41,066",955,"40,111","27,261",115,"27,146",22,石材,,,,,,
23,原油,"1,920",-,"1,920",-,-,-,-,-,-,-,-,-,255,-,255,60,-,60,23,原油,,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石,,,,,,
25,石灰石,"2,879",-,"2,879","1,200",-,"1,200","1,200",-,"1,200",-,-,-,105,-,105,-,-,-,25,石灰石,,,,,,
