,,,,,,,,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,0,0,1月,0,0,2月,0,0,3月,0,0,4月,0,0,5月,0,0,6月,品種,
,,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,,
合計,,"39,312,245","15,054,365","24,257,880","3,139,845","1,122,618","2,017,227","3,290,198","1,215,286","2,074,912","3,716,065","1,413,344","2,302,721","3,405,845","1,263,957","2,141,888","3,054,981","1,159,989","1,894,992","3,379,221",合計,
農水産品,,"423,601","206,303","217,298","33,858","16,275","17,583","25,823","11,704","14,119","32,836","12,379","20,457","24,752","11,216","13,536","38,334","19,875","18,459","34,472",農水産品,
1,麦,"92,261","13,089","79,172","7,577",774,"6,803","2,748","1,017","1,731","9,641",710,"8,931","5,517",785,"4,732","8,122","1,847","6,275","12,548",1,麦
2,米,"53,870","38,610","15,260","3,400","2,440",960,"4,540","3,355","1,185","4,160","2,770","1,390","3,795","2,720","1,075","2,975","2,165",810,"3,690",2,米
3,とうもろこし,427,427,-,228,228,-,-,-,-,-,-,-,81,81,-,-,-,-,30,3,とうもろこし
4,豆類,"21,102","17,175","3,927","1,535","1,310",225,570,335,235,"1,265",910,355,920,505,415,"2,265","1,890",375,"3,035",4,豆類
5,その他・雑穀,"2,382","1,897",485,95,45,50,80,60,20,345,325,20,60,40,20,645,640,5,105,5,その他雑穀
6,野菜・果物,"142,096","85,529","56,567","11,651","5,959","5,692","9,020","4,525","4,495","8,850","4,675","4,175","7,415","4,363","3,052","11,904","7,529","4,375","7,311",6,野菜・果物
7,綿花,30,-,30,30,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花
8,その他農産品,"8,596","6,399","2,197",449,309,140,369,229,140,440,180,260,254,179,75,874,804,70,466,8,その他農産品
9,羊毛,21,21,-,16,16,-,-,-,-,-,-,-,5,5,-,-,-,-,-,9,羊毛
10,その他畜産品,"42,537","15,342","27,195","2,720","2,350",370,"3,855","1,229","2,626","3,809","1,451","2,358","3,627","1,315","2,312","3,789","1,430","2,359","3,325",10,その他畜産品
