,,,,,,,,,,,,,,,,(単位：個）,,,,,,,,,,,,,,,
航路別,合計,,,,ドライ,,,,リーファ,,,,その他,,,,,,,,,,,,,,,,,,
,計,20フィート,40フィート,その他,計,20フィート,40フィート,その他,計,20フィート,40フィート,その他,計,20フィート,40フィート,その他,,,,,,,,,,,,,,,
合計,"1,281,342","433,737","847,430",175,"1,101,605","406,350","695,080",175,"150,219","18,913","131,306",-,"29,518","8,474","21,044",-,,,,,,,,,,,,,,,
実入,"553,019","171,591","381,253",175,"506,238","158,288","347,775",175,"34,551","6,955","27,596",-,"12,230","6,348","5,882",-,,,,,,,,,,,,,,,
空,"728,323","262,146","466,177",-,"595,367","248,062","347,305",-,"115,668","11,958","103,710",-,"17,288","2,126","15,162",-,,,,,,,,,,,,,,,
定期航路計,"1,281,342","433,737","847,430",175,"1,101,605","406,350","695,080",175,"150,219","18,913","131,306",-,"29,518","8,474","21,044",-,,,,,,,,,,,,,,,
実入,"553,019","171,591","381,253",175,"506,238","158,288","347,775",175,"34,551","6,955","27,596",-,"12,230","6,348","5,882",-,,,,,,,,,,,,,,,
空,"728,323","262,146","466,177",-,"595,367","248,062","347,305",-,"115,668","11,958","103,710",-,"17,288","2,126","15,162",-,,,,,,,,,,,,,,,
世界一周,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
実入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
空,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
北米西岸(メキシコ含む),"153,937","32,162","121,669",106,"124,754","30,333","94,315",106,"28,297","1,060","27,237",-,886,769,117,-,,,,,,,,,,,,,,,
実入,"61,917","13,097","48,714",106,"56,253","12,282","43,865",106,"4,959",156,"4,803",-,705,659,46,-,,,,,,,,,,,,,,,
空,"92,020","19,065","72,955",-,"68,501","18,051","50,450",-,"23,338",904,"22,434",-,181,110,71,-,,,,,,,,,,,,,,,
北米東岸(カリビア海含む),"45,113","8,778","36,335",-,"35,229","8,257","26,972",-,"9,532",213,"9,319",-,352,308,44,-,,,,,,,,,,,,,,,
実入,"29,675","5,675","24,000",-,"27,993","5,286","22,707",-,"1,368",86,"1,282",-,314,303,11,-,,,,,,,,,,,,,,,
空,"15,438","3,103","12,335",-,"7,236","2,971","4,265",-,"8,164",127,"8,037",-,38,5,33,-,,,,,,,,,,,,,,,
北欧・地中海,"117,778","30,682","87,027",69,"90,035","26,936","63,030",69,"25,079","1,598","23,481",-,"2,664","2,148",516,-,,,,,,,,,,,,,,,
実入,"102,283","30,115","72,099",69,"89,770","26,832","62,869",69,"10,082","1,198","8,884",-,"2,431","2,085",346,-,,,,,,,,,,,,,,,
空,"15,495",567,"14,928",-,265,104,161,-,"14,997",400,"14,597",-,233,63,170,-,,,,,,,,,,,,,,,
南米西岸,"13,226","1,433","11,793",-,"4,685","1,193","3,492",-,"8,452",193,"8,259",-,89,47,42,-,,,,,,,,,,,,,,,
実入,"2,542",560,"1,982",-,"2,472",525,"1,947",-,42,11,31,-,28,24,4,-,,,,,,,,,,,,,,,
空,"10,684",873,"9,811",-,"2,213",668,"1,545",-,"8,410",182,"8,228",-,61,23,38,-,,,,,,,,,,,,,,,
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
実入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
空,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
南米東岸・南ア経由,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
実入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
空,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
実入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
空,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
オセアニア,"6,669","2,919","3,750",-,"3,902","1,837","2,065",-,"2,735","1,070","1,665",-,32,12,20,-,,,,,,,,,,,,,,,
実入,"1,914",984,930,-,"1,573",763,810,-,331,212,119,-,10,9,1,-,,,,,,,,,,,,,,,
空,"4,755","1,935","2,820",-,"2,329","1,074","1,255",-,"2,404",858,"1,546",-,22,3,19,-,,,,,,,,,,,,,,,
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
実入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
空,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
東南アジア,"423,456","160,402","263,054",-,"389,782","151,971","237,811",-,"30,067","5,773","24,294",-,"3,607","2,658",949,-,,,,,,,,,,,,,,,
実入,"242,617","85,309","157,308",-,"224,671","78,962","145,709",-,"14,707","4,000","10,707",-,"3,239","2,347",892,-,,,,,,,,,,,,,,,
空,"180,839","75,093","105,746",-,"165,111","73,009","92,102",-,"15,360","1,773","13,587",-,368,311,57,-,,,,,,,,,,,,,,,
台湾,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
実入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
空,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
韓国,"59,857","29,051","30,806",-,"47,642","27,603","20,039",-,"1,956",740,"1,216",-,"10,259",708,"9,551",-,,,,,,,,,,,,,,,
実入,"21,187","7,646","13,541",-,"16,948","7,075","9,873",-,699,300,399,-,"3,540",271,"3,269",-,,,,,,,,,,,,,,,
空,"38,670","21,405","17,265",-,"30,694","20,528","10,166",-,"1,257",440,817,-,"6,719",437,"6,282",-,,,,,,,,,,,,,,,
中国(香港含む),"461,306","168,310","292,996",-,"405,576","158,220","247,356",-,"44,101","8,266","35,835",-,"11,629","1,824","9,805",-,,,,,,,,,,,,,,,
実入,"90,884","28,205","62,679",-,"86,558","26,563","59,995",-,"2,363",992,"1,371",-,"1,963",650,"1,313",-,,,,,,,,,,,,,,,
空,"370,422","140,105","230,317",-,"319,018","131,657","187,361",-,"41,738","7,274","34,464",-,"9,666","1,174","8,492",-,,,,,,,,,,,,,,,
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
実入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
空,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
不定期航路,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
実入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
空,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（注）オセアニアはオーストラリア・ニュージーランド・南太平洋諸島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
